Year,Units,Geography,Fuel type,Demand characteristics,Value
2019,Per capita,New Brunswick,Hydroelectricity,Energy use - final demand,0.02
2019,Per capita,New Brunswick,Hydroelectricity,Total industrial,0.01
2019,Per capita,New Brunswick,Hydroelectricity,Agriculture,0.0
2019,Per capita,New Brunswick,Hydroelectricity,Residential,0.01
2019,Per capita,New Brunswick,Hydroelectricity,Public administration,0.0
2019,Per capita,New Brunswick,Hydroelectricity,Commercial and other institutional,0.0
2019,Per capita,New Brunswick,Nuclear,Energy use - final demand,0.04
2019,Per capita,New Brunswick,Nuclear,Total industrial,0.01
2019,Per capita,New Brunswick,Nuclear,Agriculture,0.0
2019,Per capita,New Brunswick,Nuclear,Residential,0.02
2019,Per capita,New Brunswick,Nuclear,Public administration,0.0
2019,Per capita,New Brunswick,Nuclear,Commercial and other institutional,0.01
2019,Per capita,New Brunswick,Steam,Energy use - final demand,0.0
2019,Per capita,New Brunswick,Steam,Total industrial,0.0
2019,Per capita,New Brunswick,Total refined petroleum products,Energy use - final demand,0.09
2019,Per capita,New Brunswick,Total refined petroleum products,Total industrial,0.01
2019,Per capita,New Brunswick,Total refined petroleum products,Total transportation,0.07
2019,Per capita,New Brunswick,Total refined petroleum products,Agriculture,0.0
2019,Per capita,New Brunswick,Total refined petroleum products,Residential,0.01
2019,Per capita,New Brunswick,Total refined petroleum products,Public administration,0.0
2019,Per capita,New Brunswick,Total refined petroleum products,Commercial and other institutional,0.0
2015,Per capita,Newfoundland and Labrador,Total primary and secondary energy,Energy use - final demand,0.24
2015,Per capita,Newfoundland and Labrador,Total primary and secondary energy,Total industrial,0.06
2015,Per capita,Newfoundland and Labrador,Total primary and secondary energy,Total transportation,0.1
2015,Per capita,Newfoundland and Labrador,Total primary and secondary energy,Agriculture,0.0
2015,Per capita,Newfoundland and Labrador,Total primary and secondary energy,Residential,0.04
2015,Per capita,Newfoundland and Labrador,Total primary and secondary energy,Public administration,0.01
2015,Per capita,Newfoundland and Labrador,Total primary and secondary energy,Commercial and other institutional,0.04
2015,Per capita,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Energy use - final demand,0.0
2015,Per capita,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Total industrial,0.0
2015,Per capita,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Total transportation,0.0
2015,Per capita,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Agriculture,0.0
2015,Per capita,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Residential,0.0
2015,Per capita,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Commercial and other institutional,0.0
2015,Per capita,Newfoundland and Labrador,Hydroelectricity,Energy use - final demand,0.07
2015,Per capita,Newfoundland and Labrador,Hydroelectricity,Total industrial,0.02
2015,Per capita,Newfoundland and Labrador,Hydroelectricity,Total transportation,0.0
2015,Per capita,Newfoundland and Labrador,Hydroelectricity,Agriculture,0.0
2015,Per capita,Newfoundland and Labrador,Hydroelectricity,Residential,0.03
2015,Per capita,Newfoundland and Labrador,Hydroelectricity,Public administration,0.0
2015,Per capita,Newfoundland and Labrador,Hydroelectricity,Commercial and other institutional,0.02
2015,Per capita,Newfoundland and Labrador,Total refined petroleum products,Energy use - final demand,0.16
2015,Per capita,Newfoundland and Labrador,Total refined petroleum products,Total industrial,0.03
2015,Per capita,Newfoundland and Labrador,Total refined petroleum products,Total transportation,0.1
2015,Per capita,Newfoundland and Labrador,Total refined petroleum products,Agriculture,0.0
2015,Per capita,Newfoundland and Labrador,Total refined petroleum products,Residential,0.01
2015,Per capita,Newfoundland and Labrador,Total refined petroleum products,Public administration,0.01
2015,Per capita,Newfoundland and Labrador,Total refined petroleum products,Commercial and other institutional,0.02
2016,Per capita,Newfoundland and Labrador,Total primary and secondary energy,Energy use - final demand,0.24
2016,Per capita,Newfoundland and Labrador,Total primary and secondary energy,Total industrial,0.05
2016,Per capita,Newfoundland and Labrador,Total primary and secondary energy,Total transportation,0.1
2016,Per capita,Newfoundland and Labrador,Total primary and secondary energy,Agriculture,0.0
2016,Per capita,Newfoundland and Labrador,Total primary and secondary energy,Residential,0.04
2016,Per capita,Newfoundland and Labrador,Total primary and secondary energy,Public administration,0.01
2016,Per capita,Newfoundland and Labrador,Total primary and secondary energy,Commercial and other institutional,0.04
2016,Per capita,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Total industrial,0.0
2016,Per capita,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Total transportation,0.0
2016,Per capita,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Agriculture,0.0
2016,Per capita,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Residential,0.0
2016,Per capita,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Commercial and other institutional,0.0
2016,Per capita,Newfoundland and Labrador,Hydroelectricity,Energy use - final demand,0.07
2016,Per capita,Newfoundland and Labrador,Hydroelectricity,Total industrial,0.02
2016,Per capita,Newfoundland and Labrador,Hydroelectricity,Total transportation,0.0
2016,Per capita,Newfoundland and Labrador,Hydroelectricity,Agriculture,0.0
2016,Per capita,Newfoundland and Labrador,Hydroelectricity,Residential,0.03
2016,Per capita,Newfoundland and Labrador,Hydroelectricity,Public administration,0.0
2016,Per capita,Newfoundland and Labrador,Hydroelectricity,Commercial and other institutional,0.02
2016,Per capita,Newfoundland and Labrador,Total refined petroleum products,Energy use - final demand,0.17
2016,Per capita,Newfoundland and Labrador,Total refined petroleum products,Total industrial,0.03
2016,Per capita,Newfoundland and Labrador,Total refined petroleum products,Total transportation,0.1
2016,Per capita,Newfoundland and Labrador,Total refined petroleum products,Agriculture,0.0
2016,Per capita,Newfoundland and Labrador,Total refined petroleum products,Residential,0.01
2016,Per capita,Newfoundland and Labrador,Total refined petroleum products,Public administration,0.01
2016,Per capita,Newfoundland and Labrador,Total refined petroleum products,Commercial and other institutional,0.02
2017,Per capita,Newfoundland and Labrador,Total primary and secondary energy,Energy use - final demand,0.24
2017,Per capita,Newfoundland and Labrador,Total primary and secondary energy,Total industrial,0.05
2017,Per capita,Newfoundland and Labrador,Total primary and secondary energy,Total transportation,0.1
2017,Per capita,Newfoundland and Labrador,Total primary and secondary energy,Agriculture,0.0
2017,Per capita,Newfoundland and Labrador,Total primary and secondary energy,Residential,0.04
2017,Per capita,Newfoundland and Labrador,Total primary and secondary energy,Public administration,0.01
2017,Per capita,Newfoundland and Labrador,Total primary and secondary energy,Commercial and other institutional,0.03
2017,Per capita,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Energy use - final demand,0.0
2017,Per capita,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Total industrial,0.0
2017,Per capita,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Total transportation,0.0
2017,Per capita,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Agriculture,0.0
2017,Per capita,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Residential,0.0
2017,Per capita,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Commercial and other institutional,0.0
2017,Per capita,Newfoundland and Labrador,Hydroelectricity,Energy use - final demand,0.07
2017,Per capita,Newfoundland and Labrador,Hydroelectricity,Total industrial,0.02
2017,Per capita,Newfoundland and Labrador,Hydroelectricity,Total transportation,0.0
2017,Per capita,Newfoundland and Labrador,Hydroelectricity,Agriculture,0.0
2017,Per capita,Newfoundland and Labrador,Hydroelectricity,Residential,0.03
2017,Per capita,Newfoundland and Labrador,Hydroelectricity,Public administration,0.0
2017,Per capita,Newfoundland and Labrador,Hydroelectricity,Commercial and other institutional,0.02
2017,Per capita,Newfoundland and Labrador,Total refined petroleum products,Energy use - final demand,0.16
2017,Per capita,Newfoundland and Labrador,Total refined petroleum products,Total industrial,0.03
2017,Per capita,Newfoundland and Labrador,Total refined petroleum products,Total transportation,0.1
2017,Per capita,Newfoundland and Labrador,Total refined petroleum products,Agriculture,0.0
2017,Per capita,Newfoundland and Labrador,Total refined petroleum products,Residential,0.01
2017,Per capita,Newfoundland and Labrador,Total refined petroleum products,Public administration,0.01
2017,Per capita,Newfoundland and Labrador,Total refined petroleum products,Commercial and other institutional,0.02
2018,Per capita,Newfoundland and Labrador,Total primary and secondary energy,Energy use - final demand,0.24
2018,Per capita,Newfoundland and Labrador,Total primary and secondary energy,Total industrial,0.06
2018,Per capita,Newfoundland and Labrador,Total primary and secondary energy,Total transportation,0.1
2018,Per capita,Newfoundland and Labrador,Total primary and secondary energy,Agriculture,0.0
2018,Per capita,Newfoundland and Labrador,Total primary and secondary energy,Residential,0.04
2018,Per capita,Newfoundland and Labrador,Total primary and secondary energy,Public administration,0.01
2018,Per capita,Newfoundland and Labrador,Total primary and secondary energy,Commercial and other institutional,0.04
2018,Per capita,Newfoundland and Labrador,Total coal,Energy use - final demand,0.01
2018,Per capita,Newfoundland and Labrador,Total coal,Total industrial,0.01
2018,Per capita,Newfoundland and Labrador,Natural gas,Energy use - final demand,0.0
2018,Per capita,Newfoundland and Labrador,Natural gas,Total industrial,0.0
2018,Per capita,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Energy use - final demand,0.0
2018,Per capita,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Total industrial,0.0
2018,Per capita,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Total transportation,0.0
2018,Per capita,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Residential,0.0
2018,Per capita,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Commercial and other institutional,0.0
2018,Per capita,Newfoundland and Labrador,Hydroelectricity,Energy use - final demand,0.07
2018,Per capita,Newfoundland and Labrador,Hydroelectricity,Total industrial,0.02
2018,Per capita,Newfoundland and Labrador,Hydroelectricity,Total transportation,0.0
2018,Per capita,Newfoundland and Labrador,Hydroelectricity,Agriculture,0.0
2018,Per capita,Newfoundland and Labrador,Hydroelectricity,Residential,0.03
2018,Per capita,Newfoundland and Labrador,Hydroelectricity,Public administration,0.0
2018,Per capita,Newfoundland and Labrador,Hydroelectricity,Commercial and other institutional,0.02
2018,Per capita,Newfoundland and Labrador,Total refined petroleum products,Energy use - final demand,0.16
2018,Per capita,Newfoundland and Labrador,Total refined petroleum products,Total industrial,0.03
2018,Per capita,Newfoundland and Labrador,Total refined petroleum products,Total transportation,0.1
2018,Per capita,Newfoundland and Labrador,Total refined petroleum products,Agriculture,0.0
2018,Per capita,Newfoundland and Labrador,Total refined petroleum products,Residential,0.01
2018,Per capita,Newfoundland and Labrador,Total refined petroleum products,Public administration,0.01
2018,Per capita,Newfoundland and Labrador,Total refined petroleum products,Commercial and other institutional,0.02
2019,Per capita,Newfoundland and Labrador,Total primary and secondary energy,Energy use - final demand,0.24
2019,Per capita,Newfoundland and Labrador,Total primary and secondary energy,Total industrial,0.06
2019,Per capita,Newfoundland and Labrador,Total primary and secondary energy,Total transportation,0.1
2019,Per capita,Newfoundland and Labrador,Total primary and secondary energy,Agriculture,0.0
2019,Per capita,Newfoundland and Labrador,Total primary and secondary energy,Residential,0.04
2019,Per capita,Newfoundland and Labrador,Total primary and secondary energy,Public administration,0.01
2019,Per capita,Newfoundland and Labrador,Total primary and secondary energy,Commercial and other institutional,0.04
2019,Per capita,Newfoundland and Labrador,Total coal,Energy use - final demand,0.01
2019,Per capita,Newfoundland and Labrador,Total coal,Total industrial,0.01
2019,Per capita,Newfoundland and Labrador,Natural gas,Energy use - final demand,0.0
2019,Per capita,Newfoundland and Labrador,Natural gas,Total industrial,0.0
2019,Per capita,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Energy use - final demand,0.0
2019,Per capita,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Total industrial,0.0
2019,Per capita,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Total transportation,0.0
2019,Per capita,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Residential,0.0
2019,Per capita,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Commercial and other institutional,0.0
2019,Per capita,Newfoundland and Labrador,Hydroelectricity,Energy use - final demand,0.07
2019,Per capita,Newfoundland and Labrador,Hydroelectricity,Total industrial,0.03
2019,Per capita,Newfoundland and Labrador,Hydroelectricity,Total transportation,0.0
2019,Per capita,Newfoundland and Labrador,Hydroelectricity,Agriculture,0.0
2019,Per capita,Newfoundland and Labrador,Hydroelectricity,Residential,0.03
2019,Per capita,Newfoundland and Labrador,Hydroelectricity,Public administration,0.0
2019,Per capita,Newfoundland and Labrador,Hydroelectricity,Commercial and other institutional,0.02
2019,Per capita,Newfoundland and Labrador,Total refined petroleum products,Energy use - final demand,0.16
2019,Per capita,Newfoundland and Labrador,Total refined petroleum products,Total industrial,0.03
2019,Per capita,Newfoundland and Labrador,Total refined petroleum products,Total transportation,0.1
2019,Per capita,Newfoundland and Labrador,Total refined petroleum products,Agriculture,0.0
2019,Per capita,Newfoundland and Labrador,Total refined petroleum products,Residential,0.01
2019,Per capita,Newfoundland and Labrador,Total refined petroleum products,Public administration,0.0
2019,Per capita,Newfoundland and Labrador,Total refined petroleum products,Commercial and other institutional,0.02
2015,Per capita,Northwest Territories,Total primary and secondary energy,Energy use - final demand,0.47
2015,Per capita,Northwest Territories,Total primary and secondary energy,Total industrial,0.19
2015,Per capita,Northwest Territories,Total primary and secondary energy,Total transportation,0.13
2015,Per capita,Northwest Territories,Total primary and secondary energy,Residential,0.04
2015,Per capita,Northwest Territories,Total primary and secondary energy,Public administration,0.01
2015,Per capita,Northwest Territories,Total primary and secondary energy,Commercial and other institutional,0.1
2015,Per capita,Northwest Territories,Natural gas,Energy use - final demand,0.07
2015,Per capita,Northwest Territories,Natural gas,Residential,0.0
2015,Per capita,Northwest Territories,Natural gas,Commercial and other institutional,0.07
2015,Per capita,Northwest Territories,Gas plant natural gas liquids (NGL's),Energy use - final demand,0.01
2015,Per capita,Northwest Territories,Gas plant natural gas liquids (NGL's),Total industrial,0.0
2015,Per capita,Northwest Territories,Gas plant natural gas liquids (NGL's),Total transportation,0.0
2015,Per capita,Northwest Territories,Gas plant natural gas liquids (NGL's),Residential,0.0
2015,Per capita,Northwest Territories,Gas plant natural gas liquids (NGL's),Commercial and other institutional,0.0
2015,Per capita,Northwest Territories,Hydroelectricity,Energy use - final demand,0.02
2015,Per capita,Northwest Territories,Hydroelectricity,Total industrial,0.0
2015,Per capita,Northwest Territories,Hydroelectricity,Residential,0.01
2015,Per capita,Northwest Territories,Hydroelectricity,Public administration,0.0
2015,Per capita,Northwest Territories,Hydroelectricity,Commercial and other institutional,0.01
2015,Per capita,Northwest Territories,Total refined petroleum products,Energy use - final demand,0.37
2015,Per capita,Northwest Territories,Total refined petroleum products,Total industrial,0.19
2015,Per capita,Northwest Territories,Total refined petroleum products,Total transportation,0.13
2015,Per capita,Northwest Territories,Total refined petroleum products,Residential,0.03
2015,Per capita,Northwest Territories,Total refined petroleum products,Public administration,0.0
2015,Per capita,Northwest Territories,Total refined petroleum products,Commercial and other institutional,0.02
2016,Per capita,Northwest Territories,Total primary and secondary energy,Energy use - final demand,0.45
2016,Per capita,Northwest Territories,Total primary and secondary energy,Total industrial,0.15
2016,Per capita,Northwest Territories,Total primary and secondary energy,Total transportation,0.15
2016,Per capita,Northwest Territories,Total primary and secondary energy,Residential,0.03
2016,Per capita,Northwest Territories,Total primary and secondary energy,Public administration,0.02
2016,Per capita,Northwest Territories,Total primary and secondary energy,Commercial and other institutional,0.11
2016,Per capita,Northwest Territories,Natural gas,Energy use - final demand,0.08
2016,Per capita,Northwest Territories,Natural gas,Residential,0.0
2016,Per capita,Northwest Territories,Natural gas,Commercial and other institutional,0.08
2016,Per capita,Northwest Territories,Gas plant natural gas liquids (NGL's),Energy use - final demand,0.01
2016,Per capita,Northwest Territories,Gas plant natural gas liquids (NGL's),Total industrial,0.0
2016,Per capita,Northwest Territories,Gas plant natural gas liquids (NGL's),Total transportation,0.0
2016,Per capita,Northwest Territories,Gas plant natural gas liquids (NGL's),Residential,0.0
2016,Per capita,Northwest Territories,Gas plant natural gas liquids (NGL's),Commercial and other institutional,0.0
2016,Per capita,Northwest Territories,Hydroelectricity,Energy use - final demand,0.03
2016,Per capita,Northwest Territories,Hydroelectricity,Total industrial,0.0
2016,Per capita,Northwest Territories,Hydroelectricity,Residential,0.01
2016,Per capita,Northwest Territories,Hydroelectricity,Public administration,0.0
2016,Per capita,Northwest Territories,Hydroelectricity,Commercial and other institutional,0.01
2016,Per capita,Northwest Territories,Total refined petroleum products,Energy use - final demand,0.33
2016,Per capita,Northwest Territories,Total refined petroleum products,Total industrial,0.15
2016,Per capita,Northwest Territories,Total refined petroleum products,Total transportation,0.15
2016,Per capita,Northwest Territories,Total refined petroleum products,Residential,0.02
2016,Per capita,Northwest Territories,Total refined petroleum products,Public administration,0.01
2016,Per capita,Northwest Territories,Total refined petroleum products,Commercial and other institutional,0.01
2017,Per capita,Northwest Territories,Total primary and secondary energy,Energy use - final demand,0.35
2017,Per capita,Northwest Territories,Total primary and secondary energy,Total industrial,0.13
2017,Per capita,Northwest Territories,Total primary and secondary energy,Total transportation,0.12
2017,Per capita,Northwest Territories,Total primary and secondary energy,Residential,0.02
2017,Per capita,Northwest Territories,Total primary and secondary energy,Public administration,0.03
2017,Per capita,Northwest Territories,Total primary and secondary energy,Commercial and other institutional,0.04
2017,Per capita,Northwest Territories,Natural gas,Energy use - final demand,0.01
2017,Per capita,Northwest Territories,Natural gas,Residential,0.0
2017,Per capita,Northwest Territories,Natural gas,Commercial and other institutional,0.01
2017,Per capita,Northwest Territories,Gas plant natural gas liquids (NGL's),Energy use - final demand,0.01
2017,Per capita,Northwest Territories,Gas plant natural gas liquids (NGL's),Total industrial,0.0
2017,Per capita,Northwest Territories,Gas plant natural gas liquids (NGL's),Total transportation,0.0
2017,Per capita,Northwest Territories,Gas plant natural gas liquids (NGL's),Residential,0.0
2017,Per capita,Northwest Territories,Gas plant natural gas liquids (NGL's),Commercial and other institutional,0.0
2017,Per capita,Northwest Territories,Hydroelectricity,Energy use - final demand,0.02
2017,Per capita,Northwest Territories,Hydroelectricity,Total industrial,0.0
2017,Per capita,Northwest Territories,Hydroelectricity,Residential,0.01
2017,Per capita,Northwest Territories,Hydroelectricity,Public administration,0.0
2017,Per capita,Northwest Territories,Hydroelectricity,Commercial and other institutional,0.01
2017,Per capita,Northwest Territories,Total refined petroleum products,Energy use - final demand,0.31
2017,Per capita,Northwest Territories,Total refined petroleum products,Total industrial,0.12
2017,Per capita,Northwest Territories,Total refined petroleum products,Total transportation,0.12
2017,Per capita,Northwest Territories,Total refined petroleum products,Residential,0.01
2017,Per capita,Northwest Territories,Total refined petroleum products,Public administration,0.03
2017,Per capita,Northwest Territories,Total refined petroleum products,Commercial and other institutional,0.02
2018,Per capita,Northwest Territories,Total primary and secondary energy,Energy use - final demand,0.37
2018,Per capita,Northwest Territories,Total primary and secondary energy,Total industrial,0.13
2018,Per capita,Northwest Territories,Total primary and secondary energy,Total transportation,0.12
2018,Per capita,Northwest Territories,Total primary and secondary energy,Residential,0.03
2018,Per capita,Northwest Territories,Total primary and secondary energy,Public administration,0.03
2018,Per capita,Northwest Territories,Total primary and secondary energy,Commercial and other institutional,0.07
2018,Per capita,Northwest Territories,Natural gas,Energy use - final demand,0.03
2018,Per capita,Northwest Territories,Natural gas,Residential,0.0
2018,Per capita,Northwest Territories,Natural gas,Commercial and other institutional,0.03
2018,Per capita,Northwest Territories,Gas plant natural gas liquids (NGL's),Energy use - final demand,0.02
2018,Per capita,Northwest Territories,Gas plant natural gas liquids (NGL's),Total industrial,0.01
2018,Per capita,Northwest Territories,Gas plant natural gas liquids (NGL's),Total transportation,0.0
2018,Per capita,Northwest Territories,Gas plant natural gas liquids (NGL's),Residential,0.0
2018,Per capita,Northwest Territories,Gas plant natural gas liquids (NGL's),Commercial and other institutional,0.01
2018,Per capita,Northwest Territories,Hydroelectricity,Energy use - final demand,0.02
2018,Per capita,Northwest Territories,Hydroelectricity,Total industrial,0.0
2018,Per capita,Northwest Territories,Hydroelectricity,Residential,0.01
2018,Per capita,Northwest Territories,Hydroelectricity,Public administration,0.0
2018,Per capita,Northwest Territories,Hydroelectricity,Commercial and other institutional,0.01
2018,Per capita,Northwest Territories,Total refined petroleum products,Energy use - final demand,0.3
2018,Per capita,Northwest Territories,Total refined petroleum products,Total industrial,0.12
2018,Per capita,Northwest Territories,Total refined petroleum products,Total transportation,0.12
2018,Per capita,Northwest Territories,Total refined petroleum products,Residential,0.01
2018,Per capita,Northwest Territories,Total refined petroleum products,Public administration,0.03
2018,Per capita,Northwest Territories,Total refined petroleum products,Commercial and other institutional,0.02
2019,Per capita,Northwest Territories,Total primary and secondary energy,Energy use - final demand,0.35
2019,Per capita,Northwest Territories,Total primary and secondary energy,Total industrial,0.13
2019,Per capita,Northwest Territories,Total primary and secondary energy,Total transportation,0.12
2019,Per capita,Northwest Territories,Total primary and secondary energy,Residential,0.02
2019,Per capita,Northwest Territories,Total primary and secondary energy,Public administration,0.03
2019,Per capita,Northwest Territories,Total primary and secondary energy,Commercial and other institutional,0.05
2019,Per capita,Northwest Territories,Natural gas,Energy use - final demand,0.0
2019,Per capita,Northwest Territories,Natural gas,Total industrial,0.0
2019,Per capita,Northwest Territories,Natural gas,Residential,0.0
2019,Per capita,Northwest Territories,Natural gas,Commercial and other institutional,0.0
2019,Per capita,Northwest Territories,Gas plant natural gas liquids (NGL's),Energy use - final demand,0.02
2019,Per capita,Northwest Territories,Gas plant natural gas liquids (NGL's),Total industrial,0.01
2019,Per capita,Northwest Territories,Gas plant natural gas liquids (NGL's),Total transportation,0.0
2019,Per capita,Northwest Territories,Gas plant natural gas liquids (NGL's),Residential,0.01
2019,Per capita,Northwest Territories,Gas plant natural gas liquids (NGL's),Commercial and other institutional,0.01
2019,Per capita,Northwest Territories,Hydroelectricity,Energy use - final demand,0.02
2019,Per capita,Northwest Territories,Hydroelectricity,Total industrial,0.0
2019,Per capita,Northwest Territories,Hydroelectricity,Residential,0.01
2019,Per capita,Northwest Territories,Hydroelectricity,Public administration,0.0
2019,Per capita,Northwest Territories,Hydroelectricity,Commercial and other institutional,0.01
2019,Per capita,Northwest Territories,Total refined petroleum products,Energy use - final demand,0.3
2019,Per capita,Northwest Territories,Total refined petroleum products,Total industrial,0.12
2019,Per capita,Northwest Territories,Total refined petroleum products,Total transportation,0.12
2019,Per capita,Northwest Territories,Total refined petroleum products,Residential,0.01
2019,Per capita,Northwest Territories,Total refined petroleum products,Public administration,0.03
2019,Per capita,Northwest Territories,Total refined petroleum products,Commercial and other institutional,0.02
2015,Per capita,Nova Scotia,Total primary and secondary energy,Energy use - final demand,0.16
2015,Per capita,Nova Scotia,Total primary and secondary energy,Total industrial,0.02
2015,Per capita,Nova Scotia,Total primary and secondary energy,Total transportation,0.07
2015,Per capita,Nova Scotia,Total primary and secondary energy,Agriculture,0.0
2015,Per capita,Nova Scotia,Total primary and secondary energy,Residential,0.04
2015,Per capita,Nova Scotia,Total primary and secondary energy,Public administration,0.01
2015,Per capita,Nova Scotia,Total primary and secondary energy,Commercial and other institutional,0.02
2015,Per capita,Nova Scotia,Natural gas,Residential,0.0
2015,Per capita,Nova Scotia,Natural gas,Public administration,0.0
2015,Per capita,Nova Scotia,Natural gas,Commercial and other institutional,0.0
2015,Per capita,Nova Scotia,Gas plant natural gas liquids (NGL's),Energy use - final demand,0.0
2015,Per capita,Nova Scotia,Gas plant natural gas liquids (NGL's),Total industrial,0.0
2015,Per capita,Nova Scotia,Gas plant natural gas liquids (NGL's),Total transportation,0.0
2015,Per capita,Nova Scotia,Gas plant natural gas liquids (NGL's),Agriculture,0.0
2015,Per capita,Nova Scotia,Gas plant natural gas liquids (NGL's),Residential,0.0
2015,Per capita,Nova Scotia,Gas plant natural gas liquids (NGL's),Commercial and other institutional,0.0
2015,Per capita,Nova Scotia,Hydroelectricity,Energy use - final demand,0.04
2015,Per capita,Nova Scotia,Hydroelectricity,Total industrial,0.01
2015,Per capita,Nova Scotia,Hydroelectricity,Agriculture,0.0
2015,Per capita,Nova Scotia,Hydroelectricity,Residential,0.02
2015,Per capita,Nova Scotia,Hydroelectricity,Public administration,0.0
2015,Per capita,Nova Scotia,Hydroelectricity,Commercial and other institutional,0.01
2015,Per capita,Nova Scotia,Total refined petroleum products,Energy use - final demand,0.11
2015,Per capita,Nova Scotia,Total refined petroleum products,Total industrial,0.01
2015,Per capita,Nova Scotia,Total refined petroleum products,Total transportation,0.07
2015,Per capita,Nova Scotia,Total refined petroleum products,Agriculture,0.0
2015,Per capita,Nova Scotia,Total refined petroleum products,Residential,0.02
2015,Per capita,Nova Scotia,Total refined petroleum products,Public administration,0.01
2015,Per capita,Nova Scotia,Total refined petroleum products,Commercial and other institutional,0.0
2016,Per capita,Nova Scotia,Total primary and secondary energy,Energy use - final demand,0.15
2016,Per capita,Nova Scotia,Total primary and secondary energy,Total industrial,0.02
2016,Per capita,Nova Scotia,Total primary and secondary energy,Total transportation,0.07
2016,Per capita,Nova Scotia,Total primary and secondary energy,Agriculture,0.0
2016,Per capita,Nova Scotia,Total primary and secondary energy,Residential,0.03
2016,Per capita,Nova Scotia,Total primary and secondary energy,Public administration,0.01
2016,Per capita,Nova Scotia,Total primary and secondary energy,Commercial and other institutional,0.02
2016,Per capita,Nova Scotia,Natural gas,Residential,0.0
2016,Per capita,Nova Scotia,Natural gas,Public administration,0.0
2016,Per capita,Nova Scotia,Natural gas,Commercial and other institutional,0.0
2016,Per capita,Nova Scotia,Gas plant natural gas liquids (NGL's),Energy use - final demand,0.0
2016,Per capita,Nova Scotia,Gas plant natural gas liquids (NGL's),Total industrial,0.0
2016,Per capita,Nova Scotia,Gas plant natural gas liquids (NGL's),Total transportation,0.0
2016,Per capita,Nova Scotia,Gas plant natural gas liquids (NGL's),Agriculture,0.0
2016,Per capita,Nova Scotia,Gas plant natural gas liquids (NGL's),Residential,0.0
2016,Per capita,Nova Scotia,Gas plant natural gas liquids (NGL's),Commercial and other institutional,0.0
2016,Per capita,Nova Scotia,Hydroelectricity,Energy use - final demand,0.04
2016,Per capita,Nova Scotia,Hydroelectricity,Agriculture,0.0
2016,Per capita,Nova Scotia,Hydroelectricity,Residential,0.02
2016,Per capita,Nova Scotia,Hydroelectricity,Public administration,0.0
2016,Per capita,Nova Scotia,Hydroelectricity,Commercial and other institutional,0.01
2016,Per capita,Nova Scotia,Total refined petroleum products,Energy use - final demand,0.1
2016,Per capita,Nova Scotia,Total refined petroleum products,Total industrial,0.01
2016,Per capita,Nova Scotia,Total refined petroleum products,Total transportation,0.07
2016,Per capita,Nova Scotia,Total refined petroleum products,Residential,0.01
2016,Per capita,Nova Scotia,Total refined petroleum products,Public administration,0.01
2016,Per capita,Nova Scotia,Total refined petroleum products,Commercial and other institutional,0.0
2017,Per capita,Nova Scotia,Total primary and secondary energy,Energy use - final demand,0.16
2017,Per capita,Nova Scotia,Total primary and secondary energy,Total industrial,0.02
2017,Per capita,Nova Scotia,Total primary and secondary energy,Total transportation,0.07
2017,Per capita,Nova Scotia,Total primary and secondary energy,Agriculture,0.0
2017,Per capita,Nova Scotia,Total primary and secondary energy,Residential,0.03
2017,Per capita,Nova Scotia,Total primary and secondary energy,Public administration,0.01
2017,Per capita,Nova Scotia,Total primary and secondary energy,Commercial and other institutional,0.02
2017,Per capita,Nova Scotia,Natural gas,Residential,0.0
2017,Per capita,Nova Scotia,Natural gas,Public administration,0.0
2017,Per capita,Nova Scotia,Natural gas,Commercial and other institutional,0.0
2017,Per capita,Nova Scotia,Gas plant natural gas liquids (NGL's),Energy use - final demand,0.0
2017,Per capita,Nova Scotia,Gas plant natural gas liquids (NGL's),Total industrial,0.0
