Year,Geography,Type of work,National Occupational Classification (NOC),Age,Value
2019,Alberta,Both full- and part-time employees,Natural resources - agriculture and related production occupations [8],55 years and over,0.63
2020,Alberta,Both full- and part-time employees,Natural resources - agriculture and related production occupations [8],55 years and over,0.85
2015,Alberta,Both full- and part-time employees,Occupations in manufacturing and utilities [9],15 years and over,0.76
2016,Alberta,Both full- and part-time employees,Occupations in manufacturing and utilities [9],15 years and over,0.69
2017,Alberta,Both full- and part-time employees,Occupations in manufacturing and utilities [9],15 years and over,0.64
2018,Alberta,Both full- and part-time employees,Occupations in manufacturing and utilities [9],15 years and over,0.71
2019,Alberta,Both full- and part-time employees,Occupations in manufacturing and utilities [9],15 years and over,0.68
2020,Alberta,Both full- and part-time employees,Occupations in manufacturing and utilities [9],15 years and over,0.71
2015,Alberta,Both full- and part-time employees,Occupations in manufacturing and utilities [9],15 to 24 years,0.75
2016,Alberta,Both full- and part-time employees,Occupations in manufacturing and utilities [9],15 to 24 years,
2017,Alberta,Both full- and part-time employees,Occupations in manufacturing and utilities [9],15 to 24 years,
2018,Alberta,Both full- and part-time employees,Occupations in manufacturing and utilities [9],15 to 24 years,
2019,Alberta,Both full- and part-time employees,Occupations in manufacturing and utilities [9],15 to 24 years,
2020,Alberta,Both full- and part-time employees,Occupations in manufacturing and utilities [9],15 to 24 years,
2015,Alberta,Both full- and part-time employees,Occupations in manufacturing and utilities [9],25 to 54 years,0.73
2016,Alberta,Both full- and part-time employees,Occupations in manufacturing and utilities [9],25 to 54 years,0.64
2017,Alberta,Both full- and part-time employees,Occupations in manufacturing and utilities [9],25 to 54 years,0.66
2018,Alberta,Both full- and part-time employees,Occupations in manufacturing and utilities [9],25 to 54 years,0.67
2019,Alberta,Both full- and part-time employees,Occupations in manufacturing and utilities [9],25 to 54 years,0.66
2020,Alberta,Both full- and part-time employees,Occupations in manufacturing and utilities [9],25 to 54 years,0.74
2015,Alberta,Both full- and part-time employees,Occupations in manufacturing and utilities [9],55 years and over,0.64
2016,Alberta,Both full- and part-time employees,Occupations in manufacturing and utilities [9],55 years and over,0.68
2017,Alberta,Both full- and part-time employees,Occupations in manufacturing and utilities [9],55 years and over,0.6
2018,Alberta,Both full- and part-time employees,Occupations in manufacturing and utilities [9],55 years and over,0.71
2019,Alberta,Both full- and part-time employees,Occupations in manufacturing and utilities [9],55 years and over,0.66
2020,Alberta,Both full- and part-time employees,Occupations in manufacturing and utilities [9],55 years and over,0.53
2015,Alberta,Full-time employees,Total employees - all occupations,15 years and over,0.82
2016,Alberta,Full-time employees,Total employees - all occupations,15 years and over,0.81
2017,Alberta,Full-time employees,Total employees - all occupations,15 years and over,0.8
2018,Alberta,Full-time employees,Total employees - all occupations,15 years and over,0.81
2019,Alberta,Full-time employees,Total employees - all occupations,15 years and over,0.81
2020,Alberta,Full-time employees,Total employees - all occupations,15 years and over,0.85
2015,Alberta,Full-time employees,Total employees - all occupations,15 to 24 years,0.82
2016,Alberta,Full-time employees,Total employees - all occupations,15 to 24 years,0.9
2017,Alberta,Full-time employees,Total employees - all occupations,15 to 24 years,0.84
2018,Alberta,Full-time employees,Total employees - all occupations,15 to 24 years,0.92
2019,Alberta,Full-time employees,Total employees - all occupations,15 to 24 years,0.9
2020,Alberta,Full-time employees,Total employees - all occupations,15 to 24 years,0.94
2015,Alberta,Full-time employees,Total employees - all occupations,25 to 54 years,0.8
2016,Alberta,Full-time employees,Total employees - all occupations,25 to 54 years,0.8
2017,Alberta,Full-time employees,Total employees - all occupations,25 to 54 years,0.82
2018,Alberta,Full-time employees,Total employees - all occupations,25 to 54 years,0.8
2019,Alberta,Full-time employees,Total employees - all occupations,25 to 54 years,0.81
2020,Alberta,Full-time employees,Total employees - all occupations,25 to 54 years,0.85
2015,Alberta,Full-time employees,Total employees - all occupations,55 years and over,0.84
2016,Alberta,Full-time employees,Total employees - all occupations,55 years and over,0.83
2017,Alberta,Full-time employees,Total employees - all occupations,55 years and over,0.77
2018,Alberta,Full-time employees,Total employees - all occupations,55 years and over,0.85
2019,Alberta,Full-time employees,Total employees - all occupations,55 years and over,0.8
2020,Alberta,Full-time employees,Total employees - all occupations,55 years and over,0.82
2015,Alberta,Full-time employees,Management occupations [0],15 years and over,0.81
2016,Alberta,Full-time employees,Management occupations [0],15 years and over,0.76
2017,Alberta,Full-time employees,Management occupations [0],15 years and over,0.91
2018,Alberta,Full-time employees,Management occupations [0],15 years and over,0.83
2019,Alberta,Full-time employees,Management occupations [0],15 years and over,0.86
2020,Alberta,Full-time employees,Management occupations [0],15 years and over,0.95
2015,Alberta,Full-time employees,Management occupations [0],15 to 24 years,
2016,Alberta,Full-time employees,Management occupations [0],15 to 24 years,
2017,Alberta,Full-time employees,Management occupations [0],15 to 24 years,
2018,Alberta,Full-time employees,Management occupations [0],15 to 24 years,
2019,Alberta,Full-time employees,Management occupations [0],15 to 24 years,
2020,Alberta,Full-time employees,Management occupations [0],15 to 24 years,
2015,Alberta,Full-time employees,Management occupations [0],25 to 54 years,0.86
2016,Alberta,Full-time employees,Management occupations [0],25 to 54 years,0.8
2017,Alberta,Full-time employees,Management occupations [0],25 to 54 years,0.89
2018,Alberta,Full-time employees,Management occupations [0],25 to 54 years,0.82
2019,Alberta,Full-time employees,Management occupations [0],25 to 54 years,0.88
2020,Alberta,Full-time employees,Management occupations [0],25 to 54 years,0.98
2015,Alberta,Full-time employees,Management occupations [0],55 years and over,0.71
2016,Alberta,Full-time employees,Management occupations [0],55 years and over,0.7
2017,Alberta,Full-time employees,Management occupations [0],55 years and over,1.09
2018,Alberta,Full-time employees,Management occupations [0],55 years and over,0.89
2019,Alberta,Full-time employees,Management occupations [0],55 years and over,0.88
2020,Alberta,Full-time employees,Management occupations [0],55 years and over,0.83
2015,Alberta,Full-time employees,Business - finance and administration occupations [1],15 years and over,0.92
2016,Alberta,Full-time employees,Business - finance and administration occupations [1],15 years and over,0.89
2017,Alberta,Full-time employees,Business - finance and administration occupations [1],15 years and over,0.93
2018,Alberta,Full-time employees,Business - finance and administration occupations [1],15 years and over,0.9
2019,Alberta,Full-time employees,Business - finance and administration occupations [1],15 years and over,0.84
2020,Alberta,Full-time employees,Business - finance and administration occupations [1],15 years and over,0.86
2015,Alberta,Full-time employees,Business - finance and administration occupations [1],15 to 24 years,0.94
2016,Alberta,Full-time employees,Business - finance and administration occupations [1],15 to 24 years,0.96
2017,Alberta,Full-time employees,Business - finance and administration occupations [1],15 to 24 years,0.95
2018,Alberta,Full-time employees,Business - finance and administration occupations [1],15 to 24 years,0.95
2019,Alberta,Full-time employees,Business - finance and administration occupations [1],15 to 24 years,1.06
2020,Alberta,Full-time employees,Business - finance and administration occupations [1],15 to 24 years,0.97
2015,Alberta,Full-time employees,Business - finance and administration occupations [1],25 to 54 years,0.9
2016,Alberta,Full-time employees,Business - finance and administration occupations [1],25 to 54 years,0.88
2017,Alberta,Full-time employees,Business - finance and administration occupations [1],25 to 54 years,0.9
2018,Alberta,Full-time employees,Business - finance and administration occupations [1],25 to 54 years,0.86
2019,Alberta,Full-time employees,Business - finance and administration occupations [1],25 to 54 years,0.81
2020,Alberta,Full-time employees,Business - finance and administration occupations [1],25 to 54 years,0.83
2015,Alberta,Full-time employees,Business - finance and administration occupations [1],55 years and over,1.02
2016,Alberta,Full-time employees,Business - finance and administration occupations [1],55 years and over,0.96
2017,Alberta,Full-time employees,Business - finance and administration occupations [1],55 years and over,0.93
2018,Alberta,Full-time employees,Business - finance and administration occupations [1],55 years and over,0.93
2019,Alberta,Full-time employees,Business - finance and administration occupations [1],55 years and over,0.96
2020,Alberta,Full-time employees,Business - finance and administration occupations [1],55 years and over,0.8
2015,Alberta,Full-time employees,Natural and applied sciences and related occupations [2],15 years and over,0.91
2016,Alberta,Full-time employees,Natural and applied sciences and related occupations [2],15 years and over,0.86
2017,Alberta,Full-time employees,Natural and applied sciences and related occupations [2],15 years and over,0.93
2018,Alberta,Full-time employees,Natural and applied sciences and related occupations [2],15 years and over,0.89
2019,Alberta,Full-time employees,Natural and applied sciences and related occupations [2],15 years and over,0.8
2020,Alberta,Full-time employees,Natural and applied sciences and related occupations [2],15 years and over,0.92
2015,Alberta,Full-time employees,Natural and applied sciences and related occupations [2],15 to 24 years,0.96
2016,Alberta,Full-time employees,Natural and applied sciences and related occupations [2],15 to 24 years,1.01
2017,Alberta,Full-time employees,Natural and applied sciences and related occupations [2],15 to 24 years,0.96
2018,Alberta,Full-time employees,Natural and applied sciences and related occupations [2],15 to 24 years,1.04
2019,Alberta,Full-time employees,Natural and applied sciences and related occupations [2],15 to 24 years,1.04
2020,Alberta,Full-time employees,Natural and applied sciences and related occupations [2],15 to 24 years,1.06
2015,Alberta,Full-time employees,Natural and applied sciences and related occupations [2],25 to 54 years,0.88
2016,Alberta,Full-time employees,Natural and applied sciences and related occupations [2],25 to 54 years,0.88
2017,Alberta,Full-time employees,Natural and applied sciences and related occupations [2],25 to 54 years,0.94
2018,Alberta,Full-time employees,Natural and applied sciences and related occupations [2],25 to 54 years,0.89
2019,Alberta,Full-time employees,Natural and applied sciences and related occupations [2],25 to 54 years,0.82
2020,Alberta,Full-time employees,Natural and applied sciences and related occupations [2],25 to 54 years,0.96
2015,Alberta,Full-time employees,Natural and applied sciences and related occupations [2],55 years and over,1.08
2016,Alberta,Full-time employees,Natural and applied sciences and related occupations [2],55 years and over,0.74
2017,Alberta,Full-time employees,Natural and applied sciences and related occupations [2],55 years and over,0.74
2018,Alberta,Full-time employees,Natural and applied sciences and related occupations [2],55 years and over,0.8
2019,Alberta,Full-time employees,Natural and applied sciences and related occupations [2],55 years and over,0.79
2020,Alberta,Full-time employees,Natural and applied sciences and related occupations [2],55 years and over,0.82
2015,Alberta,Full-time employees,Health occupations [3],15 years and over,0.93
2016,Alberta,Full-time employees,Health occupations [3],15 years and over,1.03
2017,Alberta,Full-time employees,Health occupations [3],15 years and over,0.89
2018,Alberta,Full-time employees,Health occupations [3],15 years and over,1.0
2019,Alberta,Full-time employees,Health occupations [3],15 years and over,0.98
2020,Alberta,Full-time employees,Health occupations [3],15 years and over,0.98
2015,Alberta,Full-time employees,Health occupations [3],15 to 24 years,1.16
2016,Alberta,Full-time employees,Health occupations [3],15 to 24 years,
2017,Alberta,Full-time employees,Health occupations [3],15 to 24 years,
2018,Alberta,Full-time employees,Health occupations [3],15 to 24 years,
2019,Alberta,Full-time employees,Health occupations [3],15 to 24 years,
2020,Alberta,Full-time employees,Health occupations [3],15 to 24 years,
2015,Alberta,Full-time employees,Health occupations [3],25 to 54 years,0.94
2016,Alberta,Full-time employees,Health occupations [3],25 to 54 years,1.07
2017,Alberta,Full-time employees,Health occupations [3],25 to 54 years,0.92
2018,Alberta,Full-time employees,Health occupations [3],25 to 54 years,1.02
2019,Alberta,Full-time employees,Health occupations [3],25 to 54 years,1.03
2020,Alberta,Full-time employees,Health occupations [3],25 to 54 years,1.05
2015,Alberta,Full-time employees,Health occupations [3],55 years and over,0.88
2016,Alberta,Full-time employees,Health occupations [3],55 years and over,0.7
2017,Alberta,Full-time employees,Health occupations [3],55 years and over,0.74
2018,Alberta,Full-time employees,Health occupations [3],55 years and over,0.83
2019,Alberta,Full-time employees,Health occupations [3],55 years and over,1.14
2020,Alberta,Full-time employees,Health occupations [3],55 years and over,0.88
2015,Alberta,Full-time employees,Occupations in education - law and social - community and government services [4],15 years and over,0.79
2016,Alberta,Full-time employees,Occupations in education - law and social - community and government services [4],15 years and over,0.8
2017,Alberta,Full-time employees,Occupations in education - law and social - community and government services [4],15 years and over,0.75
2018,Alberta,Full-time employees,Occupations in education - law and social - community and government services [4],15 years and over,0.82
2019,Alberta,Full-time employees,Occupations in education - law and social - community and government services [4],15 years and over,0.78
2020,Alberta,Full-time employees,Occupations in education - law and social - community and government services [4],15 years and over,0.79
2015,Alberta,Full-time employees,Occupations in education - law and social - community and government services [4],15 to 24 years,1.09
2016,Alberta,Full-time employees,Occupations in education - law and social - community and government services [4],15 to 24 years,0.89
2017,Alberta,Full-time employees,Occupations in education - law and social - community and government services [4],15 to 24 years,0.97
2018,Alberta,Full-time employees,Occupations in education - law and social - community and government services [4],15 to 24 years,
2019,Alberta,Full-time employees,Occupations in education - law and social - community and government services [4],15 to 24 years,
2020,Alberta,Full-time employees,Occupations in education - law and social - community and government services [4],15 to 24 years,
2015,Alberta,Full-time employees,Occupations in education - law and social - community and government services [4],25 to 54 years,0.81
2016,Alberta,Full-time employees,Occupations in education - law and social - community and government services [4],25 to 54 years,0.79
2017,Alberta,Full-time employees,Occupations in education - law and social - community and government services [4],25 to 54 years,0.78
2018,Alberta,Full-time employees,Occupations in education - law and social - community and government services [4],25 to 54 years,0.83
2019,Alberta,Full-time employees,Occupations in education - law and social - community and government services [4],25 to 54 years,0.78
2020,Alberta,Full-time employees,Occupations in education - law and social - community and government services [4],25 to 54 years,0.85
2015,Alberta,Full-time employees,Occupations in education - law and social - community and government services [4],55 years and over,0.76
2016,Alberta,Full-time employees,Occupations in education - law and social - community and government services [4],55 years and over,1.04
2017,Alberta,Full-time employees,Occupations in education - law and social - community and government services [4],55 years and over,0.6
2018,Alberta,Full-time employees,Occupations in education - law and social - community and government services [4],55 years and over,0.88
2019,Alberta,Full-time employees,Occupations in education - law and social - community and government services [4],55 years and over,0.77
2020,Alberta,Full-time employees,Occupations in education - law and social - community and government services [4],55 years and over,0.67
2015,Alberta,Full-time employees,Occupations in art - culture - recreation and sport [5],15 years and over,1.09
2016,Alberta,Full-time employees,Occupations in art - culture - recreation and sport [5],15 years and over,0.95
2017,Alberta,Full-time employees,Occupations in art - culture - recreation and sport [5],15 years and over,1.0
2018,Alberta,Full-time employees,Occupations in art - culture - recreation and sport [5],15 years and over,0.96
2019,Alberta,Full-time employees,Occupations in art - culture - recreation and sport [5],15 years and over,1.19
2020,Alberta,Full-time employees,Occupations in art - culture - recreation and sport [5],15 years and over,1.0
2015,Alberta,Full-time employees,Occupations in art - culture - recreation and sport [5],15 to 24 years,
2016,Alberta,Full-time employees,Occupations in art - culture - recreation and sport [5],15 to 24 years,0.89
2017,Alberta,Full-time employees,Occupations in art - culture - recreation and sport [5],15 to 24 years,
2018,Alberta,Full-time employees,Occupations in art - culture - recreation and sport [5],15 to 24 years,
2019,Alberta,Full-time employees,Occupations in art - culture - recreation and sport [5],15 to 24 years,
2020,Alberta,Full-time employees,Occupations in art - culture - recreation and sport [5],15 to 24 years,
2015,Alberta,Full-time employees,Occupations in art - culture - recreation and sport [5],25 to 54 years,1.15
2016,Alberta,Full-time employees,Occupations in art - culture - recreation and sport [5],25 to 54 years,0.88
2017,Alberta,Full-time employees,Occupations in art - culture - recreation and sport [5],25 to 54 years,1.09
2018,Alberta,Full-time employees,Occupations in art - culture - recreation and sport [5],25 to 54 years,0.96
2019,Alberta,Full-time employees,Occupations in art - culture - recreation and sport [5],25 to 54 years,1.25
2020,Alberta,Full-time employees,Occupations in art - culture - recreation and sport [5],25 to 54 years,1.02
2015,Alberta,Full-time employees,Occupations in art - culture - recreation and sport [5],55 years and over,
2016,Alberta,Full-time employees,Occupations in art - culture - recreation and sport [5],55 years and over,
2017,Alberta,Full-time employees,Occupations in art - culture - recreation and sport [5],55 years and over,
2018,Alberta,Full-time employees,Occupations in art - culture - recreation and sport [5],55 years and over,
2019,Alberta,Full-time employees,Occupations in art - culture - recreation and sport [5],55 years and over,
2020,Alberta,Full-time employees,Occupations in art - culture - recreation and sport [5],55 years and over,
2015,Alberta,Full-time employees,Sales and service occupations [6],15 years and over,0.84
2016,Alberta,Full-time employees,Sales and service occupations [6],15 years and over,0.82
2017,Alberta,Full-time employees,Sales and service occupations [6],15 years and over,0.81
2018,Alberta,Full-time employees,Sales and service occupations [6],15 years and over,0.85
2019,Alberta,Full-time employees,Sales and service occupations [6],15 years and over,0.82
2020,Alberta,Full-time employees,Sales and service occupations [6],15 years and over,0.81
2015,Alberta,Full-time employees,Sales and service occupations [6],15 to 24 years,0.93
2016,Alberta,Full-time employees,Sales and service occupations [6],15 to 24 years,1.0
2017,Alberta,Full-time employees,Sales and service occupations [6],15 to 24 years,0.97
2018,Alberta,Full-time employees,Sales and service occupations [6],15 to 24 years,1.0
2019,Alberta,Full-time employees,Sales and service occupations [6],15 to 24 years,0.98
2020,Alberta,Full-time employees,Sales and service occupations [6],15 to 24 years,0.94
2015,Alberta,Full-time employees,Sales and service occupations [6],25 to 54 years,0.79
2016,Alberta,Full-time employees,Sales and service occupations [6],25 to 54 years,0.8
2017,Alberta,Full-time employees,Sales and service occupations [6],25 to 54 years,0.86
2018,Alberta,Full-time employees,Sales and service occupations [6],25 to 54 years,0.82
2019,Alberta,Full-time employees,Sales and service occupations [6],25 to 54 years,0.77
2020,Alberta,Full-time employees,Sales and service occupations [6],25 to 54 years,0.8
2015,Alberta,Full-time employees,Sales and service occupations [6],55 years and over,0.81
2016,Alberta,Full-time employees,Sales and service occupations [6],55 years and over,0.81
2017,Alberta,Full-time employees,Sales and service occupations [6],55 years and over,0.71
2018,Alberta,Full-time employees,Sales and service occupations [6],55 years and over,0.68
2019,Alberta,Full-time employees,Sales and service occupations [6],55 years and over,0.87
2020,Alberta,Full-time employees,Sales and service occupations [6],55 years and over,0.76
2015,Alberta,Full-time employees,Trades - transport and equipment operators and related occupations [7],15 years and over,0.79
2016,Alberta,Full-time employees,Trades - transport and equipment operators and related occupations [7],15 years and over,0.77
2017,Alberta,Full-time employees,Trades - transport and equipment operators and related occupations [7],15 years and over,0.9
2018,Alberta,Full-time employees,Trades - transport and equipment operators and related occupations [7],15 years and over,0.82
2019,Alberta,Full-time employees,Trades - transport and equipment operators and related occupations [7],15 years and over,0.78
2020,Alberta,Full-time employees,Trades - transport and equipment operators and related occupations [7],15 years and over,0.84
2015,Alberta,Full-time employees,Trades - transport and equipment operators and related occupations [7],15 to 24 years,0.91
2016,Alberta,Full-time employees,Trades - transport and equipment operators and related occupations [7],15 to 24 years,0.86
2017,Alberta,Full-time employees,Trades - transport and equipment operators and related occupations [7],15 to 24 years,0.83
2018,Alberta,Full-time employees,Trades - transport and equipment operators and related occupations [7],15 to 24 years,0.99
2019,Alberta,Full-time employees,Trades - transport and equipment operators and related occupations [7],15 to 24 years,0.82
2020,Alberta,Full-time employees,Trades - transport and equipment operators and related occupations [7],15 to 24 years,
2015,Alberta,Full-time employees,Trades - transport and equipment operators and related occupations [7],25 to 54 years,0.81
2016,Alberta,Full-time employees,Trades - transport and equipment operators and related occupations [7],25 to 54 years,0.75
2017,Alberta,Full-time employees,Trades - transport and equipment operators and related occupations [7],25 to 54 years,0.9
2018,Alberta,Full-time employees,Trades - transport and equipment operators and related occupations [7],25 to 54 years,0.75
2019,Alberta,Full-time employees,Trades - transport and equipment operators and related occupations [7],25 to 54 years,0.76
2020,Alberta,Full-time employees,Trades - transport and equipment operators and related occupations [7],25 to 54 years,0.81
2015,Alberta,Full-time employees,Trades - transport and equipment operators and related occupations [7],55 years and over,0.72
2016,Alberta,Full-time employees,Trades - transport and equipment operators and related occupations [7],55 years and over,0.67
2017,Alberta,Full-time employees,Trades - transport and equipment operators and related occupations [7],55 years and over,
2018,Alberta,Full-time employees,Trades - transport and equipment operators and related occupations [7],55 years and over,0.92
2019,Alberta,Full-time employees,Trades - transport and equipment operators and related occupations [7],55 years and over,0.74
2020,Alberta,Full-time employees,Trades - transport and equipment operators and related occupations [7],55 years and over,0.84
2015,Alberta,Full-time employees,Natural resources - agriculture and related production occupations [8],15 years and over,0.6
2016,Alberta,Full-time employees,Natural resources - agriculture and related production occupations [8],15 years and over,0.74
2017,Alberta,Full-time employees,Natural resources - agriculture and related production occupations [8],15 years and over,0.65
2018,Alberta,Full-time employees,Natural resources - agriculture and related production occupations [8],15 years and over,0.63
2019,Alberta,Full-time employees,Natural resources - agriculture and related production occupations [8],15 years and over,0.77
2020,Alberta,Full-time employees,Natural resources - agriculture and related production occupations [8],15 years and over,0.84
2015,Alberta,Full-time employees,Natural resources - agriculture and related production occupations [8],15 to 24 years,0.75
2016,Alberta,Full-time employees,Natural resources - agriculture and related production occupations [8],15 to 24 years,
2017,Alberta,Full-time employees,Natural resources - agriculture and related production occupations [8],15 to 24 years,0.89
2018,Alberta,Full-time employees,Natural resources - agriculture and related production occupations [8],15 to 24 years,0.84
2019,Alberta,Full-time employees,Natural resources - agriculture and related production occupations [8],15 to 24 years,1.04
2020,Alberta,Full-time employees,Natural resources - agriculture and related production occupations [8],15 to 24 years,0.9
2015,Alberta,Full-time employees,Natural resources - agriculture and related production occupations [8],25 to 54 years,0.58
2016,Alberta,Full-time employees,Natural resources - agriculture and related production occupations [8],25 to 54 years,0.72
2017,Alberta,Full-time employees,Natural resources - agriculture and related production occupations [8],25 to 54 years,0.66
2018,Alberta,Full-time employees,Natural resources - agriculture and related production occupations [8],25 to 54 years,0.84
2019,Alberta,Full-time employees,Natural resources - agriculture and related production occupations [8],25 to 54 years,0.73
2020,Alberta,Full-time employees,Natural resources - agriculture and related production occupations [8],25 to 54 years,0.86
2015,Alberta,Full-time employees,Natural resources - agriculture and related production occupations [8],55 years and over,
2016,Alberta,Full-time employees,Natural resources - agriculture and related production occupations [8],55 years and over,
2017,Alberta,Full-time employees,Natural resources - agriculture and related production occupations [8],55 years and over,
2018,Alberta,Full-time employees,Natural resources - agriculture and related production occupations [8],55 years and over,
2019,Alberta,Full-time employees,Natural resources - agriculture and related production occupations [8],55 years and over,
2020,Alberta,Full-time employees,Natural resources - agriculture and related production occupations [8],55 years and over,
2015,Alberta,Full-time employees,Occupations in manufacturing and utilities [9],15 years and over,0.73
2016,Alberta,Full-time employees,Occupations in manufacturing and utilities [9],15 years and over,0.68
2017,Alberta,Full-time employees,Occupations in manufacturing and utilities [9],15 years and over,0.67
2018,Alberta,Full-time employees,Occupations in manufacturing and utilities [9],15 years and over,0.71
2019,Alberta,Full-time employees,Occupations in manufacturing and utilities [9],15 years and over,0.67
2020,Alberta,Full-time employees,Occupations in manufacturing and utilities [9],15 years and over,0.69
2015,Alberta,Full-time employees,Occupations in manufacturing and utilities [9],15 to 24 years,0.8
2016,Alberta,Full-time employees,Occupations in manufacturing and utilities [9],15 to 24 years,
2017,Alberta,Full-time employees,Occupations in manufacturing and utilities [9],15 to 24 years,
2018,Alberta,Full-time employees,Occupations in manufacturing and utilities [9],15 to 24 years,
2019,Alberta,Full-time employees,Occupations in manufacturing and utilities [9],15 to 24 years,
2020,Alberta,Full-time employees,Occupations in manufacturing and utilities [9],15 to 24 years,
2015,Alberta,Full-time employees,Occupations in manufacturing and utilities [9],25 to 54 years,0.72
2016,Alberta,Full-time employees,Occupations in manufacturing and utilities [9],25 to 54 years,0.63
2017,Alberta,Full-time employees,Occupations in manufacturing and utilities [9],25 to 54 years,0.65
2018,Alberta,Full-time employees,Occupations in manufacturing and utilities [9],25 to 54 years,0.67
2019,Alberta,Full-time employees,Occupations in manufacturing and utilities [9],25 to 54 years,0.66
2020,Alberta,Full-time employees,Occupations in manufacturing and utilities [9],25 to 54 years,0.73
2015,Alberta,Full-time employees,Occupations in manufacturing and utilities [9],55 years and over,0.64
2016,Alberta,Full-time employees,Occupations in manufacturing and utilities [9],55 years and over,0.65
2017,Alberta,Full-time employees,Occupations in manufacturing and utilities [9],55 years and over,0.57
2018,Alberta,Full-time employees,Occupations in manufacturing and utilities [9],55 years and over,0.7
2019,Alberta,Full-time employees,Occupations in manufacturing and utilities [9],55 years and over,0.66
2020,Alberta,Full-time employees,Occupations in manufacturing and utilities [9],55 years and over,0.52
2015,Alberta,Part-time employees,Total employees - all occupations,15 years and over,1.16
2016,Alberta,Part-time employees,Total employees - all occupations,15 years and over,1.21
2017,Alberta,Part-time employees,Total employees - all occupations,15 years and over,1.13
2018,Alberta,Part-time employees,Total employees - all occupations,15 years and over,1.14
2019,Alberta,Part-time employees,Total employees - all occupations,15 years and over,1.18
2020,Alberta,Part-time employees,Total employees - all occupations,15 years and over,1.09
2015,Alberta,Part-time employees,Total employees - all occupations,15 to 24 years,1.0
2016,Alberta,Part-time employees,Total employees - all occupations,15 to 24 years,0.98
2017,Alberta,Part-time employees,Total employees - all occupations,15 to 24 years,1.03
2018,Alberta,Part-time employees,Total employees - all occupations,15 to 24 years,0.97
2019,Alberta,Part-time employees,Total employees - all occupations,15 to 24 years,1.0
2020,Alberta,Part-time employees,Total employees - all occupations,15 to 24 years,1.0
2015,Alberta,Part-time employees,Total employees - all occupations,25 to 54 years,1.0
2016,Alberta,Part-time employees,Total employees - all occupations,25 to 54 years,1.09
2017,Alberta,Part-time employees,Total employees - all occupations,25 to 54 years,1.0
2018,Alberta,Part-time employees,Total employees - all occupations,25 to 54 years,1.16
2019,Alberta,Part-time employees,Total employees - all occupations,25 to 54 years,1.09
2020,Alberta,Part-time employees,Total employees - all occupations,25 to 54 years,1.12
2015,Alberta,Part-time employees,Total employees - all occupations,55 years and over,1.05
2016,Alberta,Part-time employees,Total employees - all occupations,55 years and over,1.1
2017,Alberta,Part-time employees,Total employees - all occupations,55 years and over,1.04
2018,Alberta,Part-time employees,Total employees - all occupations,55 years and over,0.91
2019,Alberta,Part-time employees,Total employees - all occupations,55 years and over,1.05
2020,Alberta,Part-time employees,Total employees - all occupations,55 years and over,0.98
2015,Alberta,Part-time employees,Management occupations [0],15 years and over,
2016,Alberta,Part-time employees,Management occupations [0],15 years and over,
2017,Alberta,Part-time employees,Management occupations [0],15 years and over,0.96
2018,Alberta,Part-time employees,Management occupations [0],15 years and over,
2019,Alberta,Part-time employees,Management occupations [0],15 years and over,
2020,Alberta,Part-time employees,Management occupations [0],15 years and over,
2015,Alberta,Part-time employees,Management occupations [0],15 to 24 years,
2016,Alberta,Part-time employees,Management occupations [0],15 to 24 years,
2017,Alberta,Part-time employees,Management occupations [0],15 to 24 years,
2018,Alberta,Part-time employees,Management occupations [0],15 to 24 years,
2019,Alberta,Part-time employees,Management occupations [0],15 to 24 years,
2020,Alberta,Part-time employees,Management occupations [0],15 to 24 years,
2015,Alberta,Part-time employees,Management occupations [0],25 to 54 years,
2016,Alberta,Part-time employees,Management occupations [0],25 to 54 years,
2017,Alberta,Part-time employees,Management occupations [0],25 to 54 years,
2018,Alberta,Part-time employees,Management occupations [0],25 to 54 years,
2019,Alberta,Part-time employees,Management occupations [0],25 to 54 years,
2020,Alberta,Part-time employees,Management occupations [0],25 to 54 years,
2015,Alberta,Part-time employees,Management occupations [0],55 years and over,
2016,Alberta,Part-time employees,Management occupations [0],55 years and over,
2017,Alberta,Part-time employees,Management occupations [0],55 years and over,
2018,Alberta,Part-time employees,Management occupations [0],55 years and over,
2019,Alberta,Part-time employees,Management occupations [0],55 years and over,
2020,Alberta,Part-time employees,Management occupations [0],55 years and over,
2015,Alberta,Part-time employees,Business - finance and administration occupations [1],15 years and over,1.33
2016,Alberta,Part-time employees,Business - finance and administration occupations [1],15 years and over,1.29
2017,Alberta,Part-time employees,Business - finance and administration occupations [1],15 years and over,0.95
2018,Alberta,Part-time employees,Business - finance and administration occupations [1],15 years and over,1.17
2019,Alberta,Part-time employees,Business - finance and administration occupations [1],15 years and over,1.15
2020,Alberta,Part-time employees,Business - finance and administration occupations [1],15 years and over,1.05
2015,Alberta,Part-time employees,Business - finance and administration occupations [1],15 to 24 years,1.15
2016,Alberta,Part-time employees,Business - finance and administration occupations [1],15 to 24 years,1.08
2017,Alberta,Part-time employees,Business - finance and administration occupations [1],15 to 24 years,0.98
2018,Alberta,Part-time employees,Business - finance and administration occupations [1],15 to 24 years,0.93
2019,Alberta,Part-time employees,Business - finance and administration occupations [1],15 to 24 years,0.94
2020,Alberta,Part-time employees,Business - finance and administration occupations [1],15 to 24 years,0.86
2015,Alberta,Part-time employees,Business - finance and administration occupations [1],25 to 54 years,1.42
