Year,Geography,Persons in low income,Value
2018,"Quebec, Montréal",Persons under 18 years in economic families,8.9
2019,"Quebec, Montréal",Persons under 18 years in economic families,7.4
2015,"Quebec, Montréal",Persons under 18 years in couple families with children,17.4
2016,"Quebec, Montréal",Persons under 18 years in couple families with children,10.9
2017,"Quebec, Montréal",Persons under 18 years in couple families with children,12.4
2018,"Quebec, Montréal",Persons under 18 years in couple families with children,7.5
2019,"Quebec, Montréal",Persons under 18 years in couple families with children,6.9
2015,"Quebec, Montréal",Persons under 18 years in female lone-parent families,34.0
2016,"Quebec, Montréal",Persons under 18 years in female lone-parent families,26.5
2017,"Quebec, Montréal",Persons under 18 years in female lone-parent families,28.9
2018,"Quebec, Montréal",Persons under 18 years in female lone-parent families,20.8
2019,"Quebec, Montréal",Persons under 18 years in female lone-parent families,
2015,"Quebec, Montréal",Persons 18 to 64 years in economic families,14.2
2016,"Quebec, Montréal",Persons 18 to 64 years in economic families,8.3
2017,"Quebec, Montréal",Persons 18 to 64 years in economic families,10.7
2018,"Quebec, Montréal",Persons 18 to 64 years in economic families,7.9
2019,"Quebec, Montréal",Persons 18 to 64 years in economic families,6.7
2015,"Quebec, Montréal",Persons not in an economic family,33.0
2016,"Quebec, Montréal",Persons not in an economic family,30.4
2017,"Quebec, Montréal",Persons not in an economic family,27.7
2018,"Quebec, Montréal",Persons not in an economic family,29.1
2019,"Quebec, Montréal",Persons not in an economic family,28.4
2015,"Quebec, Montréal",Males not in an economic family,30.5
2016,"Quebec, Montréal",Males not in an economic family,34.5
2017,"Quebec, Montréal",Males not in an economic family,28.7
2018,"Quebec, Montréal",Males not in an economic family,29.7
2019,"Quebec, Montréal",Males not in an economic family,31.3
2015,"Quebec, Montréal",Females not in an economic family,35.3
2016,"Quebec, Montréal",Females not in an economic family,26.1
2017,"Quebec, Montréal",Females not in an economic family,26.9
2018,"Quebec, Montréal",Females not in an economic family,28.4
2019,"Quebec, Montréal",Females not in an economic family,25.6
2015,"Quebec, Montréal",Elderly persons not in an economic family,15.5
2016,"Quebec, Montréal",Elderly persons not in an economic family,22.2
2017,"Quebec, Montréal",Elderly persons not in an economic family,17.6
2018,"Quebec, Montréal",Elderly persons not in an economic family,15.6
2019,"Quebec, Montréal",Elderly persons not in an economic family,13.7
2015,"Quebec, Montréal",Non-elderly persons not in an economic family,38.6
2016,"Quebec, Montréal",Non-elderly persons not in an economic family,33.1
2017,"Quebec, Montréal",Non-elderly persons not in an economic family,31.8
2018,"Quebec, Montréal",Non-elderly persons not in an economic family,34.4
2019,"Quebec, Montréal",Non-elderly persons not in an economic family,35.6
2015,"Quebec, Montréal",Non-elderly males not in an economic family,34.0
2016,"Quebec, Montréal",Non-elderly males not in an economic family,35.3
2017,"Quebec, Montréal",Non-elderly males not in an economic family,32.2
2018,"Quebec, Montréal",Non-elderly males not in an economic family,32.4
2019,"Quebec, Montréal",Non-elderly males not in an economic family,36.2
2015,"Quebec, Montréal",Non-elderly females not in an economic family,44.0
2016,"Quebec, Montréal",Non-elderly females not in an economic family,30.0
2017,"Quebec, Montréal",Non-elderly females not in an economic family,31.3
2018,"Quebec, Montréal",Non-elderly females not in an economic family,37.3
2019,"Quebec, Montréal",Non-elderly females not in an economic family,34.7
2015,"Ontario/Quebec, Ottawa-Gatineau",All persons,13.4
2016,"Ontario/Quebec, Ottawa-Gatineau",All persons,10.6
2017,"Ontario/Quebec, Ottawa-Gatineau",All persons,10.8
2018,"Ontario/Quebec, Ottawa-Gatineau",All persons,11.1
2019,"Ontario/Quebec, Ottawa-Gatineau",All persons,8.2
2015,"Ontario/Quebec, Ottawa-Gatineau",Persons under 18 years,14.1
2016,"Ontario/Quebec, Ottawa-Gatineau",Persons under 18 years,9.9
2017,"Ontario/Quebec, Ottawa-Gatineau",Persons under 18 years,9.0
2018,"Ontario/Quebec, Ottawa-Gatineau",Persons under 18 years,11.2
2019,"Ontario/Quebec, Ottawa-Gatineau",Persons under 18 years,7.8
2015,"Ontario/Quebec, Ottawa-Gatineau",Persons 18 to 64 years,15.1
2016,"Ontario/Quebec, Ottawa-Gatineau",Persons 18 to 64 years,12.3
2017,"Ontario/Quebec, Ottawa-Gatineau",Persons 18 to 64 years,12.5
2018,"Ontario/Quebec, Ottawa-Gatineau",Persons 18 to 64 years,12.6
2019,"Ontario/Quebec, Ottawa-Gatineau",Persons 18 to 64 years,9.0
2015,"Ontario/Quebec, Ottawa-Gatineau",Persons 65 years and over,
2016,"Ontario/Quebec, Ottawa-Gatineau",Persons 65 years and over,
2017,"Ontario/Quebec, Ottawa-Gatineau",Persons 65 years and over,5.4
2018,"Ontario/Quebec, Ottawa-Gatineau",Persons 65 years and over,5.0
2019,"Ontario/Quebec, Ottawa-Gatineau",Persons 65 years and over,5.6
2015,"Ontario/Quebec, Ottawa-Gatineau",Males,12.2
2016,"Ontario/Quebec, Ottawa-Gatineau",Males,10.6
2017,"Ontario/Quebec, Ottawa-Gatineau",Males,10.8
2018,"Ontario/Quebec, Ottawa-Gatineau",Males,12.0
2019,"Ontario/Quebec, Ottawa-Gatineau",Males,8.7
2015,"Ontario/Quebec, Ottawa-Gatineau","Males, under 18 years",13.4
2016,"Ontario/Quebec, Ottawa-Gatineau","Males, under 18 years",
2017,"Ontario/Quebec, Ottawa-Gatineau","Males, under 18 years",10.8
2018,"Ontario/Quebec, Ottawa-Gatineau","Males, under 18 years",
2019,"Ontario/Quebec, Ottawa-Gatineau","Males, under 18 years",8.8
2015,"Ontario/Quebec, Ottawa-Gatineau","Males, 18 to 64 years",13.9
2016,"Ontario/Quebec, Ottawa-Gatineau","Males, 18 to 64 years",12.4
2017,"Ontario/Quebec, Ottawa-Gatineau","Males, 18 to 64 years",11.9
2018,"Ontario/Quebec, Ottawa-Gatineau","Males, 18 to 64 years",13.7
2019,"Ontario/Quebec, Ottawa-Gatineau","Males, 18 to 64 years",9.6
2015,"Ontario/Quebec, Ottawa-Gatineau","Males, 65 years and over",
2016,"Ontario/Quebec, Ottawa-Gatineau","Males, 65 years and over",
2017,"Ontario/Quebec, Ottawa-Gatineau","Males, 65 years and over",
2018,"Ontario/Quebec, Ottawa-Gatineau","Males, 65 years and over",4.8
2019,"Ontario/Quebec, Ottawa-Gatineau","Males, 65 years and over",
2015,"Ontario/Quebec, Ottawa-Gatineau",Females,14.4
2016,"Ontario/Quebec, Ottawa-Gatineau",Females,10.6
2017,"Ontario/Quebec, Ottawa-Gatineau",Females,10.8
2018,"Ontario/Quebec, Ottawa-Gatineau",Females,10.3
2019,"Ontario/Quebec, Ottawa-Gatineau",Females,7.8
2015,"Ontario/Quebec, Ottawa-Gatineau","Females, under 18 years",14.6
2016,"Ontario/Quebec, Ottawa-Gatineau","Females, under 18 years",11.3
2017,"Ontario/Quebec, Ottawa-Gatineau","Females, under 18 years",7.2
2018,"Ontario/Quebec, Ottawa-Gatineau","Females, under 18 years",10.9
2019,"Ontario/Quebec, Ottawa-Gatineau","Females, under 18 years",
2015,"Ontario/Quebec, Ottawa-Gatineau","Females, 18 to 64 years",16.1
2016,"Ontario/Quebec, Ottawa-Gatineau","Females, 18 to 64 years",12.2
2017,"Ontario/Quebec, Ottawa-Gatineau","Females, 18 to 64 years",13.0
2018,"Ontario/Quebec, Ottawa-Gatineau","Females, 18 to 64 years",11.4
2019,"Ontario/Quebec, Ottawa-Gatineau","Females, 18 to 64 years",8.4
2015,"Ontario/Quebec, Ottawa-Gatineau","Females, 65 years and over",
2016,"Ontario/Quebec, Ottawa-Gatineau","Females, 65 years and over",
2017,"Ontario/Quebec, Ottawa-Gatineau","Females, 65 years and over",
2018,"Ontario/Quebec, Ottawa-Gatineau","Females, 65 years and over",5.2
2019,"Ontario/Quebec, Ottawa-Gatineau","Females, 65 years and over",6.6
2015,"Ontario/Quebec, Ottawa-Gatineau",Persons in economic families,8.3
2016,"Ontario/Quebec, Ottawa-Gatineau",Persons in economic families,6.7
2017,"Ontario/Quebec, Ottawa-Gatineau",Persons in economic families,6.8
2018,"Ontario/Quebec, Ottawa-Gatineau",Persons in economic families,7.8
2019,"Ontario/Quebec, Ottawa-Gatineau",Persons in economic families,5.0
2015,"Ontario/Quebec, Ottawa-Gatineau",Males in economic families,7.5
2016,"Ontario/Quebec, Ottawa-Gatineau",Males in economic families,6.4
2017,"Ontario/Quebec, Ottawa-Gatineau",Males in economic families,6.4
2018,"Ontario/Quebec, Ottawa-Gatineau",Males in economic families,7.9
2019,"Ontario/Quebec, Ottawa-Gatineau",Males in economic families,5.2
2015,"Ontario/Quebec, Ottawa-Gatineau",Females in economic families,9.0
2016,"Ontario/Quebec, Ottawa-Gatineau",Females in economic families,7.0
2017,"Ontario/Quebec, Ottawa-Gatineau",Females in economic families,7.3
2018,"Ontario/Quebec, Ottawa-Gatineau",Females in economic families,7.6
2019,"Ontario/Quebec, Ottawa-Gatineau",Females in economic families,4.9
2015,"Ontario/Quebec, Ottawa-Gatineau",Elderly persons in economic families,
2016,"Ontario/Quebec, Ottawa-Gatineau",Elderly persons in economic families,
2017,"Ontario/Quebec, Ottawa-Gatineau",Elderly persons in economic families,
2018,"Ontario/Quebec, Ottawa-Gatineau",Elderly persons in economic families,
2019,"Ontario/Quebec, Ottawa-Gatineau",Elderly persons in economic families,
2015,"Ontario/Quebec, Ottawa-Gatineau",Persons under 18 years in economic families,14.1
2016,"Ontario/Quebec, Ottawa-Gatineau",Persons under 18 years in economic families,9.9
2017,"Ontario/Quebec, Ottawa-Gatineau",Persons under 18 years in economic families,9.0
2018,"Ontario/Quebec, Ottawa-Gatineau",Persons under 18 years in economic families,11.2
2019,"Ontario/Quebec, Ottawa-Gatineau",Persons under 18 years in economic families,7.8
2015,"Ontario/Quebec, Ottawa-Gatineau",Persons under 18 years in couple families with children,
2016,"Ontario/Quebec, Ottawa-Gatineau",Persons under 18 years in couple families with children,
2017,"Ontario/Quebec, Ottawa-Gatineau",Persons under 18 years in couple families with children,6.2
2018,"Ontario/Quebec, Ottawa-Gatineau",Persons under 18 years in couple families with children,
2019,"Ontario/Quebec, Ottawa-Gatineau",Persons under 18 years in couple families with children,
2015,"Ontario/Quebec, Ottawa-Gatineau",Persons under 18 years in female lone-parent families,56.4
2016,"Ontario/Quebec, Ottawa-Gatineau",Persons under 18 years in female lone-parent families,41.1
2017,"Ontario/Quebec, Ottawa-Gatineau",Persons under 18 years in female lone-parent families,34.5
2018,"Ontario/Quebec, Ottawa-Gatineau",Persons under 18 years in female lone-parent families,50.7
2019,"Ontario/Quebec, Ottawa-Gatineau",Persons under 18 years in female lone-parent families,
2015,"Ontario/Quebec, Ottawa-Gatineau",Persons 18 to 64 years in economic families,7.7
2016,"Ontario/Quebec, Ottawa-Gatineau",Persons 18 to 64 years in economic families,6.3
2017,"Ontario/Quebec, Ottawa-Gatineau",Persons 18 to 64 years in economic families,7.5
2018,"Ontario/Quebec, Ottawa-Gatineau",Persons 18 to 64 years in economic families,7.9
2019,"Ontario/Quebec, Ottawa-Gatineau",Persons 18 to 64 years in economic families,4.9
2015,"Ontario/Quebec, Ottawa-Gatineau",Persons not in an economic family,36.1
2016,"Ontario/Quebec, Ottawa-Gatineau",Persons not in an economic family,27.3
2017,"Ontario/Quebec, Ottawa-Gatineau",Persons not in an economic family,28.3
2018,"Ontario/Quebec, Ottawa-Gatineau",Persons not in an economic family,28.4
2019,"Ontario/Quebec, Ottawa-Gatineau",Persons not in an economic family,23.9
2015,"Ontario/Quebec, Ottawa-Gatineau",Males not in an economic family,33.4
2016,"Ontario/Quebec, Ottawa-Gatineau",Males not in an economic family,28.8
2017,"Ontario/Quebec, Ottawa-Gatineau",Males not in an economic family,30.9
2018,"Ontario/Quebec, Ottawa-Gatineau",Males not in an economic family,33.0
2019,"Ontario/Quebec, Ottawa-Gatineau",Males not in an economic family,23.7
2015,"Ontario/Quebec, Ottawa-Gatineau",Females not in an economic family,38.5
2016,"Ontario/Quebec, Ottawa-Gatineau",Females not in an economic family,25.8
2017,"Ontario/Quebec, Ottawa-Gatineau",Females not in an economic family,26.0
2018,"Ontario/Quebec, Ottawa-Gatineau",Females not in an economic family,24.1
2019,"Ontario/Quebec, Ottawa-Gatineau",Females not in an economic family,24.1
2015,"Ontario/Quebec, Ottawa-Gatineau",Elderly persons not in an economic family,17.1
2016,"Ontario/Quebec, Ottawa-Gatineau",Elderly persons not in an economic family,
2017,"Ontario/Quebec, Ottawa-Gatineau",Elderly persons not in an economic family,19.4
2018,"Ontario/Quebec, Ottawa-Gatineau",Elderly persons not in an economic family,15.5
2019,"Ontario/Quebec, Ottawa-Gatineau",Elderly persons not in an economic family,18.4
2015,"Ontario/Quebec, Ottawa-Gatineau",Non-elderly persons not in an economic family,40.2
2016,"Ontario/Quebec, Ottawa-Gatineau",Non-elderly persons not in an economic family,33.6
2017,"Ontario/Quebec, Ottawa-Gatineau",Non-elderly persons not in an economic family,30.9
2018,"Ontario/Quebec, Ottawa-Gatineau",Non-elderly persons not in an economic family,33.5
2019,"Ontario/Quebec, Ottawa-Gatineau",Non-elderly persons not in an economic family,25.7
2015,"Ontario/Quebec, Ottawa-Gatineau",Non-elderly males not in an economic family,36.1
2016,"Ontario/Quebec, Ottawa-Gatineau",Non-elderly males not in an economic family,32.4
2017,"Ontario/Quebec, Ottawa-Gatineau",Non-elderly males not in an economic family,31.5
2018,"Ontario/Quebec, Ottawa-Gatineau",Non-elderly males not in an economic family,35.9
2019,"Ontario/Quebec, Ottawa-Gatineau",Non-elderly males not in an economic family,23.5
2015,"Ontario/Quebec, Ottawa-Gatineau",Non-elderly females not in an economic family,44.5
2016,"Ontario/Quebec, Ottawa-Gatineau",Non-elderly females not in an economic family,35.1
2017,"Ontario/Quebec, Ottawa-Gatineau",Non-elderly females not in an economic family,30.3
2018,"Ontario/Quebec, Ottawa-Gatineau",Non-elderly females not in an economic family,30.5
2019,"Ontario/Quebec, Ottawa-Gatineau",Non-elderly females not in an economic family,29.9
2015,"Toronto, Ontario",All persons,19.2
2016,"Toronto, Ontario",All persons,17.4
2017,"Toronto, Ontario",All persons,14.2
2018,"Toronto, Ontario",All persons,13.9
2019,"Toronto, Ontario",All persons,13.4
2015,"Toronto, Ontario",Persons under 18 years,24.1
2016,"Toronto, Ontario",Persons under 18 years,21.1
2017,"Toronto, Ontario",Persons under 18 years,15.4
2018,"Toronto, Ontario",Persons under 18 years,15.2
2019,"Toronto, Ontario",Persons under 18 years,17.9
2015,"Toronto, Ontario",Persons 18 to 64 years,19.8
2016,"Toronto, Ontario",Persons 18 to 64 years,18.0
2017,"Toronto, Ontario",Persons 18 to 64 years,15.3
2018,"Toronto, Ontario",Persons 18 to 64 years,14.9
2019,"Toronto, Ontario",Persons 18 to 64 years,13.3
2015,"Toronto, Ontario",Persons 65 years and over,8.5
2016,"Toronto, Ontario",Persons 65 years and over,9.6
2017,"Toronto, Ontario",Persons 65 years and over,7.0
2018,"Toronto, Ontario",Persons 65 years and over,7.5
2019,"Toronto, Ontario",Persons 65 years and over,7.8
2015,"Toronto, Ontario",Males,18.6
2016,"Toronto, Ontario",Males,15.8
2017,"Toronto, Ontario",Males,14.1
2018,"Toronto, Ontario",Males,14.6
2019,"Toronto, Ontario",Males,12.3
2015,"Toronto, Ontario","Males, under 18 years",23.1
2016,"Toronto, Ontario","Males, under 18 years",16.8
2017,"Toronto, Ontario","Males, under 18 years",14.0
2018,"Toronto, Ontario","Males, under 18 years",16.1
2019,"Toronto, Ontario","Males, under 18 years",16.6
2015,"Toronto, Ontario","Males, 18 to 64 years",19.3
2016,"Toronto, Ontario","Males, 18 to 64 years",16.5
2017,"Toronto, Ontario","Males, 18 to 64 years",15.4
2018,"Toronto, Ontario","Males, 18 to 64 years",15.6
2019,"Toronto, Ontario","Males, 18 to 64 years",12.0
2015,"Toronto, Ontario","Males, 65 years and over",6.5
2016,"Toronto, Ontario","Males, 65 years and over",10.7
2017,"Toronto, Ontario","Males, 65 years and over",7.5
2018,"Toronto, Ontario","Males, 65 years and over",8.2
2019,"Toronto, Ontario","Males, 65 years and over",7.8
2015,"Toronto, Ontario",Females,19.8
2016,"Toronto, Ontario",Females,18.9
2017,"Toronto, Ontario",Females,14.3
2018,"Toronto, Ontario",Females,13.1
2019,"Toronto, Ontario",Females,14.4
2015,"Toronto, Ontario","Females, under 18 years",25.1
2016,"Toronto, Ontario","Females, under 18 years",25.2
2017,"Toronto, Ontario","Females, under 18 years",16.9
2018,"Toronto, Ontario","Females, under 18 years",14.3
2019,"Toronto, Ontario","Females, under 18 years",19.1
2015,"Toronto, Ontario","Females, 18 to 64 years",20.3
2016,"Toronto, Ontario","Females, 18 to 64 years",19.5
2017,"Toronto, Ontario","Females, 18 to 64 years",15.3
2018,"Toronto, Ontario","Females, 18 to 64 years",14.3
2019,"Toronto, Ontario","Females, 18 to 64 years",14.6
2015,"Toronto, Ontario","Females, 65 years and over",10.1
2016,"Toronto, Ontario","Females, 65 years and over",8.7
2017,"Toronto, Ontario","Females, 65 years and over",6.6
2018,"Toronto, Ontario","Females, 65 years and over",6.9
2019,"Toronto, Ontario","Females, 65 years and over",7.8
2015,"Toronto, Ontario",Persons in economic families,16.1
2016,"Toronto, Ontario",Persons in economic families,14.7
2017,"Toronto, Ontario",Persons in economic families,11.3
2018,"Toronto, Ontario",Persons in economic families,10.4
2019,"Toronto, Ontario",Persons in economic families,11.6
2015,"Toronto, Ontario",Males in economic families,15.6
2016,"Toronto, Ontario",Males in economic families,13.0
2017,"Toronto, Ontario",Males in economic families,10.8
2018,"Toronto, Ontario",Males in economic families,9.9
2019,"Toronto, Ontario",Males in economic families,10.6
2015,"Toronto, Ontario",Females in economic families,16.6
2016,"Toronto, Ontario",Females in economic families,16.3
2017,"Toronto, Ontario",Females in economic families,11.9
2018,"Toronto, Ontario",Females in economic families,10.8
2019,"Toronto, Ontario",Females in economic families,12.6
2015,"Toronto, Ontario",Elderly persons in economic families,6.0
2016,"Toronto, Ontario",Elderly persons in economic families,6.9
2017,"Toronto, Ontario",Elderly persons in economic families,4.2
2018,"Toronto, Ontario",Elderly persons in economic families,4.2
2019,"Toronto, Ontario",Elderly persons in economic families,6.0
2015,"Toronto, Ontario",Persons under 18 years in economic families,24.1
2016,"Toronto, Ontario",Persons under 18 years in economic families,21.1
2017,"Toronto, Ontario",Persons under 18 years in economic families,15.2
2018,"Toronto, Ontario",Persons under 18 years in economic families,14.8
2019,"Toronto, Ontario",Persons under 18 years in economic families,17.9
2015,"Toronto, Ontario",Persons under 18 years in couple families with children,23.4
2016,"Toronto, Ontario",Persons under 18 years in couple families with children,16.6
2017,"Toronto, Ontario",Persons under 18 years in couple families with children,12.7
2018,"Toronto, Ontario",Persons under 18 years in couple families with children,10.7
2019,"Toronto, Ontario",Persons under 18 years in couple families with children,13.5
2015,"Toronto, Ontario",Persons under 18 years in female lone-parent families,35.5
2016,"Toronto, Ontario",Persons under 18 years in female lone-parent families,47.9
2017,"Toronto, Ontario",Persons under 18 years in female lone-parent families,37.4
2018,"Toronto, Ontario",Persons under 18 years in female lone-parent families,37.3
2019,"Toronto, Ontario",Persons under 18 years in female lone-parent families,56.4
2015,"Toronto, Ontario",Persons 18 to 64 years in economic families,15.1
2016,"Toronto, Ontario",Persons 18 to 64 years in economic families,14.0
2017,"Toronto, Ontario",Persons 18 to 64 years in economic families,11.4
2018,"Toronto, Ontario",Persons 18 to 64 years in economic families,10.1
2019,"Toronto, Ontario",Persons 18 to 64 years in economic families,10.7
2015,"Toronto, Ontario",Persons not in an economic family,39.8
2016,"Toronto, Ontario",Persons not in an economic family,37.0
2017,"Toronto, Ontario",Persons not in an economic family,35.8
2018,"Toronto, Ontario",Persons not in an economic family,37.1
2019,"Toronto, Ontario",Persons not in an economic family,26.2
2015,"Toronto, Ontario",Males not in an economic family,39.2
2016,"Toronto, Ontario",Males not in an economic family,37.0
2017,"Toronto, Ontario",Males not in an economic family,40.2
2018,"Toronto, Ontario",Males not in an economic family,43.9
2019,"Toronto, Ontario",Males not in an economic family,26.6
2015,"Toronto, Ontario",Females not in an economic family,40.4
2016,"Toronto, Ontario",Females not in an economic family,37.1
2017,"Toronto, Ontario",Females not in an economic family,31.8
2018,"Toronto, Ontario",Females not in an economic family,29.8
2019,"Toronto, Ontario",Females not in an economic family,25.9
2015,"Toronto, Ontario",Elderly persons not in an economic family,18.2
2016,"Toronto, Ontario",Elderly persons not in an economic family,20.4
2017,"Toronto, Ontario",Elderly persons not in an economic family,17.6
2018,"Toronto, Ontario",Elderly persons not in an economic family,18.6
2019,"Toronto, Ontario",Elderly persons not in an economic family,12.9
2015,"Toronto, Ontario",Non-elderly persons not in an economic family,45.4
2016,"Toronto, Ontario",Non-elderly persons not in an economic family,42.2
2017,"Toronto, Ontario",Non-elderly persons not in an economic family,41.7
2018,"Toronto, Ontario",Non-elderly persons not in an economic family,43.6
2019,"Toronto, Ontario",Non-elderly persons not in an economic family,32.3
2015,"Toronto, Ontario",Non-elderly males not in an economic family,43.0
2016,"Toronto, Ontario",Non-elderly males not in an economic family,37.8
2017,"Toronto, Ontario",Non-elderly males not in an economic family,43.1
2018,"Toronto, Ontario",Non-elderly males not in an economic family,48.1
2019,"Toronto, Ontario",Non-elderly males not in an economic family,30.2
2015,"Toronto, Ontario",Non-elderly females not in an economic family,48.0
2016,"Toronto, Ontario",Non-elderly females not in an economic family,47.1
2017,"Toronto, Ontario",Non-elderly females not in an economic family,40.2
2018,"Toronto, Ontario",Non-elderly females not in an economic family,37.5
2019,"Toronto, Ontario",Non-elderly females not in an economic family,34.3
2015,"Winnipeg, Manitoba",All persons,15.5
2016,"Winnipeg, Manitoba",All persons,13.5
2017,"Winnipeg, Manitoba",All persons,12.3
2018,"Winnipeg, Manitoba",All persons,12.0
2019,"Winnipeg, Manitoba",All persons,11.2
2015,"Winnipeg, Manitoba",Persons under 18 years,20.8
2016,"Winnipeg, Manitoba",Persons under 18 years,17.7
2017,"Winnipeg, Manitoba",Persons under 18 years,13.8
2018,"Winnipeg, Manitoba",Persons under 18 years,14.4
2019,"Winnipeg, Manitoba",Persons under 18 years,12.4
2015,"Winnipeg, Manitoba",Persons 18 to 64 years,15.9
2016,"Winnipeg, Manitoba",Persons 18 to 64 years,13.9
2017,"Winnipeg, Manitoba",Persons 18 to 64 years,13.1
2018,"Winnipeg, Manitoba",Persons 18 to 64 years,12.7
2019,"Winnipeg, Manitoba",Persons 18 to 64 years,11.9
2015,"Winnipeg, Manitoba",Persons 65 years and over,5.9
2016,"Winnipeg, Manitoba",Persons 65 years and over,5.2
2017,"Winnipeg, Manitoba",Persons 65 years and over,6.4
2018,"Winnipeg, Manitoba",Persons 65 years and over,6.2
2019,"Winnipeg, Manitoba",Persons 65 years and over,6.6
2015,"Winnipeg, Manitoba",Males,15.8
2016,"Winnipeg, Manitoba",Males,13.6
2017,"Winnipeg, Manitoba",Males,12.0
2018,"Winnipeg, Manitoba",Males,11.8
2019,"Winnipeg, Manitoba",Males,11.9
2015,"Winnipeg, Manitoba","Males, under 18 years",24.5
2016,"Winnipeg, Manitoba","Males, under 18 years",18.4
2017,"Winnipeg, Manitoba","Males, under 18 years",12.0
2018,"Winnipeg, Manitoba","Males, under 18 years",14.5
2019,"Winnipeg, Manitoba","Males, under 18 years",13.9
2015,"Winnipeg, Manitoba","Males, 18 to 64 years",15.6
2016,"Winnipeg, Manitoba","Males, 18 to 64 years",14.0
2017,"Winnipeg, Manitoba","Males, 18 to 64 years",13.2
2018,"Winnipeg, Manitoba","Males, 18 to 64 years",12.6
2019,"Winnipeg, Manitoba","Males, 18 to 64 years",12.4
2015,"Winnipeg, Manitoba","Males, 65 years and over",
2016,"Winnipeg, Manitoba","Males, 65 years and over",3.7
2017,"Winnipeg, Manitoba","Males, 65 years and over",6.0
2018,"Winnipeg, Manitoba","Males, 65 years and over",4.9
2019,"Winnipeg, Manitoba","Males, 65 years and over",7.0
2015,"Winnipeg, Manitoba",Females,15.3
2016,"Winnipeg, Manitoba",Females,13.3
2017,"Winnipeg, Manitoba",Females,12.5
2018,"Winnipeg, Manitoba",Females,12.1
2019,"Winnipeg, Manitoba",Females,10.6
2015,"Winnipeg, Manitoba","Females, under 18 years",17.3
2016,"Winnipeg, Manitoba","Females, under 18 years",16.9
2017,"Winnipeg, Manitoba","Females, under 18 years",15.6
2018,"Winnipeg, Manitoba","Females, under 18 years",14.2
2019,"Winnipeg, Manitoba","Females, under 18 years",11.0
2015,"Winnipeg, Manitoba","Females, 18 to 64 years",16.3
2016,"Winnipeg, Manitoba","Females, 18 to 64 years",13.8
2017,"Winnipeg, Manitoba","Females, 18 to 64 years",13.0
2018,"Winnipeg, Manitoba","Females, 18 to 64 years",12.8
2019,"Winnipeg, Manitoba","Females, 18 to 64 years",11.5
2015,"Winnipeg, Manitoba","Females, 65 years and over",8.4
2016,"Winnipeg, Manitoba","Females, 65 years and over",6.4
2017,"Winnipeg, Manitoba","Females, 65 years and over",6.7
2018,"Winnipeg, Manitoba","Females, 65 years and over",7.3
2019,"Winnipeg, Manitoba","Females, 65 years and over",6.2
2015,"Winnipeg, Manitoba",Persons in economic families,12.9
2016,"Winnipeg, Manitoba",Persons in economic families,10.9
2017,"Winnipeg, Manitoba",Persons in economic families,8.8
2018,"Winnipeg, Manitoba",Persons in economic families,8.6
2019,"Winnipeg, Manitoba",Persons in economic families,7.6
2015,"Winnipeg, Manitoba",Males in economic families,13.1
2016,"Winnipeg, Manitoba",Males in economic families,10.5
2017,"Winnipeg, Manitoba",Males in economic families,7.8
2018,"Winnipeg, Manitoba",Males in economic families,8.0
2019,"Winnipeg, Manitoba",Males in economic families,7.6
2015,"Winnipeg, Manitoba",Females in economic families,12.7
2016,"Winnipeg, Manitoba",Females in economic families,11.3
2017,"Winnipeg, Manitoba",Females in economic families,9.8
2018,"Winnipeg, Manitoba",Females in economic families,9.2
2019,"Winnipeg, Manitoba",Females in economic families,7.7
2015,"Winnipeg, Manitoba",Elderly persons in economic families,
2016,"Winnipeg, Manitoba",Elderly persons in economic families,
2017,"Winnipeg, Manitoba",Elderly persons in economic families,3.8
2018,"Winnipeg, Manitoba",Elderly persons in economic families,3.0
2019,"Winnipeg, Manitoba",Elderly persons in economic families,
2015,"Winnipeg, Manitoba",Persons under 18 years in economic families,20.6
2016,"Winnipeg, Manitoba",Persons under 18 years in economic families,17.7
2017,"Winnipeg, Manitoba",Persons under 18 years in economic families,13.8
2018,"Winnipeg, Manitoba",Persons under 18 years in economic families,14.1
2019,"Winnipeg, Manitoba",Persons under 18 years in economic families,12.4
2015,"Winnipeg, Manitoba",Persons under 18 years in couple families with children,14.6
2016,"Winnipeg, Manitoba",Persons under 18 years in couple families with children,13.6
2017,"Winnipeg, Manitoba",Persons under 18 years in couple families with children,10.8
2018,"Winnipeg, Manitoba",Persons under 18 years in couple families with children,9.6
2019,"Winnipeg, Manitoba",Persons under 18 years in couple families with children,11.3
2015,"Winnipeg, Manitoba",Persons under 18 years in female lone-parent families,47.2
2016,"Winnipeg, Manitoba",Persons under 18 years in female lone-parent families,47.8
2017,"Winnipeg, Manitoba",Persons under 18 years in female lone-parent families,41.8
2018,"Winnipeg, Manitoba",Persons under 18 years in female lone-parent families,37.6
2019,"Winnipeg, Manitoba",Persons under 18 years in female lone-parent families,
2015,"Winnipeg, Manitoba",Persons 18 to 64 years in economic families,12.1
2016,"Winnipeg, Manitoba",Persons 18 to 64 years in economic families,9.9
2017,"Winnipeg, Manitoba",Persons 18 to 64 years in economic families,7.9
2018,"Winnipeg, Manitoba",Persons 18 to 64 years in economic families,7.8
2019,"Winnipeg, Manitoba",Persons 18 to 64 years in economic families,6.9
2015,"Winnipeg, Manitoba",Persons not in an economic family,30.0
2016,"Winnipeg, Manitoba",Persons not in an economic family,28.3
