Year,Units,Geography,Offences,Age of accused,Sex of accused,Value
2014/2015,Youth courts,Nunavut,Total offences,"Total, age of accused",Sex unknown,75.0
2015/2016,Youth courts,Nunavut,Total offences,"Total, age of accused",Sex unknown,177.0
2016/2017,Youth courts,Nunavut,Total offences,"Total, age of accused",Sex unknown,170.0
2017/2018,Youth courts,Nunavut,Total offences,"Total, age of accused",Sex unknown,17.0
2018/2019,Youth courts,Nunavut,Total offences,"Total, age of accused",Sex unknown,95.0
2014/2015,Youth courts,Nunavut,Total offences,12 to 15 years,"Total, sex of accused",72.0
2015/2016,Youth courts,Nunavut,Total offences,12 to 15 years,"Total, sex of accused",110.0
2016/2017,Youth courts,Nunavut,Total offences,12 to 15 years,"Total, sex of accused",170.0
2017/2018,Youth courts,Nunavut,Total offences,12 to 15 years,"Total, sex of accused",167.0
2018/2019,Youth courts,Nunavut,Total offences,12 to 15 years,"Total, sex of accused",96.0
2014/2015,Youth courts,Nunavut,Total offences,12 to 15 years,Males,93.0
2015/2016,Youth courts,Nunavut,Total offences,12 to 15 years,Males,127.0
2016/2017,Youth courts,Nunavut,Total offences,12 to 15 years,Males,171.0
2017/2018,Youth courts,Nunavut,Total offences,12 to 15 years,Males,156.0
2018/2019,Youth courts,Nunavut,Total offences,12 to 15 years,Males,59.0
2014/2015,Youth courts,Nunavut,Total offences,12 to 15 years,Females,65.0
2015/2016,Youth courts,Nunavut,Total offences,12 to 15 years,Females,61.0
2016/2017,Youth courts,Nunavut,Total offences,12 to 15 years,Females,36.0
2017/2018,Youth courts,Nunavut,Total offences,12 to 15 years,Females,267.0
2018/2019,Youth courts,Nunavut,Total offences,12 to 15 years,Females,190.0
2014/2015,Youth courts,Nunavut,Total offences,12 to 15 years,Sex unknown,71.0
2015/2016,Youth courts,Nunavut,Total offences,12 to 15 years,Sex unknown,219.0
2016/2017,Youth courts,Nunavut,Total offences,12 to 15 years,Sex unknown,170.0
2017/2018,Youth courts,Nunavut,Total offences,12 to 15 years,Sex unknown,266.0
2018/2019,Youth courts,Nunavut,Total offences,12 to 15 years,Sex unknown,199.0
2014/2015,Youth courts,Nunavut,Total offences,16 and 17 years,"Total, sex of accused",89.0
2015/2016,Youth courts,Nunavut,Total offences,16 and 17 years,"Total, sex of accused",92.0
2016/2017,Youth courts,Nunavut,Total offences,16 and 17 years,"Total, sex of accused",92.0
2017/2018,Youth courts,Nunavut,Total offences,16 and 17 years,"Total, sex of accused",106.0
2018/2019,Youth courts,Nunavut,Total offences,16 and 17 years,"Total, sex of accused",92.0
2014/2015,Youth courts,Nunavut,Total offences,16 and 17 years,Males,107.0
2015/2016,Youth courts,Nunavut,Total offences,16 and 17 years,Males,82.0
2016/2017,Youth courts,Nunavut,Total offences,16 and 17 years,Males,92.0
2017/2018,Youth courts,Nunavut,Total offences,16 and 17 years,Males,134.0
2018/2019,Youth courts,Nunavut,Total offences,16 and 17 years,Males,93.0
2014/2015,Youth courts,Nunavut,Total offences,16 and 17 years,Females,57.0
2015/2016,Youth courts,Nunavut,Total offences,16 and 17 years,Females,158.0
2016/2017,Youth courts,Nunavut,Total offences,16 and 17 years,Females,63.0
2017/2018,Youth courts,Nunavut,Total offences,16 and 17 years,Females,68.0
2018/2019,Youth courts,Nunavut,Total offences,16 and 17 years,Females,89.0
2014/2015,Youth courts,Nunavut,Total offences,16 and 17 years,Sex unknown,78.0
2015/2016,Youth courts,Nunavut,Total offences,16 and 17 years,Sex unknown,2.0
2016/2017,Youth courts,Nunavut,Total offences,16 and 17 years,Sex unknown,212.0
2017/2018,Youth courts,Nunavut,Total offences,16 and 17 years,Sex unknown,56.0
2018/2019,Youth courts,Nunavut,Total offences,16 and 17 years,Sex unknown,87.0
2014/2015,Youth courts,Nunavut,Total offences,Other ages,"Total, sex of accused",2.0
2015/2016,Youth courts,Nunavut,Total offences,Other ages,"Total, sex of accused",15.0
2016/2017,Youth courts,Nunavut,Total offences,Other ages,"Total, sex of accused",51.0
2017/2018,Youth courts,Nunavut,Total offences,Other ages,"Total, sex of accused",92.0
2018/2019,Youth courts,Nunavut,Total offences,Other ages,"Total, sex of accused",92.0
2014/2015,Youth courts,Nunavut,Total offences,Other ages,Males,2.0
2015/2016,Youth courts,Nunavut,Total offences,Other ages,Males,37.0
2016/2017,Youth courts,Nunavut,Total offences,Other ages,Males,61.0
2017/2018,Youth courts,Nunavut,Total offences,Other ages,Males,124.0
2018/2019,Youth courts,Nunavut,Total offences,Other ages,Males,92.0
2014/2015,Youth courts,Nunavut,Total offences,Other ages,Females,183.0
2015/2016,Youth courts,Nunavut,Total offences,Other ages,Females,0.0
2016/2017,Youth courts,Nunavut,Total offences,Other ages,Females,87.0
2017/2018,Youth courts,Nunavut,Total offences,Other ages,Females,85.0
2018/2019,Youth courts,Nunavut,Total offences,Other ages,Females,74.0
2014/2015,Youth courts,Nunavut,Total offences,Other ages,Sex unknown,0.0
2015/2016,Youth courts,Nunavut,Total offences,Other ages,Sex unknown,1.0
2016/2017,Youth courts,Nunavut,Total offences,Other ages,Sex unknown,2.0
2017/2018,Youth courts,Nunavut,Total offences,Other ages,Sex unknown,2.0
2018/2019,Youth courts,Nunavut,Total offences,Other ages,Sex unknown,254.0
2014/2015,Youth courts,Nunavut,Total offences,Age not applicable,"Total, sex of accused",0.0
2015/2016,Youth courts,Nunavut,Total offences,Age not applicable,"Total, sex of accused",0.0
2016/2017,Youth courts,Nunavut,Total offences,Age not applicable,"Total, sex of accused",0.0
2017/2018,Youth courts,Nunavut,Total offences,Age not applicable,"Total, sex of accused",0.0
2018/2019,Youth courts,Nunavut,Total offences,Age not applicable,"Total, sex of accused",0.0
2014/2015,Youth courts,Nunavut,Total offences,Age not applicable,Company,0.0
2015/2016,Youth courts,Nunavut,Total offences,Age not applicable,Company,0.0
2016/2017,Youth courts,Nunavut,Total offences,Age not applicable,Company,0.0
2017/2018,Youth courts,Nunavut,Total offences,Age not applicable,Company,0.0
2018/2019,Youth courts,Nunavut,Total offences,Age not applicable,Company,0.0
2014/2015,Youth courts,Nunavut,Total Criminal Code,"Total, age of accused","Total, sex of accused",91.0
2015/2016,Youth courts,Nunavut,Total Criminal Code,"Total, age of accused","Total, sex of accused",93.0
2016/2017,Youth courts,Nunavut,Total Criminal Code,"Total, age of accused","Total, sex of accused",127.0
2017/2018,Youth courts,Nunavut,Total Criminal Code,"Total, age of accused","Total, sex of accused",109.0
2018/2019,Youth courts,Nunavut,Total Criminal Code,"Total, age of accused","Total, sex of accused",93.0
2014/2015,Youth courts,Nunavut,Total Criminal Code,"Total, age of accused",Males,101.0
2015/2016,Youth courts,Nunavut,Total Criminal Code,"Total, age of accused",Males,93.0
2016/2017,Youth courts,Nunavut,Total Criminal Code,"Total, age of accused",Males,127.0
2017/2018,Youth courts,Nunavut,Total Criminal Code,"Total, age of accused",Males,154.0
2018/2019,Youth courts,Nunavut,Total Criminal Code,"Total, age of accused",Males,83.0
2014/2015,Youth courts,Nunavut,Total Criminal Code,"Total, age of accused",Females,64.0
2015/2016,Youth courts,Nunavut,Total Criminal Code,"Total, age of accused",Females,93.0
2016/2017,Youth courts,Nunavut,Total Criminal Code,"Total, age of accused",Females,64.0
2017/2018,Youth courts,Nunavut,Total Criminal Code,"Total, age of accused",Females,85.0
2018/2019,Youth courts,Nunavut,Total Criminal Code,"Total, age of accused",Females,93.0
2014/2015,Youth courts,Nunavut,Total Criminal Code,"Total, age of accused",Company,0.0
2015/2016,Youth courts,Nunavut,Total Criminal Code,"Total, age of accused",Company,0.0
2016/2017,Youth courts,Nunavut,Total Criminal Code,"Total, age of accused",Company,0.0
2017/2018,Youth courts,Nunavut,Total Criminal Code,"Total, age of accused",Company,0.0
2018/2019,Youth courts,Nunavut,Total Criminal Code,"Total, age of accused",Company,0.0
2014/2015,Youth courts,Nunavut,Total Criminal Code,"Total, age of accused",Sex unknown,75.0
2015/2016,Youth courts,Nunavut,Total Criminal Code,"Total, age of accused",Sex unknown,177.0
2016/2017,Youth courts,Nunavut,Total Criminal Code,"Total, age of accused",Sex unknown,170.0
2017/2018,Youth courts,Nunavut,Total Criminal Code,"Total, age of accused",Sex unknown,17.0
2018/2019,Youth courts,Nunavut,Total Criminal Code,"Total, age of accused",Sex unknown,95.0
2014/2015,Youth courts,Nunavut,Total Criminal Code,12 to 15 years,"Total, sex of accused",79.0
2015/2016,Youth courts,Nunavut,Total Criminal Code,12 to 15 years,"Total, sex of accused",113.0
2016/2017,Youth courts,Nunavut,Total Criminal Code,12 to 15 years,"Total, sex of accused",170.0
2017/2018,Youth courts,Nunavut,Total Criminal Code,12 to 15 years,"Total, sex of accused",167.0
2018/2019,Youth courts,Nunavut,Total Criminal Code,12 to 15 years,"Total, sex of accused",96.0
2014/2015,Youth courts,Nunavut,Total Criminal Code,12 to 15 years,Males,93.0
2015/2016,Youth courts,Nunavut,Total Criminal Code,12 to 15 years,Males,127.0
2016/2017,Youth courts,Nunavut,Total Criminal Code,12 to 15 years,Males,183.0
2017/2018,Youth courts,Nunavut,Total Criminal Code,12 to 15 years,Males,156.0
2018/2019,Youth courts,Nunavut,Total Criminal Code,12 to 15 years,Males,59.0
2014/2015,Youth courts,Nunavut,Total Criminal Code,12 to 15 years,Females,57.0
2015/2016,Youth courts,Nunavut,Total Criminal Code,12 to 15 years,Females,64.0
2016/2017,Youth courts,Nunavut,Total Criminal Code,12 to 15 years,Females,2.0
2017/2018,Youth courts,Nunavut,Total Criminal Code,12 to 15 years,Females,264.0
2018/2019,Youth courts,Nunavut,Total Criminal Code,12 to 15 years,Females,190.0
2014/2015,Youth courts,Nunavut,Total Criminal Code,12 to 15 years,Sex unknown,71.0
2015/2016,Youth courts,Nunavut,Total Criminal Code,12 to 15 years,Sex unknown,219.0
2016/2017,Youth courts,Nunavut,Total Criminal Code,12 to 15 years,Sex unknown,170.0
2017/2018,Youth courts,Nunavut,Total Criminal Code,12 to 15 years,Sex unknown,266.0
2018/2019,Youth courts,Nunavut,Total Criminal Code,12 to 15 years,Sex unknown,199.0
2014/2015,Youth courts,Nunavut,Total Criminal Code,16 and 17 years,"Total, sex of accused",92.0
2015/2016,Youth courts,Nunavut,Total Criminal Code,16 and 17 years,"Total, sex of accused",87.0
2016/2017,Youth courts,Nunavut,Total Criminal Code,16 and 17 years,"Total, sex of accused",92.0
2017/2018,Youth courts,Nunavut,Total Criminal Code,16 and 17 years,"Total, sex of accused",106.0
2018/2019,Youth courts,Nunavut,Total Criminal Code,16 and 17 years,"Total, sex of accused",90.0
2014/2015,Youth courts,Nunavut,Total Criminal Code,16 and 17 years,Males,109.0
2015/2016,Youth courts,Nunavut,Total Criminal Code,16 and 17 years,Males,70.0
2016/2017,Youth courts,Nunavut,Total Criminal Code,16 and 17 years,Males,92.0
2017/2018,Youth courts,Nunavut,Total Criminal Code,16 and 17 years,Males,134.0
2018/2019,Youth courts,Nunavut,Total Criminal Code,16 and 17 years,Males,92.0
2014/2015,Youth courts,Nunavut,Total Criminal Code,16 and 17 years,Females,78.0
2015/2016,Youth courts,Nunavut,Total Criminal Code,16 and 17 years,Females,158.0
2016/2017,Youth courts,Nunavut,Total Criminal Code,16 and 17 years,Females,64.0
2017/2018,Youth courts,Nunavut,Total Criminal Code,16 and 17 years,Females,51.0
2018/2019,Youth courts,Nunavut,Total Criminal Code,16 and 17 years,Females,89.0
2014/2015,Youth courts,Nunavut,Total Criminal Code,16 and 17 years,Sex unknown,78.0
2015/2016,Youth courts,Nunavut,Total Criminal Code,16 and 17 years,Sex unknown,2.0
2016/2017,Youth courts,Nunavut,Total Criminal Code,16 and 17 years,Sex unknown,212.0
2017/2018,Youth courts,Nunavut,Total Criminal Code,16 and 17 years,Sex unknown,56.0
2018/2019,Youth courts,Nunavut,Total Criminal Code,16 and 17 years,Sex unknown,87.0
2014/2015,Youth courts,Nunavut,Total Criminal Code,Other ages,"Total, sex of accused",2.0
2015/2016,Youth courts,Nunavut,Total Criminal Code,Other ages,"Total, sex of accused",9.0
2016/2017,Youth courts,Nunavut,Total Criminal Code,Other ages,"Total, sex of accused",70.0
2017/2018,Youth courts,Nunavut,Total Criminal Code,Other ages,"Total, sex of accused",92.0
2018/2019,Youth courts,Nunavut,Total Criminal Code,Other ages,"Total, sex of accused",100.0
2014/2015,Youth courts,Nunavut,Total Criminal Code,Other ages,Males,2.0
2015/2016,Youth courts,Nunavut,Total Criminal Code,Other ages,Males,15.0
2016/2017,Youth courts,Nunavut,Total Criminal Code,Other ages,Males,70.0
2017/2018,Youth courts,Nunavut,Total Criminal Code,Other ages,Males,124.0
2018/2019,Youth courts,Nunavut,Total Criminal Code,Other ages,Males,100.0
2014/2015,Youth courts,Nunavut,Total Criminal Code,Other ages,Females,183.0
2015/2016,Youth courts,Nunavut,Total Criminal Code,Other ages,Females,0.0
2016/2017,Youth courts,Nunavut,Total Criminal Code,Other ages,Females,172.0
2017/2018,Youth courts,Nunavut,Total Criminal Code,Other ages,Females,85.0
2018/2019,Youth courts,Nunavut,Total Criminal Code,Other ages,Females,74.0
2014/2015,Youth courts,Nunavut,Total Criminal Code,Other ages,Sex unknown,0.0
2015/2016,Youth courts,Nunavut,Total Criminal Code,Other ages,Sex unknown,1.0
2016/2017,Youth courts,Nunavut,Total Criminal Code,Other ages,Sex unknown,2.0
2017/2018,Youth courts,Nunavut,Total Criminal Code,Other ages,Sex unknown,2.0
2018/2019,Youth courts,Nunavut,Total Criminal Code,Other ages,Sex unknown,254.0
2014/2015,Youth courts,Nunavut,Total Criminal Code,Age not applicable,"Total, sex of accused",0.0
2015/2016,Youth courts,Nunavut,Total Criminal Code,Age not applicable,"Total, sex of accused",0.0
2016/2017,Youth courts,Nunavut,Total Criminal Code,Age not applicable,"Total, sex of accused",0.0
2017/2018,Youth courts,Nunavut,Total Criminal Code,Age not applicable,"Total, sex of accused",0.0
2018/2019,Youth courts,Nunavut,Total Criminal Code,Age not applicable,"Total, sex of accused",0.0
2014/2015,Youth courts,Nunavut,Total Criminal Code,Age not applicable,Company,0.0
2015/2016,Youth courts,Nunavut,Total Criminal Code,Age not applicable,Company,0.0
2016/2017,Youth courts,Nunavut,Total Criminal Code,Age not applicable,Company,0.0
2017/2018,Youth courts,Nunavut,Total Criminal Code,Age not applicable,Company,0.0
2018/2019,Youth courts,Nunavut,Total Criminal Code,Age not applicable,Company,0.0
2014/2015,Youth courts,Nunavut,Crimes against the person,"Total, age of accused","Total, sex of accused",75.0
2015/2016,Youth courts,Nunavut,Crimes against the person,"Total, age of accused","Total, sex of accused",99.0
2016/2017,Youth courts,Nunavut,Crimes against the person,"Total, age of accused","Total, sex of accused",82.0
2017/2018,Youth courts,Nunavut,Crimes against the person,"Total, age of accused","Total, sex of accused",155.0
2018/2019,Youth courts,Nunavut,Crimes against the person,"Total, age of accused","Total, sex of accused",93.0
2014/2015,Youth courts,Nunavut,Crimes against the person,"Total, age of accused",Males,86.0
2015/2016,Youth courts,Nunavut,Crimes against the person,"Total, age of accused",Males,100.0
2016/2017,Youth courts,Nunavut,Crimes against the person,"Total, age of accused",Males,61.0
2017/2018,Youth courts,Nunavut,Crimes against the person,"Total, age of accused",Males,156.0
2018/2019,Youth courts,Nunavut,Crimes against the person,"Total, age of accused",Males,100.0
2014/2015,Youth courts,Nunavut,Crimes against the person,"Total, age of accused",Females,64.0
2015/2016,Youth courts,Nunavut,Crimes against the person,"Total, age of accused",Females,92.0
2016/2017,Youth courts,Nunavut,Crimes against the person,"Total, age of accused",Females,94.0
2017/2018,Youth courts,Nunavut,Crimes against the person,"Total, age of accused",Females,3.0
2018/2019,Youth courts,Nunavut,Crimes against the person,"Total, age of accused",Females,86.0
2014/2015,Youth courts,Nunavut,Crimes against the person,"Total, age of accused",Company,0.0
2015/2016,Youth courts,Nunavut,Crimes against the person,"Total, age of accused",Company,0.0
2016/2017,Youth courts,Nunavut,Crimes against the person,"Total, age of accused",Company,0.0
2017/2018,Youth courts,Nunavut,Crimes against the person,"Total, age of accused",Company,0.0
2018/2019,Youth courts,Nunavut,Crimes against the person,"Total, age of accused",Company,0.0
2014/2015,Youth courts,Nunavut,Crimes against the person,"Total, age of accused",Sex unknown,0.0
2015/2016,Youth courts,Nunavut,Crimes against the person,"Total, age of accused",Sex unknown,219.0
2016/2017,Youth courts,Nunavut,Crimes against the person,"Total, age of accused",Sex unknown,253.0
2017/2018,Youth courts,Nunavut,Crimes against the person,"Total, age of accused",Sex unknown,149.0
2018/2019,Youth courts,Nunavut,Crimes against the person,"Total, age of accused",Sex unknown,93.0
2014/2015,Youth courts,Nunavut,Crimes against the person,12 to 15 years,"Total, sex of accused",44.0
2015/2016,Youth courts,Nunavut,Crimes against the person,12 to 15 years,"Total, sex of accused",110.0
2016/2017,Youth courts,Nunavut,Crimes against the person,12 to 15 years,"Total, sex of accused",127.0
2017/2018,Youth courts,Nunavut,Crimes against the person,12 to 15 years,"Total, sex of accused",190.0
2018/2019,Youth courts,Nunavut,Crimes against the person,12 to 15 years,"Total, sex of accused",58.0
2014/2015,Youth courts,Nunavut,Crimes against the person,12 to 15 years,Males,86.0
2015/2016,Youth courts,Nunavut,Crimes against the person,12 to 15 years,Males,129.0
2016/2017,Youth courts,Nunavut,Crimes against the person,12 to 15 years,Males,127.0
2017/2018,Youth courts,Nunavut,Crimes against the person,12 to 15 years,Males,156.0
2018/2019,Youth courts,Nunavut,Crimes against the person,12 to 15 years,Males,65.0
2014/2015,Youth courts,Nunavut,Crimes against the person,12 to 15 years,Females,2.0
2015/2016,Youth courts,Nunavut,Crimes against the person,12 to 15 years,Females,36.0
2016/2017,Youth courts,Nunavut,Crimes against the person,12 to 15 years,Females,2.0
2017/2018,Youth courts,Nunavut,Crimes against the person,12 to 15 years,Females,267.0
2018/2019,Youth courts,Nunavut,Crimes against the person,12 to 15 years,Females,48.0
2014/2015,Youth courts,Nunavut,Crimes against the person,12 to 15 years,Sex unknown,0.0
2015/2016,Youth courts,Nunavut,Crimes against the person,12 to 15 years,Sex unknown,219.0
2016/2017,Youth courts,Nunavut,Crimes against the person,12 to 15 years,Sex unknown,253.0
2017/2018,Youth courts,Nunavut,Crimes against the person,12 to 15 years,Sex unknown,655.0
2018/2019,Youth courts,Nunavut,Crimes against the person,12 to 15 years,Sex unknown,1.0
2014/2015,Youth courts,Nunavut,Crimes against the person,16 and 17 years,"Total, sex of accused",64.0
2015/2016,Youth courts,Nunavut,Crimes against the person,16 and 17 years,"Total, sex of accused",75.0
2016/2017,Youth courts,Nunavut,Crimes against the person,16 and 17 years,"Total, sex of accused",82.0
2017/2018,Youth courts,Nunavut,Crimes against the person,16 and 17 years,"Total, sex of accused",142.0
2018/2019,Youth courts,Nunavut,Crimes against the person,16 and 17 years,"Total, sex of accused",95.0
2014/2015,Youth courts,Nunavut,Crimes against the person,16 and 17 years,Males,64.0
2015/2016,Youth courts,Nunavut,Crimes against the person,16 and 17 years,Males,39.0
2016/2017,Youth courts,Nunavut,Crimes against the person,16 and 17 years,Males,70.0
2017/2018,Youth courts,Nunavut,Crimes against the person,16 and 17 years,Males,172.0
2018/2019,Youth courts,Nunavut,Crimes against the person,16 and 17 years,Males,113.0
2014/2015,Youth courts,Nunavut,Crimes against the person,16 and 17 years,Females,78.0
2015/2016,Youth courts,Nunavut,Crimes against the person,16 and 17 years,Females,162.0
2016/2017,Youth courts,Nunavut,Crimes against the person,16 and 17 years,Females,94.0
2017/2018,Youth courts,Nunavut,Crimes against the person,16 and 17 years,Females,1.0
2018/2019,Youth courts,Nunavut,Crimes against the person,16 and 17 years,Females,89.0
2014/2015,Youth courts,Nunavut,Crimes against the person,16 and 17 years,Sex unknown,0.0
2015/2016,Youth courts,Nunavut,Crimes against the person,16 and 17 years,Sex unknown,1.0
2016/2017,Youth courts,Nunavut,Crimes against the person,16 and 17 years,Sex unknown,0.0
2017/2018,Youth courts,Nunavut,Crimes against the person,16 and 17 years,Sex unknown,94.0
2018/2019,Youth courts,Nunavut,Crimes against the person,16 and 17 years,Sex unknown,93.0
2014/2015,Youth courts,Nunavut,Crimes against the person,Other ages,"Total, sex of accused",155.0
2015/2016,Youth courts,Nunavut,Crimes against the person,Other ages,"Total, sex of accused",156.0
2016/2017,Youth courts,Nunavut,Crimes against the person,Other ages,"Total, sex of accused",15.0
2017/2018,Youth courts,Nunavut,Crimes against the person,Other ages,"Total, sex of accused",82.0
2018/2019,Youth courts,Nunavut,Crimes against the person,Other ages,"Total, sex of accused",100.0
2014/2015,Youth courts,Nunavut,Crimes against the person,Other ages,Males,155.0
2015/2016,Youth courts,Nunavut,Crimes against the person,Other ages,Males,156.0
2016/2017,Youth courts,Nunavut,Crimes against the person,Other ages,Males,10.0
2017/2018,Youth courts,Nunavut,Crimes against the person,Other ages,Males,92.0
2018/2019,Youth courts,Nunavut,Crimes against the person,Other ages,Males,100.0
2014/2015,Youth courts,Nunavut,Crimes against the person,Other ages,Females,183.0
2015/2016,Youth courts,Nunavut,Crimes against the person,Other ages,Females,0.0
2016/2017,Youth courts,Nunavut,Crimes against the person,Other ages,Females,172.0
2017/2018,Youth courts,Nunavut,Crimes against the person,Other ages,Females,0.0
2018/2019,Youth courts,Nunavut,Crimes against the person,Other ages,Females,74.0
2014/2015,Youth courts,Nunavut,Crimes against the person,Other ages,Sex unknown,0.0
2015/2016,Youth courts,Nunavut,Crimes against the person,Other ages,Sex unknown,0.0
2016/2017,Youth courts,Nunavut,Crimes against the person,Other ages,Sex unknown,0.0
2017/2018,Youth courts,Nunavut,Crimes against the person,Other ages,Sex unknown,2.0
2018/2019,Youth courts,Nunavut,Crimes against the person,Other ages,Sex unknown,254.0
2014/2015,Youth courts,Nunavut,Crimes against the person,Age not applicable,"Total, sex of accused",0.0
2015/2016,Youth courts,Nunavut,Crimes against the person,Age not applicable,"Total, sex of accused",0.0
2016/2017,Youth courts,Nunavut,Crimes against the person,Age not applicable,"Total, sex of accused",0.0
2017/2018,Youth courts,Nunavut,Crimes against the person,Age not applicable,"Total, sex of accused",0.0
2018/2019,Youth courts,Nunavut,Crimes against the person,Age not applicable,"Total, sex of accused",0.0
2014/2015,Youth courts,Nunavut,Crimes against the person,Age not applicable,Company,0.0
2015/2016,Youth courts,Nunavut,Crimes against the person,Age not applicable,Company,0.0
2016/2017,Youth courts,Nunavut,Crimes against the person,Age not applicable,Company,0.0
2017/2018,Youth courts,Nunavut,Crimes against the person,Age not applicable,Company,0.0
2018/2019,Youth courts,Nunavut,Crimes against the person,Age not applicable,Company,0.0
2014/2015,Youth courts,Nunavut,Crimes against property,"Total, age of accused","Total, sex of accused",122.0
2015/2016,Youth courts,Nunavut,Crimes against property,"Total, age of accused","Total, sex of accused",93.0
2016/2017,Youth courts,Nunavut,Crimes against property,"Total, age of accused","Total, sex of accused",170.0
2017/2018,Youth courts,Nunavut,Crimes against property,"Total, age of accused","Total, sex of accused",106.0
2018/2019,Youth courts,Nunavut,Crimes against property,"Total, age of accused","Total, sex of accused",97.0
2014/2015,Youth courts,Nunavut,Crimes against property,"Total, age of accused",Males,141.0
2015/2016,Youth courts,Nunavut,Crimes against property,"Total, age of accused",Males,93.0
2016/2017,Youth courts,Nunavut,Crimes against property,"Total, age of accused",Males,162.0
2017/2018,Youth courts,Nunavut,Crimes against property,"Total, age of accused",Males,106.0
2018/2019,Youth courts,Nunavut,Crimes against property,"Total, age of accused",Males,65.0
2014/2015,Youth courts,Nunavut,Crimes against property,"Total, age of accused",Females,106.0
2015/2016,Youth courts,Nunavut,Crimes against property,"Total, age of accused",Females,167.0
2016/2017,Youth courts,Nunavut,Crimes against property,"Total, age of accused",Females,61.0
2017/2018,Youth courts,Nunavut,Crimes against property,"Total, age of accused",Females,147.0
2018/2019,Youth courts,Nunavut,Crimes against property,"Total, age of accused",Females,274.0
2014/2015,Youth courts,Nunavut,Crimes against property,"Total, age of accused",Company,0.0
2015/2016,Youth courts,Nunavut,Crimes against property,"Total, age of accused",Company,0.0
2016/2017,Youth courts,Nunavut,Crimes against property,"Total, age of accused",Company,0.0
2017/2018,Youth courts,Nunavut,Crimes against property,"Total, age of accused",Company,0.0
2018/2019,Youth courts,Nunavut,Crimes against property,"Total, age of accused",Company,0.0
2014/2015,Youth courts,Nunavut,Crimes against property,"Total, age of accused",Sex unknown,89.0
2015/2016,Youth courts,Nunavut,Crimes against property,"Total, age of accused",Sex unknown,90.0
2016/2017,Youth courts,Nunavut,Crimes against property,"Total, age of accused",Sex unknown,170.0
2017/2018,Youth courts,Nunavut,Crimes against property,"Total, age of accused",Sex unknown,2.0
2018/2019,Youth courts,Nunavut,Crimes against property,"Total, age of accused",Sex unknown,63.0
2014/2015,Youth courts,Nunavut,Crimes against property,12 to 15 years,"Total, sex of accused",118.0
2015/2016,Youth courts,Nunavut,Crimes against property,12 to 15 years,"Total, sex of accused",163.0
2016/2017,Youth courts,Nunavut,Crimes against property,12 to 15 years,"Total, sex of accused",186.0
2017/2018,Youth courts,Nunavut,Crimes against property,12 to 15 years,"Total, sex of accused",106.0
2018/2019,Youth courts,Nunavut,Crimes against property,12 to 15 years,"Total, sex of accused",112.0
2014/2015,Youth courts,Nunavut,Crimes against property,12 to 15 years,Males,121.0
2015/2016,Youth courts,Nunavut,Crimes against property,12 to 15 years,Males,121.0
2016/2017,Youth courts,Nunavut,Crimes against property,12 to 15 years,Males,197.0
2017/2018,Youth courts,Nunavut,Crimes against property,12 to 15 years,Males,137.0
2018/2019,Youth courts,Nunavut,Crimes against property,12 to 15 years,Males,59.0
2014/2015,Youth courts,Nunavut,Crimes against property,12 to 15 years,Females,122.0
2015/2016,Youth courts,Nunavut,Crimes against property,12 to 15 years,Females,275.0
2016/2017,Youth courts,Nunavut,Crimes against property,12 to 15 years,Females,35.0
2017/2018,Youth courts,Nunavut,Crimes against property,12 to 15 years,Females,279.0
2018/2019,Youth courts,Nunavut,Crimes against property,12 to 15 years,Females,274.0
2014/2015,Youth courts,Nunavut,Crimes against property,12 to 15 years,Sex unknown,93.0
2015/2016,Youth courts,Nunavut,Crimes against property,12 to 15 years,Sex unknown,177.0
2016/2017,Youth courts,Nunavut,Crimes against property,12 to 15 years,Sex unknown,170.0
2017/2018,Youth courts,Nunavut,Crimes against property,12 to 15 years,Sex unknown,2.0
2018/2019,Youth courts,Nunavut,Crimes against property,12 to 15 years,Sex unknown,206.0
2014/2015,Youth courts,Nunavut,Crimes against property,16 and 17 years,"Total, sex of accused",169.0
2015/2016,Youth courts,Nunavut,Crimes against property,16 and 17 years,"Total, sex of accused",70.0
2016/2017,Youth courts,Nunavut,Crimes against property,16 and 17 years,"Total, sex of accused",150.0
2017/2018,Youth courts,Nunavut,Crimes against property,16 and 17 years,"Total, sex of accused",85.0
2018/2019,Youth courts,Nunavut,Crimes against property,16 and 17 years,"Total, sex of accused",34.0
2014/2015,Youth courts,Nunavut,Crimes against property,16 and 17 years,Males,190.0
2015/2016,Youth courts,Nunavut,Crimes against property,16 and 17 years,Males,87.0
2016/2017,Youth courts,Nunavut,Crimes against property,16 and 17 years,Males,150.0
2017/2018,Youth courts,Nunavut,Crimes against property,16 and 17 years,Males,42.0
2018/2019,Youth courts,Nunavut,Crimes against property,16 and 17 years,Males,80.0
2014/2015,Youth courts,Nunavut,Crimes against property,16 and 17 years,Females,82.0
2015/2016,Youth courts,Nunavut,Crimes against property,16 and 17 years,Females,58.0
2016/2017,Youth courts,Nunavut,Crimes against property,16 and 17 years,Females,61.0
2017/2018,Youth courts,Nunavut,Crimes against property,16 and 17 years,Females,166.0
2018/2019,Youth courts,Nunavut,Crimes against property,16 and 17 years,Females,0.0
2014/2015,Youth courts,Nunavut,Crimes against property,16 and 17 years,Sex unknown,89.0
2015/2016,Youth courts,Nunavut,Crimes against property,16 and 17 years,Sex unknown,2.0
