Year,Geography,GeoCode,Economic family type,Value
2017,"Québec, Quebec",,Persons not in an economic family,33200.0
2018,"Québec, Quebec",,Persons not in an economic family,31600.0
2019,"Québec, Quebec",,Persons not in an economic family,29700.0
2020,"Québec, Quebec",,Persons not in an economic family,36000.0
2015,"Québec, Quebec",,Elderly persons not in an economic family,26900.0
2016,"Québec, Quebec",,Elderly persons not in an economic family,25400.0
2017,"Québec, Quebec",,Elderly persons not in an economic family,25800.0
2018,"Québec, Quebec",,Elderly persons not in an economic family,27600.0
2019,"Québec, Quebec",,Elderly persons not in an economic family,25800.0
2020,"Québec, Quebec",,Elderly persons not in an economic family,32600.0
2015,"Québec, Quebec",,Elderly males not in an economic family,
2016,"Québec, Quebec",,Elderly males not in an economic family,26400.0
2017,"Québec, Quebec",,Elderly males not in an economic family,30400.0
2018,"Québec, Quebec",,Elderly males not in an economic family,27500.0
2019,"Québec, Quebec",,Elderly males not in an economic family,26500.0
2020,"Québec, Quebec",,Elderly males not in an economic family,33800.0
2015,"Québec, Quebec",,Elderly females not in an economic family,28000.0
2016,"Québec, Quebec",,Elderly females not in an economic family,24400.0
2017,"Québec, Quebec",,Elderly females not in an economic family,25600.0
2018,"Québec, Quebec",,Elderly females not in an economic family,27800.0
2019,"Québec, Quebec",,Elderly females not in an economic family,25100.0
2020,"Québec, Quebec",,Elderly females not in an economic family,32600.0
2015,"Québec, Quebec",,Non-elderly persons not in an economic family,34100.0
2016,"Québec, Quebec",,Non-elderly persons not in an economic family,32700.0
2017,"Québec, Quebec",,Non-elderly persons not in an economic family,36000.0
2018,"Québec, Quebec",,Non-elderly persons not in an economic family,35900.0
2019,"Québec, Quebec",,Non-elderly persons not in an economic family,33900.0
2020,"Québec, Quebec",,Non-elderly persons not in an economic family,37600.0
2015,"Québec, Quebec",,Non-elderly males not in an economic family,30500.0
2016,"Québec, Quebec",,Non-elderly males not in an economic family,32600.0
2017,"Québec, Quebec",,Non-elderly males not in an economic family,38700.0
2018,"Québec, Quebec",,Non-elderly males not in an economic family,35800.0
2019,"Québec, Quebec",,Non-elderly males not in an economic family,35300.0
2020,"Québec, Quebec",,Non-elderly males not in an economic family,40200.0
2015,"Québec, Quebec",,Non-elderly females not in an economic family,37600.0
2016,"Québec, Quebec",,Non-elderly females not in an economic family,34100.0
2017,"Québec, Quebec",,Non-elderly females not in an economic family,32600.0
2018,"Québec, Quebec",,Non-elderly females not in an economic family,35900.0
2019,"Québec, Quebec",,Non-elderly females not in an economic family,32000.0
2020,"Québec, Quebec",,Non-elderly females not in an economic family,33300.0
2015,"Montréal, Quebec",,Economic families and persons not in an economic family,54100.0
2016,"Montréal, Quebec",,Economic families and persons not in an economic family,53100.0
2017,"Montréal, Quebec",,Economic families and persons not in an economic family,54100.0
2018,"Montréal, Quebec",,Economic families and persons not in an economic family,55700.0
2019,"Montréal, Quebec",,Economic families and persons not in an economic family,56800.0
2020,"Montréal, Quebec",,Economic families and persons not in an economic family,62900.0
2015,"Montréal, Quebec",,Economic families,76200.0
2016,"Montréal, Quebec",,Economic families,79000.0
2017,"Montréal, Quebec",,Economic families,79200.0
2018,"Montréal, Quebec",,Economic families,81700.0
2019,"Montréal, Quebec",,Economic families,85800.0
2020,"Montréal, Quebec",,Economic families,89200.0
2015,"Montréal, Quebec",,Elderly families,56600.0
2016,"Montréal, Quebec",,Elderly families,56100.0
2017,"Montréal, Quebec",,Elderly families,60700.0
2018,"Montréal, Quebec",,Elderly families,61000.0
2019,"Montréal, Quebec",,Elderly families,58500.0
2020,"Montréal, Quebec",,Elderly families,64000.0
2015,"Montréal, Quebec",,Elderly couples,55300.0
2016,"Montréal, Quebec",,Elderly couples,57600.0
2017,"Montréal, Quebec",,Elderly couples,60700.0
2018,"Montréal, Quebec",,Elderly couples,59400.0
2019,"Montréal, Quebec",,Elderly couples,56300.0
2020,"Montréal, Quebec",,Elderly couples,63100.0
2015,"Montréal, Quebec",,Other elderly families,
2016,"Montréal, Quebec",,Other elderly families,49100.0
2017,"Montréal, Quebec",,Other elderly families,59600.0
2018,"Montréal, Quebec",,Other elderly families,68900.0
2019,"Montréal, Quebec",,Other elderly families,67100.0
2020,"Montréal, Quebec",,Other elderly families,72600.0
2015,"Montréal, Quebec",,Non-elderly families,80300.0
2016,"Montréal, Quebec",,Non-elderly families,84400.0
2017,"Montréal, Quebec",,Non-elderly families,84400.0
2018,"Montréal, Quebec",,Non-elderly families,88400.0
2019,"Montréal, Quebec",,Non-elderly families,91800.0
2020,"Montréal, Quebec",,Non-elderly families,96400.0
2015,"Montréal, Quebec",,Couples,75900.0
2016,"Montréal, Quebec",,Couples,79600.0
2017,"Montréal, Quebec",,Couples,69900.0
2018,"Montréal, Quebec",,Couples,78900.0
2019,"Montréal, Quebec",,Couples,78900.0
2020,"Montréal, Quebec",,Couples,86700.0
2015,"Montréal, Quebec",,Couples with children,89200.0
2016,"Montréal, Quebec",,Couples with children,95600.0
2017,"Montréal, Quebec",,Couples with children,94000.0
2018,"Montréal, Quebec",,Couples with children,95800.0
2019,"Montréal, Quebec",,Couples with children,102000.0
2020,"Montréal, Quebec",,Couples with children,102800.0
2015,"Montréal, Quebec",,Couples with other relatives,98000.0
2016,"Montréal, Quebec",,Couples with other relatives,113700.0
2017,"Montréal, Quebec",,Couples with other relatives,124000.0
2018,"Montréal, Quebec",,Couples with other relatives,129200.0
2019,"Montréal, Quebec",,Couples with other relatives,135400.0
2020,"Montréal, Quebec",,Couples with other relatives,132800.0
2015,"Montréal, Quebec",,Lone-parent families,60100.0
2016,"Montréal, Quebec",,Lone-parent families,56100.0
2017,"Montréal, Quebec",,Lone-parent families,56500.0
2018,"Montréal, Quebec",,Lone-parent families,52000.0
2019,"Montréal, Quebec",,Lone-parent families,70600.0
2020,"Montréal, Quebec",,Lone-parent families,63400.0
2015,"Montréal, Quebec",,Male lone-parent families,
2016,"Montréal, Quebec",,Male lone-parent families,
2017,"Montréal, Quebec",,Male lone-parent families,
2018,"Montréal, Quebec",,Male lone-parent families,
2019,"Montréal, Quebec",,Male lone-parent families,
2020,"Montréal, Quebec",,Male lone-parent families,
2015,"Montréal, Quebec",,Female lone-parent families,53800.0
2016,"Montréal, Quebec",,Female lone-parent families,56100.0
2017,"Montréal, Quebec",,Female lone-parent families,54900.0
2018,"Montréal, Quebec",,Female lone-parent families,49100.0
2019,"Montréal, Quebec",,Female lone-parent families,64000.0
2020,"Montréal, Quebec",,Female lone-parent families,64300.0
2015,"Montréal, Quebec",,Other non-elderly families,73300.0
2016,"Montréal, Quebec",,Other non-elderly families,64400.0
2017,"Montréal, Quebec",,Other non-elderly families,61700.0
2018,"Montréal, Quebec",,Other non-elderly families,74800.0
2019,"Montréal, Quebec",,Other non-elderly families,76800.0
2020,"Montréal, Quebec",,Other non-elderly families,84400.0
2015,"Montréal, Quebec",,Persons not in an economic family,30500.0
2016,"Montréal, Quebec",,Persons not in an economic family,31300.0
2017,"Montréal, Quebec",,Persons not in an economic family,30800.0
2018,"Montréal, Quebec",,Persons not in an economic family,29600.0
2019,"Montréal, Quebec",,Persons not in an economic family,29400.0
2020,"Montréal, Quebec",,Persons not in an economic family,33100.0
2015,"Montréal, Quebec",,Elderly persons not in an economic family,29300.0
2016,"Montréal, Quebec",,Elderly persons not in an economic family,26900.0
2017,"Montréal, Quebec",,Elderly persons not in an economic family,26000.0
2018,"Montréal, Quebec",,Elderly persons not in an economic family,27200.0
2019,"Montréal, Quebec",,Elderly persons not in an economic family,26300.0
2020,"Montréal, Quebec",,Elderly persons not in an economic family,28200.0
2015,"Montréal, Quebec",,Elderly males not in an economic family,28000.0
2016,"Montréal, Quebec",,Elderly males not in an economic family,25100.0
2017,"Montréal, Quebec",,Elderly males not in an economic family,28200.0
2018,"Montréal, Quebec",,Elderly males not in an economic family,31000.0
2019,"Montréal, Quebec",,Elderly males not in an economic family,27800.0
2020,"Montréal, Quebec",,Elderly males not in an economic family,29400.0
2015,"Montréal, Quebec",,Elderly females not in an economic family,30600.0
2016,"Montréal, Quebec",,Elderly females not in an economic family,26900.0
2017,"Montréal, Quebec",,Elderly females not in an economic family,24600.0
2018,"Montréal, Quebec",,Elderly females not in an economic family,26200.0
2019,"Montréal, Quebec",,Elderly females not in an economic family,25500.0
2020,"Montréal, Quebec",,Elderly females not in an economic family,27700.0
2015,"Montréal, Quebec",,Non-elderly persons not in an economic family,30900.0
2016,"Montréal, Quebec",,Non-elderly persons not in an economic family,34300.0
2017,"Montréal, Quebec",,Non-elderly persons not in an economic family,33700.0
2018,"Montréal, Quebec",,Non-elderly persons not in an economic family,31700.0
2019,"Montréal, Quebec",,Non-elderly persons not in an economic family,31300.0
2020,"Montréal, Quebec",,Non-elderly persons not in an economic family,35700.0
2015,"Montréal, Quebec",,Non-elderly males not in an economic family,34900.0
2016,"Montréal, Quebec",,Non-elderly males not in an economic family,34600.0
2017,"Montréal, Quebec",,Non-elderly males not in an economic family,34000.0
2018,"Montréal, Quebec",,Non-elderly males not in an economic family,31700.0
2019,"Montréal, Quebec",,Non-elderly males not in an economic family,31300.0
2020,"Montréal, Quebec",,Non-elderly males not in an economic family,38600.0
2015,"Montréal, Quebec",,Non-elderly females not in an economic family,27300.0
2016,"Montréal, Quebec",,Non-elderly females not in an economic family,34200.0
2017,"Montréal, Quebec",,Non-elderly females not in an economic family,32400.0
2018,"Montréal, Quebec",,Non-elderly females not in an economic family,31400.0
2019,"Montréal, Quebec",,Non-elderly females not in an economic family,30800.0
2020,"Montréal, Quebec",,Non-elderly females not in an economic family,32400.0
2015,"Ottawa-Gatineau, Ontario/Quebec",,Economic families and persons not in an economic family,64300.0
2016,"Ottawa-Gatineau, Ontario/Quebec",,Economic families and persons not in an economic family,69800.0
2017,"Ottawa-Gatineau, Ontario/Quebec",,Economic families and persons not in an economic family,66300.0
2018,"Ottawa-Gatineau, Ontario/Quebec",,Economic families and persons not in an economic family,68300.0
2019,"Ottawa-Gatineau, Ontario/Quebec",,Economic families and persons not in an economic family,65900.0
2020,"Ottawa-Gatineau, Ontario/Quebec",,Economic families and persons not in an economic family,72500.0
2015,"Ottawa-Gatineau, Ontario/Quebec",,Economic families,98200.0
2016,"Ottawa-Gatineau, Ontario/Quebec",,Economic families,98400.0
2017,"Ottawa-Gatineau, Ontario/Quebec",,Economic families,98900.0
2018,"Ottawa-Gatineau, Ontario/Quebec",,Economic families,100700.0
2019,"Ottawa-Gatineau, Ontario/Quebec",,Economic families,97800.0
2020,"Ottawa-Gatineau, Ontario/Quebec",,Economic families,105400.0
2015,"Ottawa-Gatineau, Ontario/Quebec",,Elderly families,84100.0
2016,"Ottawa-Gatineau, Ontario/Quebec",,Elderly families,80400.0
2017,"Ottawa-Gatineau, Ontario/Quebec",,Elderly families,81900.0
2018,"Ottawa-Gatineau, Ontario/Quebec",,Elderly families,79000.0
2019,"Ottawa-Gatineau, Ontario/Quebec",,Elderly families,78600.0
2020,"Ottawa-Gatineau, Ontario/Quebec",,Elderly families,80100.0
2015,"Ottawa-Gatineau, Ontario/Quebec",,Elderly couples,79300.0
2016,"Ottawa-Gatineau, Ontario/Quebec",,Elderly couples,78800.0
2017,"Ottawa-Gatineau, Ontario/Quebec",,Elderly couples,81800.0
2018,"Ottawa-Gatineau, Ontario/Quebec",,Elderly couples,79400.0
2019,"Ottawa-Gatineau, Ontario/Quebec",,Elderly couples,80000.0
2020,"Ottawa-Gatineau, Ontario/Quebec",,Elderly couples,78300.0
2015,"Ottawa-Gatineau, Ontario/Quebec",,Other elderly families,
2016,"Ottawa-Gatineau, Ontario/Quebec",,Other elderly families,111000.0
2017,"Ottawa-Gatineau, Ontario/Quebec",,Other elderly families,84300.0
2018,"Ottawa-Gatineau, Ontario/Quebec",,Other elderly families,69200.0
2019,"Ottawa-Gatineau, Ontario/Quebec",,Other elderly families,78600.0
2020,"Ottawa-Gatineau, Ontario/Quebec",,Other elderly families,
2015,"Ottawa-Gatineau, Ontario/Quebec",,Non-elderly families,103900.0
2016,"Ottawa-Gatineau, Ontario/Quebec",,Non-elderly families,104000.0
2017,"Ottawa-Gatineau, Ontario/Quebec",,Non-elderly families,101200.0
2018,"Ottawa-Gatineau, Ontario/Quebec",,Non-elderly families,109600.0
2019,"Ottawa-Gatineau, Ontario/Quebec",,Non-elderly families,104600.0
2020,"Ottawa-Gatineau, Ontario/Quebec",,Non-elderly families,110300.0
2015,"Ottawa-Gatineau, Ontario/Quebec",,Couples,94700.0
2016,"Ottawa-Gatineau, Ontario/Quebec",,Couples,95200.0
2017,"Ottawa-Gatineau, Ontario/Quebec",,Couples,99500.0
2018,"Ottawa-Gatineau, Ontario/Quebec",,Couples,101600.0
2019,"Ottawa-Gatineau, Ontario/Quebec",,Couples,84300.0
2020,"Ottawa-Gatineau, Ontario/Quebec",,Couples,94400.0
2015,"Ottawa-Gatineau, Ontario/Quebec",,Couples with children,122300.0
2016,"Ottawa-Gatineau, Ontario/Quebec",,Couples with children,111000.0
2017,"Ottawa-Gatineau, Ontario/Quebec",,Couples with children,112100.0
2018,"Ottawa-Gatineau, Ontario/Quebec",,Couples with children,119300.0
2019,"Ottawa-Gatineau, Ontario/Quebec",,Couples with children,123200.0
2020,"Ottawa-Gatineau, Ontario/Quebec",,Couples with children,131300.0
2015,"Ottawa-Gatineau, Ontario/Quebec",,Couples with other relatives,152200.0
2016,"Ottawa-Gatineau, Ontario/Quebec",,Couples with other relatives,136600.0
2017,"Ottawa-Gatineau, Ontario/Quebec",,Couples with other relatives,156600.0
2018,"Ottawa-Gatineau, Ontario/Quebec",,Couples with other relatives,164900.0
2019,"Ottawa-Gatineau, Ontario/Quebec",,Couples with other relatives,145300.0
2020,"Ottawa-Gatineau, Ontario/Quebec",,Couples with other relatives,174800.0
2015,"Ottawa-Gatineau, Ontario/Quebec",,Lone-parent families,52600.0
2016,"Ottawa-Gatineau, Ontario/Quebec",,Lone-parent families,50400.0
2017,"Ottawa-Gatineau, Ontario/Quebec",,Lone-parent families,59200.0
2018,"Ottawa-Gatineau, Ontario/Quebec",,Lone-parent families,50600.0
2019,"Ottawa-Gatineau, Ontario/Quebec",,Lone-parent families,73600.0
2020,"Ottawa-Gatineau, Ontario/Quebec",,Lone-parent families,71800.0
2015,"Ottawa-Gatineau, Ontario/Quebec",,Male lone-parent families,
2016,"Ottawa-Gatineau, Ontario/Quebec",,Male lone-parent families,
2017,"Ottawa-Gatineau, Ontario/Quebec",,Male lone-parent families,
2018,"Ottawa-Gatineau, Ontario/Quebec",,Male lone-parent families,
2019,"Ottawa-Gatineau, Ontario/Quebec",,Male lone-parent families,
2020,"Ottawa-Gatineau, Ontario/Quebec",,Male lone-parent families,
2015,"Ottawa-Gatineau, Ontario/Quebec",,Female lone-parent families,39200.0
2016,"Ottawa-Gatineau, Ontario/Quebec",,Female lone-parent families,49400.0
2017,"Ottawa-Gatineau, Ontario/Quebec",,Female lone-parent families,50000.0
2018,"Ottawa-Gatineau, Ontario/Quebec",,Female lone-parent families,49200.0
2019,"Ottawa-Gatineau, Ontario/Quebec",,Female lone-parent families,84300.0
2020,"Ottawa-Gatineau, Ontario/Quebec",,Female lone-parent families,65500.0
2015,"Ottawa-Gatineau, Ontario/Quebec",,Other non-elderly families,57500.0
2016,"Ottawa-Gatineau, Ontario/Quebec",,Other non-elderly families,73900.0
2017,"Ottawa-Gatineau, Ontario/Quebec",,Other non-elderly families,77300.0
2018,"Ottawa-Gatineau, Ontario/Quebec",,Other non-elderly families,76000.0
2019,"Ottawa-Gatineau, Ontario/Quebec",,Other non-elderly families,70400.0
2020,"Ottawa-Gatineau, Ontario/Quebec",,Other non-elderly families,99900.0
2015,"Ottawa-Gatineau, Ontario/Quebec",,Persons not in an economic family,33600.0
2016,"Ottawa-Gatineau, Ontario/Quebec",,Persons not in an economic family,36700.0
2017,"Ottawa-Gatineau, Ontario/Quebec",,Persons not in an economic family,38200.0
2018,"Ottawa-Gatineau, Ontario/Quebec",,Persons not in an economic family,39600.0
2019,"Ottawa-Gatineau, Ontario/Quebec",,Persons not in an economic family,40600.0
2020,"Ottawa-Gatineau, Ontario/Quebec",,Persons not in an economic family,38700.0
2015,"Ottawa-Gatineau, Ontario/Quebec",,Elderly persons not in an economic family,33700.0
2016,"Ottawa-Gatineau, Ontario/Quebec",,Elderly persons not in an economic family,38100.0
2017,"Ottawa-Gatineau, Ontario/Quebec",,Elderly persons not in an economic family,34900.0
2018,"Ottawa-Gatineau, Ontario/Quebec",,Elderly persons not in an economic family,37300.0
2019,"Ottawa-Gatineau, Ontario/Quebec",,Elderly persons not in an economic family,37300.0
2020,"Ottawa-Gatineau, Ontario/Quebec",,Elderly persons not in an economic family,42100.0
2015,"Ottawa-Gatineau, Ontario/Quebec",,Elderly males not in an economic family,
2016,"Ottawa-Gatineau, Ontario/Quebec",,Elderly males not in an economic family,42200.0
2017,"Ottawa-Gatineau, Ontario/Quebec",,Elderly males not in an economic family,27900.0
2018,"Ottawa-Gatineau, Ontario/Quebec",,Elderly males not in an economic family,39800.0
2019,"Ottawa-Gatineau, Ontario/Quebec",,Elderly males not in an economic family,37300.0
2020,"Ottawa-Gatineau, Ontario/Quebec",,Elderly males not in an economic family,42800.0
2015,"Ottawa-Gatineau, Ontario/Quebec",,Elderly females not in an economic family,37400.0
2016,"Ottawa-Gatineau, Ontario/Quebec",,Elderly females not in an economic family,33300.0
2017,"Ottawa-Gatineau, Ontario/Quebec",,Elderly females not in an economic family,36900.0
2018,"Ottawa-Gatineau, Ontario/Quebec",,Elderly females not in an economic family,35800.0
2019,"Ottawa-Gatineau, Ontario/Quebec",,Elderly females not in an economic family,37800.0
2020,"Ottawa-Gatineau, Ontario/Quebec",,Elderly females not in an economic family,40500.0
2015,"Ottawa-Gatineau, Ontario/Quebec",,Non-elderly persons not in an economic family,33000.0
2016,"Ottawa-Gatineau, Ontario/Quebec",,Non-elderly persons not in an economic family,36000.0
2017,"Ottawa-Gatineau, Ontario/Quebec",,Non-elderly persons not in an economic family,38800.0
2018,"Ottawa-Gatineau, Ontario/Quebec",,Non-elderly persons not in an economic family,41100.0
2019,"Ottawa-Gatineau, Ontario/Quebec",,Non-elderly persons not in an economic family,41100.0
2020,"Ottawa-Gatineau, Ontario/Quebec",,Non-elderly persons not in an economic family,37500.0
2015,"Ottawa-Gatineau, Ontario/Quebec",,Non-elderly males not in an economic family,36800.0
2016,"Ottawa-Gatineau, Ontario/Quebec",,Non-elderly males not in an economic family,36100.0
2017,"Ottawa-Gatineau, Ontario/Quebec",,Non-elderly males not in an economic family,39800.0
2018,"Ottawa-Gatineau, Ontario/Quebec",,Non-elderly males not in an economic family,39600.0
2019,"Ottawa-Gatineau, Ontario/Quebec",,Non-elderly males not in an economic family,43800.0
2020,"Ottawa-Gatineau, Ontario/Quebec",,Non-elderly males not in an economic family,36700.0
2015,"Ottawa-Gatineau, Ontario/Quebec",,Non-elderly females not in an economic family,27500.0
2016,"Ottawa-Gatineau, Ontario/Quebec",,Non-elderly females not in an economic family,34900.0
2017,"Ottawa-Gatineau, Ontario/Quebec",,Non-elderly females not in an economic family,38300.0
2018,"Ottawa-Gatineau, Ontario/Quebec",,Non-elderly females not in an economic family,42000.0
2019,"Ottawa-Gatineau, Ontario/Quebec",,Non-elderly females not in an economic family,36100.0
2020,"Ottawa-Gatineau, Ontario/Quebec",,Non-elderly females not in an economic family,40400.0
2015,"Toronto, Ontario",,Economic families and persons not in an economic family,63000.0
2016,"Toronto, Ontario",,Economic families and persons not in an economic family,62800.0
2017,"Toronto, Ontario",,Economic families and persons not in an economic family,70400.0
2018,"Toronto, Ontario",,Economic families and persons not in an economic family,68900.0
2019,"Toronto, Ontario",,Economic families and persons not in an economic family,69200.0
2020,"Toronto, Ontario",,Economic families and persons not in an economic family,72600.0
2015,"Toronto, Ontario",,Economic families,89600.0
2016,"Toronto, Ontario",,Economic families,88400.0
2017,"Toronto, Ontario",,Economic families,93100.0
2018,"Toronto, Ontario",,Economic families,95200.0
2019,"Toronto, Ontario",,Economic families,94600.0
2020,"Toronto, Ontario",,Economic families,99300.0
2015,"Toronto, Ontario",,Elderly families,69000.0
2016,"Toronto, Ontario",,Elderly families,61100.0
2017,"Toronto, Ontario",,Elderly families,72700.0
2018,"Toronto, Ontario",,Elderly families,74900.0
2019,"Toronto, Ontario",,Elderly families,67600.0
2020,"Toronto, Ontario",,Elderly families,69700.0
2015,"Toronto, Ontario",,Elderly couples,66300.0
2016,"Toronto, Ontario",,Elderly couples,58700.0
2017,"Toronto, Ontario",,Elderly couples,65900.0
2018,"Toronto, Ontario",,Elderly couples,71100.0
2019,"Toronto, Ontario",,Elderly couples,64300.0
2020,"Toronto, Ontario",,Elderly couples,66000.0
2015,"Toronto, Ontario",,Other elderly families,87800.0
2016,"Toronto, Ontario",,Other elderly families,65600.0
2017,"Toronto, Ontario",,Other elderly families,94800.0
2018,"Toronto, Ontario",,Other elderly families,83200.0
2019,"Toronto, Ontario",,Other elderly families,83700.0
2020,"Toronto, Ontario",,Other elderly families,76200.0
2015,"Toronto, Ontario",,Non-elderly families,92800.0
2016,"Toronto, Ontario",,Non-elderly families,96300.0
2017,"Toronto, Ontario",,Non-elderly families,96900.0
2018,"Toronto, Ontario",,Non-elderly families,98000.0
2019,"Toronto, Ontario",,Non-elderly families,101500.0
2020,"Toronto, Ontario",,Non-elderly families,103900.0
2015,"Toronto, Ontario",,Couples,77400.0
2016,"Toronto, Ontario",,Couples,88500.0
2017,"Toronto, Ontario",,Couples,93300.0
2018,"Toronto, Ontario",,Couples,88600.0
2019,"Toronto, Ontario",,Couples,87800.0
2020,"Toronto, Ontario",,Couples,95300.0
2015,"Toronto, Ontario",,Couples with children,101000.0
2016,"Toronto, Ontario",,Couples with children,98300.0
2017,"Toronto, Ontario",,Couples with children,102900.0
2018,"Toronto, Ontario",,Couples with children,106000.0
2019,"Toronto, Ontario",,Couples with children,111400.0
2020,"Toronto, Ontario",,Couples with children,112900.0
2015,"Toronto, Ontario",,Couples with other relatives,136600.0
2016,"Toronto, Ontario",,Couples with other relatives,123700.0
2017,"Toronto, Ontario",,Couples with other relatives,125900.0
2018,"Toronto, Ontario",,Couples with other relatives,130200.0
2019,"Toronto, Ontario",,Couples with other relatives,146900.0
2020,"Toronto, Ontario",,Couples with other relatives,133700.0
2015,"Toronto, Ontario",,Lone-parent families,46500.0
2016,"Toronto, Ontario",,Lone-parent families,40400.0
2017,"Toronto, Ontario",,Lone-parent families,57700.0
2018,"Toronto, Ontario",,Lone-parent families,53400.0
2019,"Toronto, Ontario",,Lone-parent families,54700.0
2020,"Toronto, Ontario",,Lone-parent families,58500.0
2015,"Toronto, Ontario",,Male lone-parent families,
2016,"Toronto, Ontario",,Male lone-parent families,
2017,"Toronto, Ontario",,Male lone-parent families,
2018,"Toronto, Ontario",,Male lone-parent families,
2019,"Toronto, Ontario",,Male lone-parent families,
2020,"Toronto, Ontario",,Male lone-parent families,
2015,"Toronto, Ontario",,Female lone-parent families,45300.0
2016,"Toronto, Ontario",,Female lone-parent families,40400.0
2017,"Toronto, Ontario",,Female lone-parent families,57100.0
2018,"Toronto, Ontario",,Female lone-parent families,51300.0
2019,"Toronto, Ontario",,Female lone-parent families,43100.0
2020,"Toronto, Ontario",,Female lone-parent families,58500.0
2015,"Toronto, Ontario",,Other non-elderly families,76200.0
2016,"Toronto, Ontario",,Other non-elderly families,92600.0
2017,"Toronto, Ontario",,Other non-elderly families,80200.0
2018,"Toronto, Ontario",,Other non-elderly families,84700.0
2019,"Toronto, Ontario",,Other non-elderly families,80600.0
2020,"Toronto, Ontario",,Other non-elderly families,92800.0
2015,"Toronto, Ontario",,Persons not in an economic family,29400.0
2016,"Toronto, Ontario",,Persons not in an economic family,30900.0
2017,"Toronto, Ontario",,Persons not in an economic family,34400.0
2018,"Toronto, Ontario",,Persons not in an economic family,30400.0
2019,"Toronto, Ontario",,Persons not in an economic family,34500.0
2020,"Toronto, Ontario",,Persons not in an economic family,35100.0
2015,"Toronto, Ontario",,Elderly persons not in an economic family,29600.0
2016,"Toronto, Ontario",,Elderly persons not in an economic family,29300.0
2017,"Toronto, Ontario",,Elderly persons not in an economic family,31200.0
2018,"Toronto, Ontario",,Elderly persons not in an economic family,30700.0
2019,"Toronto, Ontario",,Elderly persons not in an economic family,30600.0
2020,"Toronto, Ontario",,Elderly persons not in an economic family,33000.0
2015,"Toronto, Ontario",,Elderly males not in an economic family,33700.0
2016,"Toronto, Ontario",,Elderly males not in an economic family,27900.0
2017,"Toronto, Ontario",,Elderly males not in an economic family,30300.0
2018,"Toronto, Ontario",,Elderly males not in an economic family,28800.0
2019,"Toronto, Ontario",,Elderly males not in an economic family,31400.0
2020,"Toronto, Ontario",,Elderly males not in an economic family,33200.0
2015,"Toronto, Ontario",,Elderly females not in an economic family,29400.0
2016,"Toronto, Ontario",,Elderly females not in an economic family,30500.0
2017,"Toronto, Ontario",,Elderly females not in an economic family,32400.0
2018,"Toronto, Ontario",,Elderly females not in an economic family,31100.0
2019,"Toronto, Ontario",,Elderly females not in an economic family,30600.0
2020,"Toronto, Ontario",,Elderly females not in an economic family,33000.0
2015,"Toronto, Ontario",,Non-elderly persons not in an economic family,28300.0
2016,"Toronto, Ontario",,Non-elderly persons not in an economic family,31500.0
2017,"Toronto, Ontario",,Non-elderly persons not in an economic family,34600.0
2018,"Toronto, Ontario",,Non-elderly persons not in an economic family,30300.0
2019,"Toronto, Ontario",,Non-elderly persons not in an economic family,36900.0
2020,"Toronto, Ontario",,Non-elderly persons not in an economic family,36000.0
2015,"Toronto, Ontario",,Non-elderly males not in an economic family,36800.0
2016,"Toronto, Ontario",,Non-elderly males not in an economic family,33900.0
2017,"Toronto, Ontario",,Non-elderly males not in an economic family,34400.0
2018,"Toronto, Ontario",,Non-elderly males not in an economic family,27400.0
2019,"Toronto, Ontario",,Non-elderly males not in an economic family,41200.0
2020,"Toronto, Ontario",,Non-elderly males not in an economic family,37900.0
2015,"Toronto, Ontario",,Non-elderly females not in an economic family,27000.0
2016,"Toronto, Ontario",,Non-elderly females not in an economic family,28400.0
2017,"Toronto, Ontario",,Non-elderly females not in an economic family,34800.0
2018,"Toronto, Ontario",,Non-elderly females not in an economic family,33200.0
2019,"Toronto, Ontario",,Non-elderly females not in an economic family,33800.0
2020,"Toronto, Ontario",,Non-elderly females not in an economic family,31700.0
2015,"Winnipeg, Manitoba",,Economic families and persons not in an economic family,60200.0
2016,"Winnipeg, Manitoba",,Economic families and persons not in an economic family,61000.0
2017,"Winnipeg, Manitoba",,Economic families and persons not in an economic family,59700.0
2018,"Winnipeg, Manitoba",,Economic families and persons not in an economic family,60400.0
2019,"Winnipeg, Manitoba",,Economic families and persons not in an economic family,62200.0
2020,"Winnipeg, Manitoba",,Economic families and persons not in an economic family,63600.0
2015,"Winnipeg, Manitoba",,Economic families,82700.0
2016,"Winnipeg, Manitoba",,Economic families,82500.0
2017,"Winnipeg, Manitoba",,Economic families,85100.0
2018,"Winnipeg, Manitoba",,Economic families,83700.0
2019,"Winnipeg, Manitoba",,Economic families,82100.0
2020,"Winnipeg, Manitoba",,Economic families,89300.0
2015,"Winnipeg, Manitoba",,Elderly families,71200.0
2016,"Winnipeg, Manitoba",,Elderly families,71100.0
2017,"Winnipeg, Manitoba",,Elderly families,64500.0
2018,"Winnipeg, Manitoba",,Elderly families,69000.0
2019,"Winnipeg, Manitoba",,Elderly families,67000.0
2020,"Winnipeg, Manitoba",,Elderly families,71800.0
2015,"Winnipeg, Manitoba",,Elderly couples,67400.0
2016,"Winnipeg, Manitoba",,Elderly couples,69900.0
2017,"Winnipeg, Manitoba",,Elderly couples,62800.0
2018,"Winnipeg, Manitoba",,Elderly couples,65300.0
