Year,Units,Geography,Core public infrastructure assets,Type of municipality by population size,Value
2016,Percentage,Nova Scotia,Solid waste,All municipalities,11.11
2016,Percentage,Nova Scotia,Solid waste,All urban municipalities,0.0
2016,Percentage,Nova Scotia,Solid waste,"Urban municipalities, population 5,000 to 29,999",0.0
2016,Percentage,Nova Scotia,Solid waste,"Urban municipalities, population 30,000 or more",0.0
2016,Percentage,Nova Scotia,Solid waste,All rural municipalities,14.29
2016,Percentage,Nova Scotia,Solid waste,"Rural municipalities, population 1 to 4,999",0.0
2016,Percentage,Nova Scotia,Solid waste,"Rural municipalities, population 5,000 or more",25.0
2016,Percentage,Nova Scotia,Stormwater,All municipalities,80.0
2016,Percentage,Nova Scotia,Stormwater,All urban municipalities,90.0
2016,Percentage,Nova Scotia,Stormwater,"Urban municipalities, population 1 to 4,999",100.0
2016,Percentage,Nova Scotia,Stormwater,"Urban municipalities, population 5,000 to 29,999",80.0
2016,Percentage,Nova Scotia,Stormwater,"Urban municipalities, population 30,000 or more",100.0
2016,Percentage,Nova Scotia,Stormwater,All rural municipalities,75.0
2016,Percentage,Nova Scotia,Stormwater,"Rural municipalities, population 1 to 4,999",69.23
2016,Percentage,Nova Scotia,Stormwater,"Rural municipalities, population 5,000 or more",85.71
2016,Percentage,Nova Scotia,Wastewater,All municipalities,68.42
2016,Percentage,Nova Scotia,Wastewater,All urban municipalities,70.0
2016,Percentage,Nova Scotia,Wastewater,"Urban municipalities, population 1 to 4,999",33.33
2016,Percentage,Nova Scotia,Wastewater,"Urban municipalities, population 5,000 to 29,999",80.0
2016,Percentage,Nova Scotia,Wastewater,"Urban municipalities, population 30,000 or more",100.0
2016,Percentage,Nova Scotia,Wastewater,All rural municipalities,67.86
2016,Percentage,Nova Scotia,Wastewater,"Rural municipalities, population 1 to 4,999",64.71
2016,Percentage,Nova Scotia,Wastewater,"Rural municipalities, population 5,000 or more",72.73
2016,Percentage,Nunavut,Potable water,All municipalities,37.5
2016,Percentage,Nunavut,Potable water,All rural municipalities,37.5
2016,Percentage,Nunavut,Potable water,"Rural municipalities, population 1 to 4,999",28.57
2016,Percentage,Nunavut,Potable water,"Rural municipalities, population 5,000 or more",100.0
2016,Percentage,Nunavut,Solid waste,All municipalities,33.33
2016,Percentage,Nunavut,Solid waste,All rural municipalities,33.33
2016,Percentage,Nunavut,Solid waste,"Rural municipalities, population 1 to 4,999",36.36
2016,Percentage,Nunavut,Solid waste,"Rural municipalities, population 5,000 or more",0.0
2016,Percentage,Nunavut,Stormwater,All municipalities,0.0
2016,Percentage,Nunavut,Stormwater,All rural municipalities,0.0
2016,Percentage,Nunavut,Stormwater,"Rural municipalities, population 1 to 4,999",0.0
2016,Percentage,Nunavut,Wastewater,All municipalities,40.0
2016,Percentage,Nunavut,Wastewater,All rural municipalities,40.0
2016,Percentage,Nunavut,Wastewater,"Rural municipalities, population 1 to 4,999",44.44
2016,Percentage,Nunavut,Wastewater,"Rural municipalities, population 5,000 or more",0.0
2016,Percentage,Ontario,Potable water,All municipalities,23.98
2016,Percentage,Ontario,Potable water,All urban municipalities,28.7
2016,Percentage,Ontario,Potable water,"Urban municipalities, population 1 to 4,999",14.29
2016,Percentage,Ontario,Potable water,"Urban municipalities, population 5,000 to 29,999",34.55
2016,Percentage,Ontario,Potable water,"Urban municipalities, population 30,000 or more",21.74
2016,Percentage,Ontario,Potable water,All rural municipalities,20.29
2016,Percentage,Ontario,Potable water,"Rural municipalities, population 1 to 4,999",0.0
2016,Percentage,Ontario,Potable water,"Rural municipalities, population 5,000 or more",22.08
2016,Percentage,Ontario,Solid waste,All municipalities,10.87
2016,Percentage,Ontario,Solid waste,All urban municipalities,11.9
2016,Percentage,Ontario,Solid waste,"Urban municipalities, population 1 to 4,999",5.26
2016,Percentage,Ontario,Solid waste,"Urban municipalities, population 5,000 to 29,999",12.9
2016,Percentage,Ontario,Solid waste,"Urban municipalities, population 30,000 or more",14.29
2016,Percentage,Ontario,Solid waste,All rural municipalities,10.27
2016,Percentage,Ontario,Solid waste,"Rural municipalities, population 1 to 4,999",16.05
2016,Percentage,Ontario,Solid waste,"Rural municipalities, population 5,000 or more",3.13
2016,Percentage,Ontario,Stormwater,All municipalities,51.14
2016,Percentage,Ontario,Stormwater,All urban municipalities,58.7
2016,Percentage,Ontario,Stormwater,"Urban municipalities, population 1 to 4,999",33.33
2016,Percentage,Ontario,Stormwater,"Urban municipalities, population 5,000 to 29,999",54.69
2016,Percentage,Ontario,Stormwater,"Urban municipalities, population 30,000 or more",71.19
2016,Percentage,Ontario,Stormwater,All rural municipalities,44.97
2016,Percentage,Ontario,Stormwater,"Rural municipalities, population 1 to 4,999",54.55
2016,Percentage,Ontario,Stormwater,"Rural municipalities, population 5,000 or more",36.96
2016,Percentage,Ontario,Wastewater,All municipalities,34.44
2016,Percentage,Ontario,Wastewater,All urban municipalities,37.96
2016,Percentage,Ontario,Wastewater,"Urban municipalities, population 1 to 4,999",0.0
2016,Percentage,Ontario,Wastewater,"Urban municipalities, population 5,000 to 29,999",42.31
2016,Percentage,Ontario,Wastewater,"Urban municipalities, population 30,000 or more",39.58
2016,Percentage,Ontario,Wastewater,All rural municipalities,30.83
2016,Percentage,Ontario,Wastewater,"Rural municipalities, population 1 to 4,999",30.65
2016,Percentage,Ontario,Wastewater,"Rural municipalities, population 5,000 or more",30.56
2016,Percentage,Prince Edward Island,Potable water,All municipalities,28.57
2016,Percentage,Prince Edward Island,Potable water,All urban municipalities,50.0
2016,Percentage,Prince Edward Island,Potable water,"Urban municipalities, population 5,000 to 29,999",33.33
2016,Percentage,Prince Edward Island,Potable water,"Urban municipalities, population 30,000 or more",100.0
2016,Percentage,Prince Edward Island,Potable water,All rural municipalities,0.0
2016,Percentage,Prince Edward Island,Potable water,"Rural municipalities, population 1 to 4,999",0.0
2016,Percentage,Prince Edward Island,Solid waste,All municipalities,0.0
2016,Percentage,Prince Edward Island,Solid waste,All urban municipalities,0.0
2016,Percentage,Prince Edward Island,Solid waste,"Urban municipalities, population 30,000 or more",0.0
2016,Percentage,Prince Edward Island,Stormwater,All municipalities,75.0
2016,Percentage,Prince Edward Island,Stormwater,All urban municipalities,100.0
2016,Percentage,Prince Edward Island,Stormwater,"Urban municipalities, population 5,000 to 29,999",100.0
2016,Percentage,Prince Edward Island,Stormwater,"Urban municipalities, population 30,000 or more",100.0
2016,Percentage,Prince Edward Island,Stormwater,All rural municipalities,50.0
2016,Percentage,Prince Edward Island,Stormwater,"Rural municipalities, population 1 to 4,999",50.0
2016,Percentage,Prince Edward Island,Wastewater,All municipalities,44.44
2016,Percentage,Prince Edward Island,Wastewater,All urban municipalities,40.0
2016,Percentage,Prince Edward Island,Wastewater,"Urban municipalities, population 1 to 4,999",100.0
2016,Percentage,Prince Edward Island,Wastewater,"Urban municipalities, population 5,000 to 29,999",33.33
2016,Percentage,Prince Edward Island,Wastewater,"Urban municipalities, population 30,000 or more",0.0
2016,Percentage,Prince Edward Island,Wastewater,All rural municipalities,50.0
2016,Percentage,Prince Edward Island,Wastewater,"Rural municipalities, population 1 to 4,999",50.0
2016,Percentage,Quebec,Potable water,All municipalities,26.7
2016,Percentage,Quebec,Potable water,All urban municipalities,25.81
2016,Percentage,Quebec,Potable water,"Urban municipalities, population 1 to 4,999",18.92
2016,Percentage,Quebec,Potable water,"Urban municipalities, population 5,000 to 29,999",32.89
2016,Percentage,Quebec,Potable water,"Urban municipalities, population 30,000 or more",25.0
2016,Percentage,Quebec,Potable water,All rural municipalities,27.13
2016,Percentage,Quebec,Potable water,"Rural municipalities, population 1 to 4,999",0.0
2016,Percentage,Quebec,Potable water,"Rural municipalities, population 5,000 or more",42.86
2016,Percentage,Quebec,Solid waste,All municipalities,0.0
2016,Percentage,Quebec,Solid waste,All urban municipalities,12.86
2016,Percentage,Quebec,Solid waste,"Urban municipalities, population 1 to 4,999",13.04
2016,Percentage,Quebec,Solid waste,"Urban municipalities, population 5,000 to 29,999",14.29
2016,Percentage,Quebec,Solid waste,"Urban municipalities, population 30,000 or more",5.26
2016,Percentage,Quebec,Solid waste,All rural municipalities,0.0
2016,Percentage,Quebec,Solid waste,"Rural municipalities, population 1 to 4,999",0.0
2016,Percentage,Quebec,Solid waste,"Rural municipalities, population 5,000 or more",12.5
2016,Percentage,Quebec,Stormwater,All municipalities,45.7
2016,Percentage,Quebec,Stormwater,All urban municipalities,55.96
2016,Percentage,Quebec,Stormwater,"Urban municipalities, population 1 to 4,999",31.94
2016,Percentage,Quebec,Stormwater,"Urban municipalities, population 5,000 to 29,999",63.53
2016,Percentage,Quebec,Stormwater,"Urban municipalities, population 30,000 or more",86.11
2016,Percentage,Quebec,Stormwater,All rural municipalities,38.98
2016,Percentage,Quebec,Stormwater,"Rural municipalities, population 1 to 4,999",37.86
2016,Percentage,Quebec,Stormwater,"Rural municipalities, population 5,000 or more",44.23
2016,Percentage,Quebec,Wastewater,All municipalities,31.79
2016,Percentage,Quebec,Wastewater,All urban municipalities,33.5
2016,Percentage,Quebec,Wastewater,"Urban municipalities, population 1 to 4,999",21.52
2016,Percentage,Quebec,Wastewater,"Urban municipalities, population 5,000 to 29,999",34.94
2016,Percentage,Quebec,Wastewater,"Urban municipalities, population 30,000 or more",52.78
2016,Percentage,Quebec,Wastewater,All rural municipalities,30.85
2016,Percentage,Quebec,Wastewater,"Rural municipalities, population 1 to 4,999",31.07
2016,Percentage,Quebec,Wastewater,"Rural municipalities, population 5,000 or more",30.19
2016,Percentage,Saskatchewan,Potable water,All municipalities,14.29
2016,Percentage,Saskatchewan,Potable water,All urban municipalities,21.15
2016,Percentage,Saskatchewan,Potable water,"Urban municipalities, population 1 to 4,999",17.95
2016,Percentage,Saskatchewan,Potable water,"Urban municipalities, population 5,000 to 29,999",11.11
2016,Percentage,Saskatchewan,Potable water,"Urban municipalities, population 30,000 or more",75.0
2016,Percentage,Saskatchewan,Potable water,All rural municipalities,10.0
2016,Percentage,Saskatchewan,Potable water,"Rural municipalities, population 1 to 4,999",10.53
2016,Percentage,Saskatchewan,Potable water,"Rural municipalities, population 5,000 or more",0.0
2016,Percentage,Saskatchewan,Solid waste,All municipalities,11.0
2016,Percentage,Saskatchewan,Solid waste,All urban municipalities,19.44
2016,Percentage,Saskatchewan,Solid waste,"Urban municipalities, population 1 to 4,999",16.0
2016,Percentage,Saskatchewan,Solid waste,"Urban municipalities, population 5,000 to 29,999",14.29
2016,Percentage,Saskatchewan,Solid waste,"Urban municipalities, population 30,000 or more",50.0
2016,Percentage,Saskatchewan,Solid waste,All rural municipalities,6.35
2016,Percentage,Saskatchewan,Solid waste,"Rural municipalities, population 1 to 4,999",6.56
2016,Percentage,Saskatchewan,Solid waste,"Rural municipalities, population 5,000 or more",0.0
2016,Percentage,Saskatchewan,Stormwater,All municipalities,31.87
2016,Percentage,Saskatchewan,Stormwater,All urban municipalities,41.03
2016,Percentage,Saskatchewan,Stormwater,"Urban municipalities, population 1 to 4,999",34.62
2016,Percentage,Saskatchewan,Stormwater,"Urban municipalities, population 5,000 to 29,999",44.44
2016,Percentage,Saskatchewan,Stormwater,"Urban municipalities, population 30,000 or more",75.0
2016,Percentage,Saskatchewan,Stormwater,All rural municipalities,25.0
2016,Percentage,Saskatchewan,Stormwater,"Rural municipalities, population 1 to 4,999",24.49
2016,Percentage,Saskatchewan,Stormwater,"Rural municipalities, population 5,000 or more",33.33
2016,Percentage,Saskatchewan,Wastewater,All municipalities,24.27
2016,Percentage,Saskatchewan,Wastewater,All urban municipalities,39.13
2016,Percentage,Saskatchewan,Wastewater,"Urban municipalities, population 1 to 4,999",41.18
2016,Percentage,Saskatchewan,Wastewater,"Urban municipalities, population 5,000 to 29,999",12.5
2016,Percentage,Saskatchewan,Wastewater,"Urban municipalities, population 30,000 or more",75.0
2016,Percentage,Saskatchewan,Wastewater,All rural municipalities,12.07
2016,Percentage,Saskatchewan,Wastewater,"Rural municipalities, population 1 to 4,999",10.91
2016,Percentage,Saskatchewan,Wastewater,"Rural municipalities, population 5,000 or more",33.33
2016,Percentage,Yukon,Potable water,All municipalities,50.0
2016,Percentage,Yukon,Potable water,All urban municipalities,0.0
2016,Percentage,Yukon,Potable water,"Urban municipalities, population 5,000 to 29,999",0.0
2016,Percentage,Yukon,Potable water,All rural municipalities,100.0
2016,Percentage,Yukon,Potable water,"Rural municipalities, population 1 to 4,999",100.0
2016,Percentage,Yukon,Solid waste,All municipalities,50.0
2016,Percentage,Yukon,Solid waste,All urban municipalities,0.0
2016,Percentage,Yukon,Solid waste,"Urban municipalities, population 5,000 to 29,999",0.0
2016,Percentage,Yukon,Solid waste,All rural municipalities,100.0
2016,Percentage,Yukon,Solid waste,"Rural municipalities, population 1 to 4,999",100.0
2016,Percentage,Yukon,Stormwater,All municipalities,50.0
2016,Percentage,Yukon,Stormwater,All urban municipalities,0.0
2016,Percentage,Yukon,Stormwater,"Urban municipalities, population 5,000 to 29,999",0.0
2016,Percentage,Yukon,Stormwater,All rural municipalities,100.0
2016,Percentage,Yukon,Stormwater,"Rural municipalities, population 1 to 4,999",100.0
2016,Percentage,Yukon,Wastewater,All municipalities,50.0
2016,Percentage,Yukon,Wastewater,All urban municipalities,0.0
2016,Percentage,Yukon,Wastewater,"Urban municipalities, population 5,000 to 29,999",0.0
2016,Percentage,Yukon,Wastewater,All rural municipalities,100.0
2016,Percentage,Yukon,Wastewater,"Rural municipalities, population 1 to 4,999",100.0
2018,Percentage,Alberta,Potable water,All municipalities,32.44
2018,Percentage,Alberta,Potable water,All urban municipalities,45.83
2018,Percentage,Alberta,Potable water,"Urban municipalities, population 1 to 4,999",47.37
2018,Percentage,Alberta,Potable water,"Urban municipalities, population 5,000 to 29,999",51.35
2018,Percentage,Alberta,Potable water,"Urban municipalities, population 30,000 or more",8.33
2018,Percentage,Alberta,Potable water,All rural municipalities,22.92
2018,Percentage,Alberta,Potable water,"Rural municipalities, population 1 to 4,999",21.79
2018,Percentage,Alberta,Potable water,"Rural municipalities, population 5,000 or more",27.78
2018,Percentage,Alberta,Solid waste,All municipalities,21.05
2018,Percentage,Alberta,Solid waste,All urban municipalities,30.91
2018,Percentage,Alberta,Solid waste,"Urban municipalities, population 1 to 4,999",31.43
2018,Percentage,Alberta,Solid waste,"Urban municipalities, population 5,000 to 29,999",26.67
2018,Percentage,Alberta,Solid waste,"Urban municipalities, population 30,000 or more",30.0
2018,Percentage,Alberta,Solid waste,All rural municipalities,13.14
2018,Percentage,Alberta,Solid waste,"Rural municipalities, population 1 to 4,999",10.19
2018,Percentage,Alberta,Solid waste,"Rural municipalities, population 5,000 or more",24.14
2018,Percentage,Alberta,Stormwater,All municipalities,38.21
2018,Percentage,Alberta,Stormwater,All urban municipalities,49.32
2018,Percentage,Alberta,Stormwater,"Urban municipalities, population 1 to 4,999",47.96
2018,Percentage,Alberta,Stormwater,"Urban municipalities, population 5,000 to 29,999",56.76
2018,Percentage,Alberta,Stormwater,"Urban municipalities, population 30,000 or more",30.77
2018,Percentage,Alberta,Stormwater,All rural municipalities,27.45
2018,Percentage,Alberta,Stormwater,"Rural municipalities, population 1 to 4,999",23.33
2018,Percentage,Alberta,Stormwater,"Rural municipalities, population 5,000 or more",42.42
2018,Percentage,Alberta,Wastewater,All municipalities,33.43
2018,Percentage,Alberta,Wastewater,All urban municipalities,45.83
2018,Percentage,Alberta,Wastewater,"Urban municipalities, population 1 to 4,999",46.32
2018,Percentage,Alberta,Wastewater,"Urban municipalities, population 5,000 to 29,999",54.05
2018,Percentage,Alberta,Wastewater,"Urban municipalities, population 30,000 or more",16.67
2018,Percentage,Alberta,Wastewater,All rural municipalities,24.23
2018,Percentage,Alberta,Wastewater,"Rural municipalities, population 1 to 4,999",22.93
2018,Percentage,Alberta,Wastewater,"Rural municipalities, population 5,000 or more",29.73
2018,Percentage,British Columbia,Potable water,All municipalities,60.73
2018,Percentage,British Columbia,Potable water,All urban municipalities,71.14
2018,Percentage,British Columbia,Potable water,"Urban municipalities, population 1 to 4,999",71.64
2018,Percentage,British Columbia,Potable water,"Urban municipalities, population 5,000 to 29,999",70.91
2018,Percentage,British Columbia,Potable water,"Urban municipalities, population 30,000 or more",70.37
2018,Percentage,British Columbia,Potable water,All rural municipalities,50.0
2018,Percentage,British Columbia,Potable water,"Rural municipalities, population 1 to 4,999",47.86
2018,Percentage,British Columbia,Potable water,"Rural municipalities, population 5,000 or more",71.43
2018,Percentage,British Columbia,Solid waste,All municipalities,36.27
2018,Percentage,British Columbia,Solid waste,All urban municipalities,37.62
2018,Percentage,British Columbia,Solid waste,"Urban municipalities, population 1 to 4,999",35.14
2018,Percentage,British Columbia,Solid waste,"Urban municipalities, population 5,000 to 29,999",43.59
2018,Percentage,British Columbia,Solid waste,"Urban municipalities, population 30,000 or more",32.0
2018,Percentage,British Columbia,Solid waste,All rural municipalities,34.95
2018,Percentage,British Columbia,Solid waste,"Rural municipalities, population 1 to 4,999",33.33
2018,Percentage,British Columbia,Solid waste,"Rural municipalities, population 5,000 or more",40.0
2018,Percentage,British Columbia,Stormwater,All municipalities,64.26
2018,Percentage,British Columbia,Stormwater,All urban municipalities,74.52
2018,Percentage,British Columbia,Stormwater,"Urban municipalities, population 1 to 4,999",75.76
2018,Percentage,British Columbia,Stormwater,"Urban municipalities, population 5,000 to 29,999",75.41
2018,Percentage,British Columbia,Stormwater,"Urban municipalities, population 30,000 or more",72.41
2018,Percentage,British Columbia,Stormwater,All rural municipalities,53.38
2018,Percentage,British Columbia,Stormwater,"Rural municipalities, population 1 to 4,999",50.0
2018,Percentage,British Columbia,Stormwater,"Rural municipalities, population 5,000 or more",73.33
2018,Percentage,British Columbia,Wastewater,All municipalities,58.9
2018,Percentage,British Columbia,Wastewater,All urban municipalities,68.55
2018,Percentage,British Columbia,Wastewater,"Urban municipalities, population 1 to 4,999",76.47
2018,Percentage,British Columbia,Wastewater,"Urban municipalities, population 5,000 to 29,999",65.57
2018,Percentage,British Columbia,Wastewater,"Urban municipalities, population 30,000 or more",55.17
2018,Percentage,British Columbia,Wastewater,All rural municipalities,48.67
2018,Percentage,British Columbia,Wastewater,"Rural municipalities, population 1 to 4,999",46.38
2018,Percentage,British Columbia,Wastewater,"Rural municipalities, population 5,000 or more",75.0
2018,Percentage,Canada,Potable water,All municipalities,42.47
2018,Percentage,Canada,Potable water,All urban municipalities,55.5
2018,Percentage,Canada,Potable water,"Urban municipalities, population 1 to 4,999",50.76
2018,Percentage,Canada,Potable water,"Urban municipalities, population 5,000 to 29,999",63.74
2018,Percentage,Canada,Potable water,"Urban municipalities, population 30,000 or more",52.46
2018,Percentage,Canada,Potable water,All rural municipalities,37.79
2018,Percentage,Canada,Potable water,"Rural municipalities, population 1 to 4,999",36.31
2018,Percentage,Canada,Potable water,"Rural municipalities, population 5,000 or more",49.01
2018,Percentage,Canada,Solid waste,All municipalities,30.16
2018,Percentage,Canada,Solid waste,All urban municipalities,37.08
2018,Percentage,Canada,Solid waste,"Urban municipalities, population 1 to 4,999",34.52
2018,Percentage,Canada,Solid waste,"Urban municipalities, population 5,000 to 29,999",39.52
2018,Percentage,Canada,Solid waste,"Urban municipalities, population 30,000 or more",40.23
2018,Percentage,Canada,Solid waste,All rural municipalities,27.72
2018,Percentage,Canada,Solid waste,"Rural municipalities, population 1 to 4,999",27.35
2018,Percentage,Canada,Solid waste,"Rural municipalities, population 5,000 or more",31.18
2018,Percentage,Canada,Stormwater,All municipalities,50.18
2018,Percentage,Canada,Stormwater,All urban municipalities,61.77
2018,Percentage,Canada,Stormwater,"Urban municipalities, population 1 to 4,999",52.21
2018,Percentage,Canada,Stormwater,"Urban municipalities, population 5,000 to 29,999",71.33
2018,Percentage,Canada,Stormwater,"Urban municipalities, population 30,000 or more",69.06
2018,Percentage,Canada,Stormwater,All rural municipalities,45.37
2018,Percentage,Canada,Stormwater,"Rural municipalities, population 1 to 4,999",43.42
2018,Percentage,Canada,Stormwater,"Rural municipalities, population 5,000 or more",56.47
2018,Percentage,Canada,Wastewater,All municipalities,43.9
2018,Percentage,Canada,Wastewater,All urban municipalities,55.84
2018,Percentage,Canada,Wastewater,"Urban municipalities, population 1 to 4,999",49.39
2018,Percentage,Canada,Wastewater,"Urban municipalities, population 5,000 to 29,999",65.59
2018,Percentage,Canada,Wastewater,"Urban municipalities, population 30,000 or more",55.12
2018,Percentage,Canada,Wastewater,All rural municipalities,39.78
2018,Percentage,Canada,Wastewater,"Rural municipalities, population 1 to 4,999",38.21
2018,Percentage,Canada,Wastewater,"Rural municipalities, population 5,000 or more",52.4
2018,Percentage,Manitoba,Potable water,All municipalities,37.82
2018,Percentage,Manitoba,Potable water,All urban municipalities,53.85
2018,Percentage,Manitoba,Potable water,"Urban municipalities, population 1 to 4,999",46.15
2018,Percentage,Manitoba,Potable water,"Urban municipalities, population 5,000 to 29,999",54.55
2018,Percentage,Manitoba,Potable water,"Urban municipalities, population 30,000 or more",100.0
2018,Percentage,Manitoba,Potable water,All rural municipalities,32.26
2018,Percentage,Manitoba,Potable water,"Rural municipalities, population 1 to 4,999",30.0
2018,Percentage,Manitoba,Potable water,"Rural municipalities, population 5,000 or more",46.15
2018,Percentage,Manitoba,Solid waste,All municipalities,43.08
2018,Percentage,Manitoba,Solid waste,All urban municipalities,55.17
2018,Percentage,Manitoba,Solid waste,"Urban municipalities, population 1 to 4,999",62.5
2018,Percentage,Manitoba,Solid waste,"Urban municipalities, population 5,000 to 29,999",40.0
2018,Percentage,Manitoba,Solid waste,"Urban municipalities, population 30,000 or more",100.0
2018,Percentage,Manitoba,Solid waste,All rural municipalities,39.6
2018,Percentage,Manitoba,Solid waste,"Rural municipalities, population 1 to 4,999",40.0
2018,Percentage,Manitoba,Solid waste,"Rural municipalities, population 5,000 or more",36.36
2018,Percentage,Manitoba,Stormwater,All municipalities,44.23
2018,Percentage,Manitoba,Stormwater,All urban municipalities,54.84
2018,Percentage,Manitoba,Stormwater,"Urban municipalities, population 1 to 4,999",52.94
2018,Percentage,Manitoba,Stormwater,"Urban municipalities, population 5,000 to 29,999",54.55
2018,Percentage,Manitoba,Stormwater,"Urban municipalities, population 30,000 or more",100.0
2018,Percentage,Manitoba,Stormwater,All rural municipalities,40.54
2018,Percentage,Manitoba,Stormwater,"Rural municipalities, population 1 to 4,999",40.0
2018,Percentage,Manitoba,Stormwater,"Rural municipalities, population 5,000 or more",42.86
2018,Percentage,Manitoba,Wastewater,All municipalities,45.93
2018,Percentage,Manitoba,Wastewater,All urban municipalities,54.84
2018,Percentage,Manitoba,Wastewater,"Urban municipalities, population 1 to 4,999",52.94
2018,Percentage,Manitoba,Wastewater,"Urban municipalities, population 5,000 to 29,999",54.55
2018,Percentage,Manitoba,Wastewater,"Urban municipalities, population 30,000 or more",100.0
2018,Percentage,Manitoba,Wastewater,All rural municipalities,43.27
2018,Percentage,Manitoba,Wastewater,"Rural municipalities, population 1 to 4,999",40.45
2018,Percentage,Manitoba,Wastewater,"Rural municipalities, population 5,000 or more",60.0
2018,Percentage,New Brunswick,Potable water,All municipalities,64.0
2018,Percentage,New Brunswick,Potable water,All urban municipalities,58.54
2018,Percentage,New Brunswick,Potable water,"Urban municipalities, population 1 to 4,999",50.0
2018,Percentage,New Brunswick,Potable water,"Urban municipalities, population 5,000 to 29,999",78.57
2018,Percentage,New Brunswick,Potable water,"Urban municipalities, population 30,000 or more",33.33
2018,Percentage,New Brunswick,Potable water,All rural municipalities,66.06
2018,Percentage,New Brunswick,Potable water,"Rural municipalities, population 1 to 4,999",65.38
2018,Percentage,New Brunswick,Potable water,"Rural municipalities, population 5,000 or more",100.0
2018,Percentage,New Brunswick,Solid waste,All municipalities,37.78
2018,Percentage,New Brunswick,Solid waste,All urban municipalities,36.36
2018,Percentage,New Brunswick,Solid waste,"Urban municipalities, population 1 to 4,999",60.0
2018,Percentage,New Brunswick,Solid waste,"Urban municipalities, population 5,000 to 29,999",0.0
2018,Percentage,New Brunswick,Solid waste,"Urban municipalities, population 30,000 or more",50.0
2018,Percentage,New Brunswick,Solid waste,All rural municipalities,39.24
2018,Percentage,New Brunswick,Solid waste,"Rural municipalities, population 1 to 4,999",39.74
2018,Percentage,New Brunswick,Solid waste,"Rural municipalities, population 5,000 or more",0.0
2018,Percentage,New Brunswick,Stormwater,All municipalities,60.75
2018,Percentage,New Brunswick,Stormwater,All urban municipalities,72.09
2018,Percentage,New Brunswick,Stormwater,"Urban municipalities, population 1 to 4,999",58.33
2018,Percentage,New Brunswick,Stormwater,"Urban municipalities, population 5,000 to 29,999",87.5
2018,Percentage,New Brunswick,Stormwater,"Urban municipalities, population 30,000 or more",66.67
2018,Percentage,New Brunswick,Stormwater,All rural municipalities,58.82
2018,Percentage,New Brunswick,Stormwater,"Rural municipalities, population 1 to 4,999",57.58
2018,Percentage,New Brunswick,Stormwater,"Rural municipalities, population 5,000 or more",100.0
2018,Percentage,New Brunswick,Wastewater,All municipalities,61.93
2018,Percentage,New Brunswick,Wastewater,All urban municipalities,59.52
2018,Percentage,New Brunswick,Wastewater,"Urban municipalities, population 1 to 4,999",50.0
2018,Percentage,New Brunswick,Wastewater,"Urban municipalities, population 5,000 to 29,999",80.0
2018,Percentage,New Brunswick,Wastewater,"Urban municipalities, population 30,000 or more",33.33
2018,Percentage,New Brunswick,Wastewater,All rural municipalities,61.94
2018,Percentage,New Brunswick,Wastewater,"Rural municipalities, population 1 to 4,999",61.33
2018,Percentage,New Brunswick,Wastewater,"Rural municipalities, population 5,000 or more",100.0
2018,Percentage,Newfoundland and Labrador,Potable water,All municipalities,36.97
2018,Percentage,Newfoundland and Labrador,Potable water,All urban municipalities,54.05
2018,Percentage,Newfoundland and Labrador,Potable water,"Urban municipalities, population 1 to 4,999",36.36
2018,Percentage,Newfoundland and Labrador,Potable water,"Urban municipalities, population 5,000 to 29,999",73.33
2018,Percentage,Newfoundland and Labrador,Potable water,"Urban municipalities, population 30,000 or more",100.0
2018,Percentage,Newfoundland and Labrador,Potable water,All rural municipalities,34.55
2018,Percentage,Newfoundland and Labrador,Potable water,"Rural municipalities, population 1 to 4,999",34.16
2018,Percentage,Newfoundland and Labrador,Potable water,"Rural municipalities, population 5,000 or more",33.33
2018,Percentage,Newfoundland and Labrador,Solid waste,All municipalities,34.68
2018,Percentage,Newfoundland and Labrador,Solid waste,All urban municipalities,54.17
2018,Percentage,Newfoundland and Labrador,Solid waste,"Urban municipalities, population 1 to 4,999",54.55
2018,Percentage,Newfoundland and Labrador,Solid waste,"Urban municipalities, population 5,000 to 29,999",50.0
2018,Percentage,Newfoundland and Labrador,Solid waste,"Urban municipalities, population 30,000 or more",100.0
2018,Percentage,Newfoundland and Labrador,Solid waste,All rural municipalities,31.54
2018,Percentage,Newfoundland and Labrador,Solid waste,"Rural municipalities, population 1 to 4,999",29.93
2018,Percentage,Newfoundland and Labrador,Solid waste,"Rural municipalities, population 5,000 or more",100.0
2018,Percentage,Newfoundland and Labrador,Stormwater,All municipalities,50.6
2018,Percentage,Newfoundland and Labrador,Stormwater,All urban municipalities,67.65
2018,Percentage,Newfoundland and Labrador,Stormwater,"Urban municipalities, population 1 to 4,999",57.89
2018,Percentage,Newfoundland and Labrador,Stormwater,"Urban municipalities, population 5,000 to 29,999",73.33
2018,Percentage,Newfoundland and Labrador,Stormwater,"Urban municipalities, population 30,000 or more",100.0
2018,Percentage,Newfoundland and Labrador,Stormwater,All rural municipalities,46.27
2018,Percentage,Newfoundland and Labrador,Stormwater,"Rural municipalities, population 1 to 4,999",45.8
2018,Percentage,Newfoundland and Labrador,Stormwater,"Rural municipalities, population 5,000 or more",66.67
2018,Percentage,Newfoundland and Labrador,Wastewater,All municipalities,36.4
2018,Percentage,Newfoundland and Labrador,Wastewater,All urban municipalities,54.05
