Year,data.Geography,data.Type of work,data.National Occupational Classification (NOC),data.Age,Value
2019,data.Manitoba,data.Part-time employees,data.Occupations in manufacturing and utilities [9],data.15 to 24 years,
2020,data.Manitoba,data.Part-time employees,data.Occupations in manufacturing and utilities [9],data.15 to 24 years,
2015,data.Manitoba,data.Part-time employees,data.Occupations in manufacturing and utilities [9],data.25 to 54 years,
2016,data.Manitoba,data.Part-time employees,data.Occupations in manufacturing and utilities [9],data.25 to 54 years,
2017,data.Manitoba,data.Part-time employees,data.Occupations in manufacturing and utilities [9],data.25 to 54 years,
2018,data.Manitoba,data.Part-time employees,data.Occupations in manufacturing and utilities [9],data.25 to 54 years,
2019,data.Manitoba,data.Part-time employees,data.Occupations in manufacturing and utilities [9],data.25 to 54 years,
2020,data.Manitoba,data.Part-time employees,data.Occupations in manufacturing and utilities [9],data.25 to 54 years,
2015,data.Manitoba,data.Part-time employees,data.Occupations in manufacturing and utilities [9],data.55 years and over,
2016,data.Manitoba,data.Part-time employees,data.Occupations in manufacturing and utilities [9],data.55 years and over,
2017,data.Manitoba,data.Part-time employees,data.Occupations in manufacturing and utilities [9],data.55 years and over,
2018,data.Manitoba,data.Part-time employees,data.Occupations in manufacturing and utilities [9],data.55 years and over,
2019,data.Manitoba,data.Part-time employees,data.Occupations in manufacturing and utilities [9],data.55 years and over,
2020,data.Manitoba,data.Part-time employees,data.Occupations in manufacturing and utilities [9],data.55 years and over,
2015,data.Saskatchewan,data.Both full- and part-time employees,data.Total employees - all occupations,data.15 years and over,0.83
2016,data.Saskatchewan,data.Both full- and part-time employees,data.Total employees - all occupations,data.15 years and over,0.83
2017,data.Saskatchewan,data.Both full- and part-time employees,data.Total employees - all occupations,data.15 years and over,0.82
2018,data.Saskatchewan,data.Both full- and part-time employees,data.Total employees - all occupations,data.15 years and over,0.81
2019,data.Saskatchewan,data.Both full- and part-time employees,data.Total employees - all occupations,data.15 years and over,0.83
2020,data.Saskatchewan,data.Both full- and part-time employees,data.Total employees - all occupations,data.15 years and over,0.82
2015,data.Saskatchewan,data.Both full- and part-time employees,data.Total employees - all occupations,data.15 to 24 years,0.87
2016,data.Saskatchewan,data.Both full- and part-time employees,data.Total employees - all occupations,data.15 to 24 years,0.82
2017,data.Saskatchewan,data.Both full- and part-time employees,data.Total employees - all occupations,data.15 to 24 years,0.87
2018,data.Saskatchewan,data.Both full- and part-time employees,data.Total employees - all occupations,data.15 to 24 years,0.93
2019,data.Saskatchewan,data.Both full- and part-time employees,data.Total employees - all occupations,data.15 to 24 years,0.93
2020,data.Saskatchewan,data.Both full- and part-time employees,data.Total employees - all occupations,data.15 to 24 years,0.92
2015,data.Saskatchewan,data.Both full- and part-time employees,data.Total employees - all occupations,data.25 to 54 years,0.78
2016,data.Saskatchewan,data.Both full- and part-time employees,data.Total employees - all occupations,data.25 to 54 years,0.8
2017,data.Saskatchewan,data.Both full- and part-time employees,data.Total employees - all occupations,data.25 to 54 years,0.81
2018,data.Saskatchewan,data.Both full- and part-time employees,data.Total employees - all occupations,data.25 to 54 years,0.8
2019,data.Saskatchewan,data.Both full- and part-time employees,data.Total employees - all occupations,data.25 to 54 years,0.8
2020,data.Saskatchewan,data.Both full- and part-time employees,data.Total employees - all occupations,data.25 to 54 years,0.84
2015,data.Saskatchewan,data.Both full- and part-time employees,data.Total employees - all occupations,data.55 years and over,0.81
2016,data.Saskatchewan,data.Both full- and part-time employees,data.Total employees - all occupations,data.55 years and over,0.79
2017,data.Saskatchewan,data.Both full- and part-time employees,data.Total employees - all occupations,data.55 years and over,0.81
2018,data.Saskatchewan,data.Both full- and part-time employees,data.Total employees - all occupations,data.55 years and over,0.8
2019,data.Saskatchewan,data.Both full- and part-time employees,data.Total employees - all occupations,data.55 years and over,0.82
2020,data.Saskatchewan,data.Both full- and part-time employees,data.Total employees - all occupations,data.55 years and over,0.8
2015,data.Saskatchewan,data.Both full- and part-time employees,data.Management occupations [0],data.15 years and over,0.86
2016,data.Saskatchewan,data.Both full- and part-time employees,data.Management occupations [0],data.15 years and over,0.86
2017,data.Saskatchewan,data.Both full- and part-time employees,data.Management occupations [0],data.15 years and over,0.83
2018,data.Saskatchewan,data.Both full- and part-time employees,data.Management occupations [0],data.15 years and over,0.83
2019,data.Saskatchewan,data.Both full- and part-time employees,data.Management occupations [0],data.15 years and over,0.91
2020,data.Saskatchewan,data.Both full- and part-time employees,data.Management occupations [0],data.15 years and over,0.94
2015,data.Saskatchewan,data.Both full- and part-time employees,data.Management occupations [0],data.15 to 24 years,
2016,data.Saskatchewan,data.Both full- and part-time employees,data.Management occupations [0],data.15 to 24 years,
2017,data.Saskatchewan,data.Both full- and part-time employees,data.Management occupations [0],data.15 to 24 years,
2018,data.Saskatchewan,data.Both full- and part-time employees,data.Management occupations [0],data.15 to 24 years,
2019,data.Saskatchewan,data.Both full- and part-time employees,data.Management occupations [0],data.15 to 24 years,
2020,data.Saskatchewan,data.Both full- and part-time employees,data.Management occupations [0],data.15 to 24 years,
2015,data.Saskatchewan,data.Both full- and part-time employees,data.Management occupations [0],data.25 to 54 years,0.8
2016,data.Saskatchewan,data.Both full- and part-time employees,data.Management occupations [0],data.25 to 54 years,0.88
2017,data.Saskatchewan,data.Both full- and part-time employees,data.Management occupations [0],data.25 to 54 years,0.83
2018,data.Saskatchewan,data.Both full- and part-time employees,data.Management occupations [0],data.25 to 54 years,0.86
2019,data.Saskatchewan,data.Both full- and part-time employees,data.Management occupations [0],data.25 to 54 years,0.91
2020,data.Saskatchewan,data.Both full- and part-time employees,data.Management occupations [0],data.25 to 54 years,0.93
2015,data.Saskatchewan,data.Both full- and part-time employees,data.Management occupations [0],data.55 years and over,1.06
2016,data.Saskatchewan,data.Both full- and part-time employees,data.Management occupations [0],data.55 years and over,0.88
2017,data.Saskatchewan,data.Both full- and part-time employees,data.Management occupations [0],data.55 years and over,0.95
2018,data.Saskatchewan,data.Both full- and part-time employees,data.Management occupations [0],data.55 years and over,0.73
2019,data.Saskatchewan,data.Both full- and part-time employees,data.Management occupations [0],data.55 years and over,0.99
2020,data.Saskatchewan,data.Both full- and part-time employees,data.Management occupations [0],data.55 years and over,0.94
2015,data.Saskatchewan,data.Both full- and part-time employees,data.Business - finance and administration occupations [1],data.15 years and over,0.88
2016,data.Saskatchewan,data.Both full- and part-time employees,data.Business - finance and administration occupations [1],data.15 years and over,0.87
2017,data.Saskatchewan,data.Both full- and part-time employees,data.Business - finance and administration occupations [1],data.15 years and over,0.83
2018,data.Saskatchewan,data.Both full- and part-time employees,data.Business - finance and administration occupations [1],data.15 years and over,0.86
2019,data.Saskatchewan,data.Both full- and part-time employees,data.Business - finance and administration occupations [1],data.15 years and over,0.89
2020,data.Saskatchewan,data.Both full- and part-time employees,data.Business - finance and administration occupations [1],data.15 years and over,0.88
2015,data.Saskatchewan,data.Both full- and part-time employees,data.Business - finance and administration occupations [1],data.15 to 24 years,1.03
2016,data.Saskatchewan,data.Both full- and part-time employees,data.Business - finance and administration occupations [1],data.15 to 24 years,0.87
2017,data.Saskatchewan,data.Both full- and part-time employees,data.Business - finance and administration occupations [1],data.15 to 24 years,0.98
2018,data.Saskatchewan,data.Both full- and part-time employees,data.Business - finance and administration occupations [1],data.15 to 24 years,1.03
2019,data.Saskatchewan,data.Both full- and part-time employees,data.Business - finance and administration occupations [1],data.15 to 24 years,1.0
2020,data.Saskatchewan,data.Both full- and part-time employees,data.Business - finance and administration occupations [1],data.15 to 24 years,1.0
2015,data.Saskatchewan,data.Both full- and part-time employees,data.Business - finance and administration occupations [1],data.25 to 54 years,0.88
2016,data.Saskatchewan,data.Both full- and part-time employees,data.Business - finance and administration occupations [1],data.25 to 54 years,0.89
2017,data.Saskatchewan,data.Both full- and part-time employees,data.Business - finance and administration occupations [1],data.25 to 54 years,0.83
2018,data.Saskatchewan,data.Both full- and part-time employees,data.Business - finance and administration occupations [1],data.25 to 54 years,0.84
2019,data.Saskatchewan,data.Both full- and part-time employees,data.Business - finance and administration occupations [1],data.25 to 54 years,0.87
2020,data.Saskatchewan,data.Both full- and part-time employees,data.Business - finance and administration occupations [1],data.25 to 54 years,0.86
2015,data.Saskatchewan,data.Both full- and part-time employees,data.Business - finance and administration occupations [1],data.55 years and over,0.8
2016,data.Saskatchewan,data.Both full- and part-time employees,data.Business - finance and administration occupations [1],data.55 years and over,0.83
2017,data.Saskatchewan,data.Both full- and part-time employees,data.Business - finance and administration occupations [1],data.55 years and over,0.83
2018,data.Saskatchewan,data.Both full- and part-time employees,data.Business - finance and administration occupations [1],data.55 years and over,0.84
2019,data.Saskatchewan,data.Both full- and part-time employees,data.Business - finance and administration occupations [1],data.55 years and over,0.9
2020,data.Saskatchewan,data.Both full- and part-time employees,data.Business - finance and administration occupations [1],data.55 years and over,0.84
2015,data.Saskatchewan,data.Both full- and part-time employees,data.Natural and applied sciences and related occupations [2],data.15 years and over,0.87
2016,data.Saskatchewan,data.Both full- and part-time employees,data.Natural and applied sciences and related occupations [2],data.15 years and over,0.92
2017,data.Saskatchewan,data.Both full- and part-time employees,data.Natural and applied sciences and related occupations [2],data.15 years and over,0.95
2018,data.Saskatchewan,data.Both full- and part-time employees,data.Natural and applied sciences and related occupations [2],data.15 years and over,0.95
2019,data.Saskatchewan,data.Both full- and part-time employees,data.Natural and applied sciences and related occupations [2],data.15 years and over,0.93
2020,data.Saskatchewan,data.Both full- and part-time employees,data.Natural and applied sciences and related occupations [2],data.15 years and over,0.88
2015,data.Saskatchewan,data.Both full- and part-time employees,data.Natural and applied sciences and related occupations [2],data.15 to 24 years,1.04
2016,data.Saskatchewan,data.Both full- and part-time employees,data.Natural and applied sciences and related occupations [2],data.15 to 24 years,1.09
2017,data.Saskatchewan,data.Both full- and part-time employees,data.Natural and applied sciences and related occupations [2],data.15 to 24 years,0.85
2018,data.Saskatchewan,data.Both full- and part-time employees,data.Natural and applied sciences and related occupations [2],data.15 to 24 years,0.96
2019,data.Saskatchewan,data.Both full- and part-time employees,data.Natural and applied sciences and related occupations [2],data.15 to 24 years,1.0
2020,data.Saskatchewan,data.Both full- and part-time employees,data.Natural and applied sciences and related occupations [2],data.15 to 24 years,
2015,data.Saskatchewan,data.Both full- and part-time employees,data.Natural and applied sciences and related occupations [2],data.25 to 54 years,0.91
2016,data.Saskatchewan,data.Both full- and part-time employees,data.Natural and applied sciences and related occupations [2],data.25 to 54 years,0.94
2017,data.Saskatchewan,data.Both full- and part-time employees,data.Natural and applied sciences and related occupations [2],data.25 to 54 years,0.94
2018,data.Saskatchewan,data.Both full- and part-time employees,data.Natural and applied sciences and related occupations [2],data.25 to 54 years,0.93
2019,data.Saskatchewan,data.Both full- and part-time employees,data.Natural and applied sciences and related occupations [2],data.25 to 54 years,0.95
2020,data.Saskatchewan,data.Both full- and part-time employees,data.Natural and applied sciences and related occupations [2],data.25 to 54 years,0.88
2015,data.Saskatchewan,data.Both full- and part-time employees,data.Natural and applied sciences and related occupations [2],data.55 years and over,0.88
2016,data.Saskatchewan,data.Both full- and part-time employees,data.Natural and applied sciences and related occupations [2],data.55 years and over,0.84
2017,data.Saskatchewan,data.Both full- and part-time employees,data.Natural and applied sciences and related occupations [2],data.55 years and over,1.17
2018,data.Saskatchewan,data.Both full- and part-time employees,data.Natural and applied sciences and related occupations [2],data.55 years and over,0.98
2019,data.Saskatchewan,data.Both full- and part-time employees,data.Natural and applied sciences and related occupations [2],data.55 years and over,1.0
2020,data.Saskatchewan,data.Both full- and part-time employees,data.Natural and applied sciences and related occupations [2],data.55 years and over,0.88
2015,data.Saskatchewan,data.Both full- and part-time employees,data.Health occupations [3],data.15 years and over,0.88
2016,data.Saskatchewan,data.Both full- and part-time employees,data.Health occupations [3],data.15 years and over,0.93
2017,data.Saskatchewan,data.Both full- and part-time employees,data.Health occupations [3],data.15 years and over,0.94
2018,data.Saskatchewan,data.Both full- and part-time employees,data.Health occupations [3],data.15 years and over,0.93
2019,data.Saskatchewan,data.Both full- and part-time employees,data.Health occupations [3],data.15 years and over,1.13
2020,data.Saskatchewan,data.Both full- and part-time employees,data.Health occupations [3],data.15 years and over,1.06
2015,data.Saskatchewan,data.Both full- and part-time employees,data.Health occupations [3],data.15 to 24 years,0.81
2016,data.Saskatchewan,data.Both full- and part-time employees,data.Health occupations [3],data.15 to 24 years,
2017,data.Saskatchewan,data.Both full- and part-time employees,data.Health occupations [3],data.15 to 24 years,
2018,data.Saskatchewan,data.Both full- and part-time employees,data.Health occupations [3],data.15 to 24 years,
2019,data.Saskatchewan,data.Both full- and part-time employees,data.Health occupations [3],data.15 to 24 years,1.27
2020,data.Saskatchewan,data.Both full- and part-time employees,data.Health occupations [3],data.15 to 24 years,1.0
2015,data.Saskatchewan,data.Both full- and part-time employees,data.Health occupations [3],data.25 to 54 years,0.94
2016,data.Saskatchewan,data.Both full- and part-time employees,data.Health occupations [3],data.25 to 54 years,0.96
2017,data.Saskatchewan,data.Both full- and part-time employees,data.Health occupations [3],data.25 to 54 years,0.92
2018,data.Saskatchewan,data.Both full- and part-time employees,data.Health occupations [3],data.25 to 54 years,0.97
2019,data.Saskatchewan,data.Both full- and part-time employees,data.Health occupations [3],data.25 to 54 years,1.03
2020,data.Saskatchewan,data.Both full- and part-time employees,data.Health occupations [3],data.25 to 54 years,0.99
2015,data.Saskatchewan,data.Both full- and part-time employees,data.Health occupations [3],data.55 years and over,0.77
2016,data.Saskatchewan,data.Both full- and part-time employees,data.Health occupations [3],data.55 years and over,0.89
2017,data.Saskatchewan,data.Both full- and part-time employees,data.Health occupations [3],data.55 years and over,1.16
2018,data.Saskatchewan,data.Both full- and part-time employees,data.Health occupations [3],data.55 years and over,0.75
2019,data.Saskatchewan,data.Both full- and part-time employees,data.Health occupations [3],data.55 years and over,0.88
2020,data.Saskatchewan,data.Both full- and part-time employees,data.Health occupations [3],data.55 years and over,1.33
2015,data.Saskatchewan,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],data.15 years and over,0.79
2016,data.Saskatchewan,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],data.15 years and over,0.77
2017,data.Saskatchewan,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],data.15 years and over,0.76
2018,data.Saskatchewan,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],data.15 years and over,0.79
2019,data.Saskatchewan,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],data.15 years and over,0.77
2020,data.Saskatchewan,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],data.15 years and over,0.82
2015,data.Saskatchewan,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],data.15 to 24 years,1.14
2016,data.Saskatchewan,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],data.15 to 24 years,1.01
2017,data.Saskatchewan,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],data.15 to 24 years,0.97
2018,data.Saskatchewan,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],data.15 to 24 years,0.82
2019,data.Saskatchewan,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],data.15 to 24 years,0.91
2020,data.Saskatchewan,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],data.15 to 24 years,1.31
2015,data.Saskatchewan,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],data.25 to 54 years,0.87
2016,data.Saskatchewan,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],data.25 to 54 years,0.78
2017,data.Saskatchewan,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],data.25 to 54 years,0.82
2018,data.Saskatchewan,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],data.25 to 54 years,0.83
2019,data.Saskatchewan,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],data.25 to 54 years,0.8
2020,data.Saskatchewan,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],data.25 to 54 years,0.87
2015,data.Saskatchewan,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],data.55 years and over,0.64
2016,data.Saskatchewan,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],data.55 years and over,0.84
2017,data.Saskatchewan,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],data.55 years and over,0.59
2018,data.Saskatchewan,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],data.55 years and over,0.76
2019,data.Saskatchewan,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],data.55 years and over,0.71
2020,data.Saskatchewan,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],data.55 years and over,0.65
2015,data.Saskatchewan,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],data.15 years and over,1.05
2016,data.Saskatchewan,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],data.15 years and over,0.87
2017,data.Saskatchewan,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],data.15 years and over,0.91
2018,data.Saskatchewan,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],data.15 years and over,0.99
2019,data.Saskatchewan,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],data.15 years and over,0.95
2020,data.Saskatchewan,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],data.15 years and over,0.74
2015,data.Saskatchewan,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],data.15 to 24 years,1.14
2016,data.Saskatchewan,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],data.15 to 24 years,0.94
2017,data.Saskatchewan,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],data.15 to 24 years,0.93
2018,data.Saskatchewan,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],data.15 to 24 years,0.93
2019,data.Saskatchewan,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],data.15 to 24 years,1.09
2020,data.Saskatchewan,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],data.15 to 24 years,
2015,data.Saskatchewan,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],data.25 to 54 years,1.25
2016,data.Saskatchewan,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],data.25 to 54 years,0.76
2017,data.Saskatchewan,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],data.25 to 54 years,1.03
2018,data.Saskatchewan,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],data.25 to 54 years,0.99
2019,data.Saskatchewan,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],data.25 to 54 years,0.8
2020,data.Saskatchewan,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],data.25 to 54 years,0.77
2015,data.Saskatchewan,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],data.55 years and over,
2016,data.Saskatchewan,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],data.55 years and over,
2017,data.Saskatchewan,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],data.55 years and over,1.0
2018,data.Saskatchewan,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],data.55 years and over,
2019,data.Saskatchewan,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],data.55 years and over,
2020,data.Saskatchewan,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],data.55 years and over,
2015,data.Saskatchewan,data.Both full- and part-time employees,data.Sales and service occupations [6],data.15 years and over,0.92
2016,data.Saskatchewan,data.Both full- and part-time employees,data.Sales and service occupations [6],data.15 years and over,0.88
2017,data.Saskatchewan,data.Both full- and part-time employees,data.Sales and service occupations [6],data.15 years and over,0.9
2018,data.Saskatchewan,data.Both full- and part-time employees,data.Sales and service occupations [6],data.15 years and over,0.9
2019,data.Saskatchewan,data.Both full- and part-time employees,data.Sales and service occupations [6],data.15 years and over,0.91
2020,data.Saskatchewan,data.Both full- and part-time employees,data.Sales and service occupations [6],data.15 years and over,0.94
2015,data.Saskatchewan,data.Both full- and part-time employees,data.Sales and service occupations [6],data.15 to 24 years,1.0
2016,data.Saskatchewan,data.Both full- and part-time employees,data.Sales and service occupations [6],data.15 to 24 years,0.98
2017,data.Saskatchewan,data.Both full- and part-time employees,data.Sales and service occupations [6],data.15 to 24 years,1.0
2018,data.Saskatchewan,data.Both full- and part-time employees,data.Sales and service occupations [6],data.15 to 24 years,1.0
2019,data.Saskatchewan,data.Both full- and part-time employees,data.Sales and service occupations [6],data.15 to 24 years,0.98
2020,data.Saskatchewan,data.Both full- and part-time employees,data.Sales and service occupations [6],data.15 to 24 years,0.96
2015,data.Saskatchewan,data.Both full- and part-time employees,data.Sales and service occupations [6],data.25 to 54 years,0.8
2016,data.Saskatchewan,data.Both full- and part-time employees,data.Sales and service occupations [6],data.25 to 54 years,0.8
2017,data.Saskatchewan,data.Both full- and part-time employees,data.Sales and service occupations [6],data.25 to 54 years,0.84
2018,data.Saskatchewan,data.Both full- and part-time employees,data.Sales and service occupations [6],data.25 to 54 years,0.84
2019,data.Saskatchewan,data.Both full- and part-time employees,data.Sales and service occupations [6],data.25 to 54 years,0.85
2020,data.Saskatchewan,data.Both full- and part-time employees,data.Sales and service occupations [6],data.25 to 54 years,0.89
2015,data.Saskatchewan,data.Both full- and part-time employees,data.Sales and service occupations [6],data.55 years and over,0.8
2016,data.Saskatchewan,data.Both full- and part-time employees,data.Sales and service occupations [6],data.55 years and over,0.75
2017,data.Saskatchewan,data.Both full- and part-time employees,data.Sales and service occupations [6],data.55 years and over,0.8
2018,data.Saskatchewan,data.Both full- and part-time employees,data.Sales and service occupations [6],data.55 years and over,0.8
2019,data.Saskatchewan,data.Both full- and part-time employees,data.Sales and service occupations [6],data.55 years and over,0.82
2020,data.Saskatchewan,data.Both full- and part-time employees,data.Sales and service occupations [6],data.55 years and over,0.89
2015,data.Saskatchewan,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.15 years and over,0.78
2016,data.Saskatchewan,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.15 years and over,0.74
2017,data.Saskatchewan,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.15 years and over,0.73
2018,data.Saskatchewan,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.15 years and over,0.71
2019,data.Saskatchewan,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.15 years and over,0.73
2020,data.Saskatchewan,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.15 years and over,0.84
2015,data.Saskatchewan,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.15 to 24 years,0.75
2016,data.Saskatchewan,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.15 to 24 years,0.9
2017,data.Saskatchewan,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.15 to 24 years,0.95
2018,data.Saskatchewan,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.15 to 24 years,0.9
2019,data.Saskatchewan,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.15 to 24 years,0.86
2020,data.Saskatchewan,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.15 to 24 years,0.95
2015,data.Saskatchewan,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.25 to 54 years,0.76
2016,data.Saskatchewan,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.25 to 54 years,0.76
2017,data.Saskatchewan,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.25 to 54 years,0.7
2018,data.Saskatchewan,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.25 to 54 years,0.73
2019,data.Saskatchewan,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.25 to 54 years,0.64
2020,data.Saskatchewan,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.25 to 54 years,0.83
2015,data.Saskatchewan,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.55 years and over,0.64
2016,data.Saskatchewan,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.55 years and over,0.67
2017,data.Saskatchewan,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.55 years and over,0.68
2018,data.Saskatchewan,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.55 years and over,0.75
2019,data.Saskatchewan,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.55 years and over,0.79
2020,data.Saskatchewan,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.55 years and over,0.91
2015,data.Saskatchewan,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],data.15 years and over,0.62
2016,data.Saskatchewan,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],data.15 years and over,0.64
2017,data.Saskatchewan,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],data.15 years and over,0.65
2018,data.Saskatchewan,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],data.15 years and over,0.67
2019,data.Saskatchewan,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],data.15 years and over,0.67
2020,data.Saskatchewan,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],data.15 years and over,0.69
2015,data.Saskatchewan,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],data.15 to 24 years,0.88
2016,data.Saskatchewan,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],data.15 to 24 years,0.83
2017,data.Saskatchewan,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],data.15 to 24 years,0.93
2018,data.Saskatchewan,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],data.15 to 24 years,0.75
2019,data.Saskatchewan,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],data.15 to 24 years,0.8
2020,data.Saskatchewan,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],data.15 to 24 years,0.85
2015,data.Saskatchewan,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],data.25 to 54 years,0.62
2016,data.Saskatchewan,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],data.25 to 54 years,0.67
2017,data.Saskatchewan,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],data.25 to 54 years,0.64
2018,data.Saskatchewan,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],data.25 to 54 years,0.78
2019,data.Saskatchewan,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],data.25 to 54 years,0.59
2020,data.Saskatchewan,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],data.25 to 54 years,0.64
2015,data.Saskatchewan,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],data.55 years and over,
2016,data.Saskatchewan,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],data.55 years and over,
2017,data.Saskatchewan,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],data.55 years and over,0.73
2018,data.Saskatchewan,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],data.55 years and over,0.67
2019,data.Saskatchewan,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],data.55 years and over,
2020,data.Saskatchewan,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],data.55 years and over,
