Year,Units,Geography,Offences,Age,Sex,Value
2018/2019,Youth courts,New Brunswick,Administration of justice,Other ages,Sex unknown,0.0
2014/2015,Youth courts,New Brunswick,Administration of justice,Age not applicable,Total,0.0
2015/2016,Youth courts,New Brunswick,Administration of justice,Age not applicable,Total,0.0
2016/2017,Youth courts,New Brunswick,Administration of justice,Age not applicable,Total,0.0
2017/2018,Youth courts,New Brunswick,Administration of justice,Age not applicable,Total,0.0
2018/2019,Youth courts,New Brunswick,Administration of justice,Age not applicable,Total,0.0
2014/2015,Youth courts,New Brunswick,Administration of justice,Age not applicable,Company,0.0
2015/2016,Youth courts,New Brunswick,Administration of justice,Age not applicable,Company,0.0
2016/2017,Youth courts,New Brunswick,Administration of justice,Age not applicable,Company,0.0
2017/2018,Youth courts,New Brunswick,Administration of justice,Age not applicable,Company,0.0
2018/2019,Youth courts,New Brunswick,Administration of justice,Age not applicable,Company,0.0
2014/2015,Youth courts,Quebec,Total offences,Total,Total,145.0
2015/2016,Youth courts,Quebec,Total offences,Total,Total,146.0
2016/2017,Youth courts,Quebec,Total offences,Total,Total,155.0
2017/2018,Youth courts,Quebec,Total offences,Total,Total,155.0
2018/2019,Youth courts,Quebec,Total offences,Total,Total,155.0
2014/2015,Youth courts,Quebec,Total offences,Total,Males,141.0
2015/2016,Youth courts,Quebec,Total offences,Total,Males,142.0
2016/2017,Youth courts,Quebec,Total offences,Total,Males,151.0
2017/2018,Youth courts,Quebec,Total offences,Total,Males,154.0
2018/2019,Youth courts,Quebec,Total offences,Total,Males,155.0
2014/2015,Youth courts,Quebec,Total offences,Total,Females,155.0
2015/2016,Youth courts,Quebec,Total offences,Total,Females,151.0
2016/2017,Youth courts,Quebec,Total offences,Total,Females,169.0
2017/2018,Youth courts,Quebec,Total offences,Total,Females,162.0
2018/2019,Youth courts,Quebec,Total offences,Total,Females,161.0
2014/2015,Youth courts,Quebec,Total offences,Total,Company,0.0
2015/2016,Youth courts,Quebec,Total offences,Total,Company,0.0
2016/2017,Youth courts,Quebec,Total offences,Total,Company,0.0
2017/2018,Youth courts,Quebec,Total offences,Total,Company,0.0
2018/2019,Youth courts,Quebec,Total offences,Total,Company,0.0
2014/2015,Youth courts,Quebec,Total offences,Total,Sex unknown,0.0
2015/2016,Youth courts,Quebec,Total offences,Total,Sex unknown,0.0
2016/2017,Youth courts,Quebec,Total offences,Total,Sex unknown,1.0
2017/2018,Youth courts,Quebec,Total offences,Total,Sex unknown,0.0
2018/2019,Youth courts,Quebec,Total offences,Total,Sex unknown,147.0
2014/2015,Youth courts,Quebec,Total offences,12 to 15 years,Total,162.0
2015/2016,Youth courts,Quebec,Total offences,12 to 15 years,Total,163.0
2016/2017,Youth courts,Quebec,Total offences,12 to 15 years,Total,169.0
2017/2018,Youth courts,Quebec,Total offences,12 to 15 years,Total,169.0
2018/2019,Youth courts,Quebec,Total offences,12 to 15 years,Total,175.0
2014/2015,Youth courts,Quebec,Total offences,12 to 15 years,Males,162.0
2015/2016,Youth courts,Quebec,Total offences,12 to 15 years,Males,164.0
2016/2017,Youth courts,Quebec,Total offences,12 to 15 years,Males,167.0
2017/2018,Youth courts,Quebec,Total offences,12 to 15 years,Males,168.0
2018/2019,Youth courts,Quebec,Total offences,12 to 15 years,Males,174.0
2014/2015,Youth courts,Quebec,Total offences,12 to 15 years,Females,169.0
2015/2016,Youth courts,Quebec,Total offences,12 to 15 years,Females,163.0
2016/2017,Youth courts,Quebec,Total offences,12 to 15 years,Females,173.0
2017/2018,Youth courts,Quebec,Total offences,12 to 15 years,Females,175.0
2018/2019,Youth courts,Quebec,Total offences,12 to 15 years,Females,176.0
2014/2015,Youth courts,Quebec,Total offences,12 to 15 years,Sex unknown,0.0
2015/2016,Youth courts,Quebec,Total offences,12 to 15 years,Sex unknown,0.0
2016/2017,Youth courts,Quebec,Total offences,12 to 15 years,Sex unknown,0.0
2017/2018,Youth courts,Quebec,Total offences,12 to 15 years,Sex unknown,0.0
2018/2019,Youth courts,Quebec,Total offences,12 to 15 years,Sex unknown,160.0
2014/2015,Youth courts,Quebec,Total offences,16 and 17 years,Total,127.0
2015/2016,Youth courts,Quebec,Total offences,16 and 17 years,Total,127.0
2016/2017,Youth courts,Quebec,Total offences,16 and 17 years,Total,141.0
2017/2018,Youth courts,Quebec,Total offences,16 and 17 years,Total,137.0
2018/2019,Youth courts,Quebec,Total offences,16 and 17 years,Total,136.0
2014/2015,Youth courts,Quebec,Total offences,16 and 17 years,Males,125.0
2015/2016,Youth courts,Quebec,Total offences,16 and 17 years,Males,127.0
2016/2017,Youth courts,Quebec,Total offences,16 and 17 years,Males,135.0
2017/2018,Youth courts,Quebec,Total offences,16 and 17 years,Males,134.0
2018/2019,Youth courts,Quebec,Total offences,16 and 17 years,Males,134.0
2014/2015,Youth courts,Quebec,Total offences,16 and 17 years,Females,141.0
2015/2016,Youth courts,Quebec,Total offences,16 and 17 years,Females,135.0
2016/2017,Youth courts,Quebec,Total offences,16 and 17 years,Females,167.0
2017/2018,Youth courts,Quebec,Total offences,16 and 17 years,Females,152.0
2018/2019,Youth courts,Quebec,Total offences,16 and 17 years,Females,148.0
2014/2015,Youth courts,Quebec,Total offences,16 and 17 years,Sex unknown,0.0
2015/2016,Youth courts,Quebec,Total offences,16 and 17 years,Sex unknown,0.0
2016/2017,Youth courts,Quebec,Total offences,16 and 17 years,Sex unknown,1.0
2017/2018,Youth courts,Quebec,Total offences,16 and 17 years,Sex unknown,0.0
2018/2019,Youth courts,Quebec,Total offences,16 and 17 years,Sex unknown,89.0
2014/2015,Youth courts,Quebec,Total offences,Other ages,Total,148.0
2015/2016,Youth courts,Quebec,Total offences,Other ages,Total,65.0
2016/2017,Youth courts,Quebec,Total offences,Other ages,Total,143.0
2017/2018,Youth courts,Quebec,Total offences,Other ages,Total,135.0
2018/2019,Youth courts,Quebec,Total offences,Other ages,Total,120.0
2014/2015,Youth courts,Quebec,Total offences,Other ages,Males,148.0
2015/2016,Youth courts,Quebec,Total offences,Other ages,Males,65.0
2016/2017,Youth courts,Quebec,Total offences,Other ages,Males,143.0
2017/2018,Youth courts,Quebec,Total offences,Other ages,Males,135.0
2018/2019,Youth courts,Quebec,Total offences,Other ages,Males,188.0
2014/2015,Youth courts,Quebec,Total offences,Other ages,Females,234.0
2015/2016,Youth courts,Quebec,Total offences,Other ages,Females,0.0
2016/2017,Youth courts,Quebec,Total offences,Other ages,Females,103.0
2017/2018,Youth courts,Quebec,Total offences,Other ages,Females,0.0
2018/2019,Youth courts,Quebec,Total offences,Other ages,Females,75.0
2014/2015,Youth courts,Quebec,Total offences,Other ages,Sex unknown,0.0
2015/2016,Youth courts,Quebec,Total offences,Other ages,Sex unknown,0.0
2016/2017,Youth courts,Quebec,Total offences,Other ages,Sex unknown,0.0
2017/2018,Youth courts,Quebec,Total offences,Other ages,Sex unknown,0.0
2018/2019,Youth courts,Quebec,Total offences,Other ages,Sex unknown,0.0
2014/2015,Youth courts,Quebec,Total offences,Age not applicable,Total,0.0
2015/2016,Youth courts,Quebec,Total offences,Age not applicable,Total,0.0
2016/2017,Youth courts,Quebec,Total offences,Age not applicable,Total,0.0
2017/2018,Youth courts,Quebec,Total offences,Age not applicable,Total,0.0
2018/2019,Youth courts,Quebec,Total offences,Age not applicable,Total,0.0
2014/2015,Youth courts,Quebec,Total offences,Age not applicable,Company,0.0
2015/2016,Youth courts,Quebec,Total offences,Age not applicable,Company,0.0
2016/2017,Youth courts,Quebec,Total offences,Age not applicable,Company,0.0
2017/2018,Youth courts,Quebec,Total offences,Age not applicable,Company,0.0
2018/2019,Youth courts,Quebec,Total offences,Age not applicable,Company,0.0
2014/2015,Youth courts,Quebec,Total Criminal Code,Total,Total,159.0
2015/2016,Youth courts,Quebec,Total Criminal Code,Total,Total,158.0
2016/2017,Youth courts,Quebec,Total Criminal Code,Total,Total,169.0
2017/2018,Youth courts,Quebec,Total Criminal Code,Total,Total,168.0
2018/2019,Youth courts,Quebec,Total Criminal Code,Total,Total,167.0
2014/2015,Youth courts,Quebec,Total Criminal Code,Total,Males,155.0
2015/2016,Youth courts,Quebec,Total Criminal Code,Total,Males,158.0
2016/2017,Youth courts,Quebec,Total Criminal Code,Total,Males,165.0
2017/2018,Youth courts,Quebec,Total Criminal Code,Total,Males,165.0
2018/2019,Youth courts,Quebec,Total Criminal Code,Total,Males,165.0
2014/2015,Youth courts,Quebec,Total Criminal Code,Total,Females,169.0
2015/2016,Youth courts,Quebec,Total Criminal Code,Total,Females,158.0
2016/2017,Youth courts,Quebec,Total Criminal Code,Total,Females,176.0
2017/2018,Youth courts,Quebec,Total Criminal Code,Total,Females,175.0
2018/2019,Youth courts,Quebec,Total Criminal Code,Total,Females,169.0
2014/2015,Youth courts,Quebec,Total Criminal Code,Total,Company,0.0
2015/2016,Youth courts,Quebec,Total Criminal Code,Total,Company,0.0
2016/2017,Youth courts,Quebec,Total Criminal Code,Total,Company,0.0
2017/2018,Youth courts,Quebec,Total Criminal Code,Total,Company,0.0
2018/2019,Youth courts,Quebec,Total Criminal Code,Total,Company,0.0
2014/2015,Youth courts,Quebec,Total Criminal Code,Total,Sex unknown,0.0
2015/2016,Youth courts,Quebec,Total Criminal Code,Total,Sex unknown,0.0
2016/2017,Youth courts,Quebec,Total Criminal Code,Total,Sex unknown,1.0
2017/2018,Youth courts,Quebec,Total Criminal Code,Total,Sex unknown,0.0
2018/2019,Youth courts,Quebec,Total Criminal Code,Total,Sex unknown,162.0
2014/2015,Youth courts,Quebec,Total Criminal Code,12 to 15 years,Total,177.0
2015/2016,Youth courts,Quebec,Total Criminal Code,12 to 15 years,Total,175.0
2016/2017,Youth courts,Quebec,Total Criminal Code,12 to 15 years,Total,176.0
2017/2018,Youth courts,Quebec,Total Criminal Code,12 to 15 years,Total,178.0
2018/2019,Youth courts,Quebec,Total Criminal Code,12 to 15 years,Total,180.0
2014/2015,Youth courts,Quebec,Total Criminal Code,12 to 15 years,Males,176.0
2015/2016,Youth courts,Quebec,Total Criminal Code,12 to 15 years,Males,176.0
2016/2017,Youth courts,Quebec,Total Criminal Code,12 to 15 years,Males,177.0
2017/2018,Youth courts,Quebec,Total Criminal Code,12 to 15 years,Males,176.0
2018/2019,Youth courts,Quebec,Total Criminal Code,12 to 15 years,Males,177.0
2014/2015,Youth courts,Quebec,Total Criminal Code,12 to 15 years,Females,179.0
2015/2016,Youth courts,Quebec,Total Criminal Code,12 to 15 years,Females,169.0
2016/2017,Youth courts,Quebec,Total Criminal Code,12 to 15 years,Females,176.0
2017/2018,Youth courts,Quebec,Total Criminal Code,12 to 15 years,Females,183.0
2018/2019,Youth courts,Quebec,Total Criminal Code,12 to 15 years,Females,183.0
2014/2015,Youth courts,Quebec,Total Criminal Code,12 to 15 years,Sex unknown,0.0
2015/2016,Youth courts,Quebec,Total Criminal Code,12 to 15 years,Sex unknown,0.0
2016/2017,Youth courts,Quebec,Total Criminal Code,12 to 15 years,Sex unknown,0.0
2017/2018,Youth courts,Quebec,Total Criminal Code,12 to 15 years,Sex unknown,0.0
2018/2019,Youth courts,Quebec,Total Criminal Code,12 to 15 years,Sex unknown,175.0
2014/2015,Youth courts,Quebec,Total Criminal Code,16 and 17 years,Total,143.0
2015/2016,Youth courts,Quebec,Total Criminal Code,16 and 17 years,Total,145.0
2016/2017,Youth courts,Quebec,Total Criminal Code,16 and 17 years,Total,156.0
2017/2018,Youth courts,Quebec,Total Criminal Code,16 and 17 years,Total,155.0
2018/2019,Youth courts,Quebec,Total Criminal Code,16 and 17 years,Total,149.0
2014/2015,Youth courts,Quebec,Total Criminal Code,16 and 17 years,Males,140.0
2015/2016,Youth courts,Quebec,Total Criminal Code,16 and 17 years,Males,143.0
2016/2017,Youth courts,Quebec,Total Criminal Code,16 and 17 years,Males,153.0
2017/2018,Youth courts,Quebec,Total Criminal Code,16 and 17 years,Males,155.0
2018/2019,Youth courts,Quebec,Total Criminal Code,16 and 17 years,Males,149.0
2014/2015,Youth courts,Quebec,Total Criminal Code,16 and 17 years,Females,159.0
2015/2016,Youth courts,Quebec,Total Criminal Code,16 and 17 years,Females,148.0
2016/2017,Youth courts,Quebec,Total Criminal Code,16 and 17 years,Females,175.0
2017/2018,Youth courts,Quebec,Total Criminal Code,16 and 17 years,Females,162.0
2018/2019,Youth courts,Quebec,Total Criminal Code,16 and 17 years,Females,149.0
2014/2015,Youth courts,Quebec,Total Criminal Code,16 and 17 years,Sex unknown,0.0
2015/2016,Youth courts,Quebec,Total Criminal Code,16 and 17 years,Sex unknown,0.0
2016/2017,Youth courts,Quebec,Total Criminal Code,16 and 17 years,Sex unknown,1.0
2017/2018,Youth courts,Quebec,Total Criminal Code,16 and 17 years,Sex unknown,0.0
2018/2019,Youth courts,Quebec,Total Criminal Code,16 and 17 years,Sex unknown,148.0
2014/2015,Youth courts,Quebec,Total Criminal Code,Other ages,Total,170.0
2015/2016,Youth courts,Quebec,Total Criminal Code,Other ages,Total,166.0
2016/2017,Youth courts,Quebec,Total Criminal Code,Other ages,Total,212.0
2017/2018,Youth courts,Quebec,Total Criminal Code,Other ages,Total,179.0
2018/2019,Youth courts,Quebec,Total Criminal Code,Other ages,Total,154.0
2014/2015,Youth courts,Quebec,Total Criminal Code,Other ages,Males,170.0
2015/2016,Youth courts,Quebec,Total Criminal Code,Other ages,Males,166.0
2016/2017,Youth courts,Quebec,Total Criminal Code,Other ages,Males,212.0
2017/2018,Youth courts,Quebec,Total Criminal Code,Other ages,Males,179.0
2018/2019,Youth courts,Quebec,Total Criminal Code,Other ages,Males,188.0
2014/2015,Youth courts,Quebec,Total Criminal Code,Other ages,Females,0.0
2015/2016,Youth courts,Quebec,Total Criminal Code,Other ages,Females,0.0
2016/2017,Youth courts,Quebec,Total Criminal Code,Other ages,Females,0.0
2017/2018,Youth courts,Quebec,Total Criminal Code,Other ages,Females,0.0
2018/2019,Youth courts,Quebec,Total Criminal Code,Other ages,Females,120.0
2014/2015,Youth courts,Quebec,Total Criminal Code,Other ages,Sex unknown,0.0
2015/2016,Youth courts,Quebec,Total Criminal Code,Other ages,Sex unknown,0.0
2016/2017,Youth courts,Quebec,Total Criminal Code,Other ages,Sex unknown,0.0
2017/2018,Youth courts,Quebec,Total Criminal Code,Other ages,Sex unknown,0.0
2018/2019,Youth courts,Quebec,Total Criminal Code,Other ages,Sex unknown,0.0
2014/2015,Youth courts,Quebec,Total Criminal Code,Age not applicable,Total,0.0
2015/2016,Youth courts,Quebec,Total Criminal Code,Age not applicable,Total,0.0
2016/2017,Youth courts,Quebec,Total Criminal Code,Age not applicable,Total,0.0
2017/2018,Youth courts,Quebec,Total Criminal Code,Age not applicable,Total,0.0
2018/2019,Youth courts,Quebec,Total Criminal Code,Age not applicable,Total,0.0
2014/2015,Youth courts,Quebec,Total Criminal Code,Age not applicable,Company,0.0
2015/2016,Youth courts,Quebec,Total Criminal Code,Age not applicable,Company,0.0
2016/2017,Youth courts,Quebec,Total Criminal Code,Age not applicable,Company,0.0
2017/2018,Youth courts,Quebec,Total Criminal Code,Age not applicable,Company,0.0
2018/2019,Youth courts,Quebec,Total Criminal Code,Age not applicable,Company,0.0
2014/2015,Youth courts,Quebec,Crimes against the person,Total,Total,170.0
2015/2016,Youth courts,Quebec,Crimes against the person,Total,Total,176.0
2016/2017,Youth courts,Quebec,Crimes against the person,Total,Total,182.0
2017/2018,Youth courts,Quebec,Crimes against the person,Total,Total,178.0
2018/2019,Youth courts,Quebec,Crimes against the person,Total,Total,174.0
2014/2015,Youth courts,Quebec,Crimes against the person,Total,Males,169.0
2015/2016,Youth courts,Quebec,Crimes against the person,Total,Males,177.0
2016/2017,Youth courts,Quebec,Crimes against the person,Total,Males,182.0
2017/2018,Youth courts,Quebec,Crimes against the person,Total,Males,176.0
2018/2019,Youth courts,Quebec,Crimes against the person,Total,Males,175.0
2014/2015,Youth courts,Quebec,Crimes against the person,Total,Females,173.0
2015/2016,Youth courts,Quebec,Crimes against the person,Total,Females,172.0
2016/2017,Youth courts,Quebec,Crimes against the person,Total,Females,182.0
2017/2018,Youth courts,Quebec,Crimes against the person,Total,Females,186.0
2018/2019,Youth courts,Quebec,Crimes against the person,Total,Females,173.0
2014/2015,Youth courts,Quebec,Crimes against the person,Total,Company,0.0
2015/2016,Youth courts,Quebec,Crimes against the person,Total,Company,0.0
2016/2017,Youth courts,Quebec,Crimes against the person,Total,Company,0.0
2017/2018,Youth courts,Quebec,Crimes against the person,Total,Company,0.0
2018/2019,Youth courts,Quebec,Crimes against the person,Total,Company,0.0
2014/2015,Youth courts,Quebec,Crimes against the person,Total,Sex unknown,0.0
2015/2016,Youth courts,Quebec,Crimes against the person,Total,Sex unknown,0.0
2016/2017,Youth courts,Quebec,Crimes against the person,Total,Sex unknown,1.0
2017/2018,Youth courts,Quebec,Crimes against the person,Total,Sex unknown,0.0
2018/2019,Youth courts,Quebec,Crimes against the person,Total,Sex unknown,175.0
2014/2015,Youth courts,Quebec,Crimes against the person,12 to 15 years,Total,183.0
2015/2016,Youth courts,Quebec,Crimes against the person,12 to 15 years,Total,184.0
2016/2017,Youth courts,Quebec,Crimes against the person,12 to 15 years,Total,189.0
2017/2018,Youth courts,Quebec,Crimes against the person,12 to 15 years,Total,183.0
2018/2019,Youth courts,Quebec,Crimes against the person,12 to 15 years,Total,183.0
2014/2015,Youth courts,Quebec,Crimes against the person,12 to 15 years,Males,188.0
2015/2016,Youth courts,Quebec,Crimes against the person,12 to 15 years,Males,185.0
2016/2017,Youth courts,Quebec,Crimes against the person,12 to 15 years,Males,190.0
2017/2018,Youth courts,Quebec,Crimes against the person,12 to 15 years,Males,183.0
2018/2019,Youth courts,Quebec,Crimes against the person,12 to 15 years,Males,183.0
2014/2015,Youth courts,Quebec,Crimes against the person,12 to 15 years,Females,177.0
2015/2016,Youth courts,Quebec,Crimes against the person,12 to 15 years,Females,183.0
2016/2017,Youth courts,Quebec,Crimes against the person,12 to 15 years,Females,183.0
2017/2018,Youth courts,Quebec,Crimes against the person,12 to 15 years,Females,190.0
2018/2019,Youth courts,Quebec,Crimes against the person,12 to 15 years,Females,190.0
2014/2015,Youth courts,Quebec,Crimes against the person,12 to 15 years,Sex unknown,0.0
2015/2016,Youth courts,Quebec,Crimes against the person,12 to 15 years,Sex unknown,0.0
2016/2017,Youth courts,Quebec,Crimes against the person,12 to 15 years,Sex unknown,0.0
2017/2018,Youth courts,Quebec,Crimes against the person,12 to 15 years,Sex unknown,0.0
2018/2019,Youth courts,Quebec,Crimes against the person,12 to 15 years,Sex unknown,175.0
2014/2015,Youth courts,Quebec,Crimes against the person,16 and 17 years,Total,155.0
2015/2016,Youth courts,Quebec,Crimes against the person,16 and 17 years,Total,162.0
2016/2017,Youth courts,Quebec,Crimes against the person,16 and 17 years,Total,169.0
2017/2018,Youth courts,Quebec,Crimes against the person,16 and 17 years,Total,166.0
2018/2019,Youth courts,Quebec,Crimes against the person,16 and 17 years,Total,156.0
2014/2015,Youth courts,Quebec,Crimes against the person,16 and 17 years,Males,153.0
2015/2016,Youth courts,Quebec,Crimes against the person,16 and 17 years,Males,164.0
2016/2017,Youth courts,Quebec,Crimes against the person,16 and 17 years,Males,168.0
2017/2018,Youth courts,Quebec,Crimes against the person,16 and 17 years,Males,164.0
2018/2019,Youth courts,Quebec,Crimes against the person,16 and 17 years,Males,157.0
2014/2015,Youth courts,Quebec,Crimes against the person,16 and 17 years,Females,166.0
2015/2016,Youth courts,Quebec,Crimes against the person,16 and 17 years,Females,155.0
2016/2017,Youth courts,Quebec,Crimes against the person,16 and 17 years,Females,176.0
2017/2018,Youth courts,Quebec,Crimes against the person,16 and 17 years,Females,181.0
2018/2019,Youth courts,Quebec,Crimes against the person,16 and 17 years,Females,148.0
2014/2015,Youth courts,Quebec,Crimes against the person,16 and 17 years,Sex unknown,0.0
2015/2016,Youth courts,Quebec,Crimes against the person,16 and 17 years,Sex unknown,0.0
2016/2017,Youth courts,Quebec,Crimes against the person,16 and 17 years,Sex unknown,1.0
2017/2018,Youth courts,Quebec,Crimes against the person,16 and 17 years,Sex unknown,0.0
2018/2019,Youth courts,Quebec,Crimes against the person,16 and 17 years,Sex unknown,0.0
2014/2015,Youth courts,Quebec,Crimes against the person,Other ages,Total,349.0
2015/2016,Youth courts,Quebec,Crimes against the person,Other ages,Total,177.0
2016/2017,Youth courts,Quebec,Crimes against the person,Other ages,Total,218.0
2017/2018,Youth courts,Quebec,Crimes against the person,Other ages,Total,1254.0
2018/2019,Youth courts,Quebec,Crimes against the person,Other ages,Total,188.0
2014/2015,Youth courts,Quebec,Crimes against the person,Other ages,Males,349.0
2015/2016,Youth courts,Quebec,Crimes against the person,Other ages,Males,177.0
2016/2017,Youth courts,Quebec,Crimes against the person,Other ages,Males,218.0
2017/2018,Youth courts,Quebec,Crimes against the person,Other ages,Males,1254.0
2018/2019,Youth courts,Quebec,Crimes against the person,Other ages,Males,188.0
2014/2015,Youth courts,Quebec,Crimes against the person,Other ages,Females,0.0
2015/2016,Youth courts,Quebec,Crimes against the person,Other ages,Females,0.0
2016/2017,Youth courts,Quebec,Crimes against the person,Other ages,Females,0.0
2017/2018,Youth courts,Quebec,Crimes against the person,Other ages,Females,0.0
2018/2019,Youth courts,Quebec,Crimes against the person,Other ages,Females,0.0
2014/2015,Youth courts,Quebec,Crimes against the person,Other ages,Sex unknown,0.0
2015/2016,Youth courts,Quebec,Crimes against the person,Other ages,Sex unknown,0.0
2016/2017,Youth courts,Quebec,Crimes against the person,Other ages,Sex unknown,0.0
2017/2018,Youth courts,Quebec,Crimes against the person,Other ages,Sex unknown,0.0
2018/2019,Youth courts,Quebec,Crimes against the person,Other ages,Sex unknown,0.0
2014/2015,Youth courts,Quebec,Crimes against the person,Age not applicable,Total,0.0
2015/2016,Youth courts,Quebec,Crimes against the person,Age not applicable,Total,0.0
2016/2017,Youth courts,Quebec,Crimes against the person,Age not applicable,Total,0.0
2017/2018,Youth courts,Quebec,Crimes against the person,Age not applicable,Total,0.0
2018/2019,Youth courts,Quebec,Crimes against the person,Age not applicable,Total,0.0
2014/2015,Youth courts,Quebec,Crimes against the person,Age not applicable,Company,0.0
2015/2016,Youth courts,Quebec,Crimes against the person,Age not applicable,Company,0.0
2016/2017,Youth courts,Quebec,Crimes against the person,Age not applicable,Company,0.0
2017/2018,Youth courts,Quebec,Crimes against the person,Age not applicable,Company,0.0
2018/2019,Youth courts,Quebec,Crimes against the person,Age not applicable,Company,0.0
2014/2015,Youth courts,Quebec,Crimes against property,Total,Total,148.0
2015/2016,Youth courts,Quebec,Crimes against property,Total,Total,141.0
2016/2017,Youth courts,Quebec,Crimes against property,Total,Total,155.0
2017/2018,Youth courts,Quebec,Crimes against property,Total,Total,155.0
2018/2019,Youth courts,Quebec,Crimes against property,Total,Total,155.0
2014/2015,Youth courts,Quebec,Crimes against property,Total,Males,145.0
2015/2016,Youth courts,Quebec,Crimes against property,Total,Males,137.0
2016/2017,Youth courts,Quebec,Crimes against property,Total,Males,148.0
2017/2018,Youth courts,Quebec,Crimes against property,Total,Males,155.0
2018/2019,Youth courts,Quebec,Crimes against property,Total,Males,155.0
2014/2015,Youth courts,Quebec,Crimes against property,Total,Females,163.0
2015/2016,Youth courts,Quebec,Crimes against property,Total,Females,157.0
2016/2017,Youth courts,Quebec,Crimes against property,Total,Females,162.0
2017/2018,Youth courts,Quebec,Crimes against property,Total,Females,150.0
2018/2019,Youth courts,Quebec,Crimes against property,Total,Females,156.0
2014/2015,Youth courts,Quebec,Crimes against property,Total,Company,0.0
2015/2016,Youth courts,Quebec,Crimes against property,Total,Company,0.0
2016/2017,Youth courts,Quebec,Crimes against property,Total,Company,0.0
2017/2018,Youth courts,Quebec,Crimes against property,Total,Company,0.0
2018/2019,Youth courts,Quebec,Crimes against property,Total,Company,0.0
2014/2015,Youth courts,Quebec,Crimes against property,Total,Sex unknown,0.0
2015/2016,Youth courts,Quebec,Crimes against property,Total,Sex unknown,0.0
2016/2017,Youth courts,Quebec,Crimes against property,Total,Sex unknown,0.0
2017/2018,Youth courts,Quebec,Crimes against property,Total,Sex unknown,0.0
2018/2019,Youth courts,Quebec,Crimes against property,Total,Sex unknown,118.0
2014/2015,Youth courts,Quebec,Crimes against property,12 to 15 years,Total,155.0
2015/2016,Youth courts,Quebec,Crimes against property,12 to 15 years,Total,154.0
2016/2017,Youth courts,Quebec,Crimes against property,12 to 15 years,Total,155.0
2017/2018,Youth courts,Quebec,Crimes against property,12 to 15 years,Total,162.0
2018/2019,Youth courts,Quebec,Crimes against property,12 to 15 years,Total,177.0
2014/2015,Youth courts,Quebec,Crimes against property,12 to 15 years,Males,155.0
2015/2016,Youth courts,Quebec,Crimes against property,12 to 15 years,Males,148.0
2016/2017,Youth courts,Quebec,Crimes against property,12 to 15 years,Males,160.0
2017/2018,Youth courts,Quebec,Crimes against property,12 to 15 years,Males,162.0
2018/2019,Youth courts,Quebec,Crimes against property,12 to 15 years,Males,180.0
2014/2015,Youth courts,Quebec,Crimes against property,12 to 15 years,Females,176.0
2015/2016,Youth courts,Quebec,Crimes against property,12 to 15 years,Females,162.0
2016/2017,Youth courts,Quebec,Crimes against property,12 to 15 years,Females,141.0
2017/2018,Youth courts,Quebec,Crimes against property,12 to 15 years,Females,157.0
2018/2019,Youth courts,Quebec,Crimes against property,12 to 15 years,Females,176.0
2014/2015,Youth courts,Quebec,Crimes against property,12 to 15 years,Sex unknown,0.0
2015/2016,Youth courts,Quebec,Crimes against property,12 to 15 years,Sex unknown,0.0
2016/2017,Youth courts,Quebec,Crimes against property,12 to 15 years,Sex unknown,0.0
2017/2018,Youth courts,Quebec,Crimes against property,12 to 15 years,Sex unknown,0.0
2018/2019,Youth courts,Quebec,Crimes against property,12 to 15 years,Sex unknown,118.0
2014/2015,Youth courts,Quebec,Crimes against property,16 and 17 years,Total,141.0
2015/2016,Youth courts,Quebec,Crimes against property,16 and 17 years,Total,133.0
2016/2017,Youth courts,Quebec,Crimes against property,16 and 17 years,Total,148.0
2017/2018,Youth courts,Quebec,Crimes against property,16 and 17 years,Total,148.0
2018/2019,Youth courts,Quebec,Crimes against property,16 and 17 years,Total,142.0
2014/2015,Youth courts,Quebec,Crimes against property,16 and 17 years,Males,138.0
2015/2016,Youth courts,Quebec,Crimes against property,16 and 17 years,Males,131.0
2016/2017,Youth courts,Quebec,Crimes against property,16 and 17 years,Males,141.0
2017/2018,Youth courts,Quebec,Crimes against property,16 and 17 years,Males,148.0
2018/2019,Youth courts,Quebec,Crimes against property,16 and 17 years,Males,141.0
2014/2015,Youth courts,Quebec,Crimes against property,16 and 17 years,Females,154.0
2015/2016,Youth courts,Quebec,Crimes against property,16 and 17 years,Females,147.0
2016/2017,Youth courts,Quebec,Crimes against property,16 and 17 years,Females,181.0
2017/2018,Youth courts,Quebec,Crimes against property,16 and 17 years,Females,135.0
2018/2019,Youth courts,Quebec,Crimes against property,16 and 17 years,Females,154.0
2014/2015,Youth courts,Quebec,Crimes against property,16 and 17 years,Sex unknown,0.0
2015/2016,Youth courts,Quebec,Crimes against property,16 and 17 years,Sex unknown,0.0
2016/2017,Youth courts,Quebec,Crimes against property,16 and 17 years,Sex unknown,0.0
2017/2018,Youth courts,Quebec,Crimes against property,16 and 17 years,Sex unknown,0.0
2018/2019,Youth courts,Quebec,Crimes against property,16 and 17 years,Sex unknown,0.0
2014/2015,Youth courts,Quebec,Crimes against property,Other ages,Total,1.0
2015/2016,Youth courts,Quebec,Crimes against property,Other ages,Total,0.0
2016/2017,Youth courts,Quebec,Crimes against property,Other ages,Total,187.0
2017/2018,Youth courts,Quebec,Crimes against property,Other ages,Total,179.0
2018/2019,Youth courts,Quebec,Crimes against property,Other ages,Total,120.0
