Year,Geography,Industry,Enterprise size,Innovations with environmental benefits,GeoCode,Value
2020/2022,Quebec,"Total, all surveyed industries","Total, all enterprise sizes",Improved resource efficiency by replacing material with less greenhouse-gas-intensive alternatives,24,16.5
2020/2022,Quebec,"Total, all surveyed industries","Total, all enterprise sizes","Reduced consumption of resources through recycling (water, waste or material)",24,32.4
2020/2022,Quebec,"Total, all surveyed industries","Total, all enterprise sizes","Renewable fuels (ethanol, biodiesel, biogas, biochar, hydrogen)",24,6.3
2020/2022,Quebec,"Total, all surveyed industries","Total, all enterprise sizes",Innovations with environmental benefits related to increased environmental protection activities,24,23.6
2020/2022,Quebec,"Total, all surveyed industries","Total, all enterprise sizes","Reduced air, water, soil or noise pollution",24,21.1
2020/2022,Quebec,"Total, all surveyed industries","Total, all enterprise sizes",Reduced greenhouse gas emissions,24,17.1
2020/2022,Quebec,"Total, all surveyed industries","Total, all enterprise sizes",Innovations with environmental benefits related to the end user or consumer,24,32.1
2020/2022,Quebec,"Total, all surveyed industries","Total, all enterprise sizes",Reduced energy use or increased energy efficiency for the end user or consumer,24,21.2
2020/2022,Quebec,"Total, all surveyed industries","Total, all enterprise sizes",Reduced material use or increased recycling for the end user or consumer,24,21.6
2020/2022,Quebec,"Total, all surveyed industries","Total, all enterprise sizes","Reduced air, water, soil or noise pollution for the end user or consumer",24,13.9
2020/2022,Quebec,"Total, all surveyed industries","Total, all enterprise sizes",Reduced greenhouse gas emissions for the end user or consumer,24,12.3
2020/2022,Quebec,"Total, all surveyed industries","Total, all enterprise sizes",Innovations with other environmental benefits,24,7.2
2020/2022,Quebec,"Agriculture, forestry, fishing and hunting","Total, all enterprise sizes",Innovations with any environmental benefits,24,69.5
2020/2022,Quebec,"Agriculture, forestry, fishing and hunting","Total, all enterprise sizes",Innovations with environmental benefits from production through efficient use of resources,24,61.4
2020/2022,Quebec,"Agriculture, forestry, fishing and hunting","Total, all enterprise sizes",Improved resource efficiency through reduced material use per unit of output,24,36.7
2020/2022,Quebec,"Agriculture, forestry, fishing and hunting","Total, all enterprise sizes",Improved resource efficiency through reduced energy use per unit of output,24,36.1
2020/2022,Quebec,"Agriculture, forestry, fishing and hunting","Total, all enterprise sizes",Improved resource efficiency by replacing material with less greenhouse-gas-intensive alternatives,24,16.8
2020/2022,Quebec,"Agriculture, forestry, fishing and hunting","Total, all enterprise sizes","Reduced consumption of resources through recycling (water, waste or material)",24,44.5
2020/2022,Quebec,"Agriculture, forestry, fishing and hunting","Total, all enterprise sizes","Renewable fuels (ethanol, biodiesel, biogas, biochar, hydrogen)",24,23.6
2020/2022,Quebec,"Agriculture, forestry, fishing and hunting","Total, all enterprise sizes",Innovations with environmental benefits related to increased environmental protection activities,24,50.6
2020/2022,Quebec,"Agriculture, forestry, fishing and hunting","Total, all enterprise sizes","Reduced air, water, soil or noise pollution",24,49.8
2020/2022,Quebec,"Agriculture, forestry, fishing and hunting","Total, all enterprise sizes",Reduced greenhouse gas emissions,24,38.4
2020/2022,Quebec,"Agriculture, forestry, fishing and hunting","Total, all enterprise sizes",Innovations with environmental benefits related to the end user or consumer,24,30.9
2020/2022,Quebec,"Agriculture, forestry, fishing and hunting","Total, all enterprise sizes",Reduced energy use or increased energy efficiency for the end user or consumer,24,10.8
2020/2022,Quebec,"Agriculture, forestry, fishing and hunting","Total, all enterprise sizes",Reduced material use or increased recycling for the end user or consumer,24,26.1
2020/2022,Quebec,"Agriculture, forestry, fishing and hunting","Total, all enterprise sizes","Reduced air, water, soil or noise pollution for the end user or consumer",24,17.9
2020/2022,Quebec,"Agriculture, forestry, fishing and hunting","Total, all enterprise sizes",Reduced greenhouse gas emissions for the end user or consumer,24,12.9
2020/2022,Quebec,"Agriculture, forestry, fishing and hunting","Total, all enterprise sizes",Innovations with other environmental benefits,24,13.2
2020/2022,Quebec,"Mining, quarrying, and oil and gas extraction","Total, all enterprise sizes",Innovations with any environmental benefits,24,67.1
2020/2022,Quebec,"Mining, quarrying, and oil and gas extraction","Total, all enterprise sizes",Innovations with environmental benefits from production through efficient use of resources,24,67.1
2020/2022,Quebec,"Mining, quarrying, and oil and gas extraction","Total, all enterprise sizes",Improved resource efficiency through reduced material use per unit of output,24,27.7
2020/2022,Quebec,"Mining, quarrying, and oil and gas extraction","Total, all enterprise sizes",Improved resource efficiency through reduced energy use per unit of output,24,51.7
2020/2022,Quebec,"Mining, quarrying, and oil and gas extraction","Total, all enterprise sizes",Improved resource efficiency by replacing material with less greenhouse-gas-intensive alternatives,24,17.6
2020/2022,Quebec,"Mining, quarrying, and oil and gas extraction","Total, all enterprise sizes","Reduced consumption of resources through recycling (water, waste or material)",24,36.1
2020/2022,Quebec,"Mining, quarrying, and oil and gas extraction","Total, all enterprise sizes","Renewable fuels (ethanol, biodiesel, biogas, biochar, hydrogen)",24,7.1
2020/2022,Quebec,"Mining, quarrying, and oil and gas extraction","Total, all enterprise sizes",Innovations with environmental benefits related to increased environmental protection activities,24,54.5
2020/2022,Quebec,"Mining, quarrying, and oil and gas extraction","Total, all enterprise sizes","Reduced air, water, soil or noise pollution",24,48.8
2020/2022,Quebec,"Mining, quarrying, and oil and gas extraction","Total, all enterprise sizes",Reduced greenhouse gas emissions,24,37.7
2020/2022,Quebec,"Mining, quarrying, and oil and gas extraction","Total, all enterprise sizes",Innovations with environmental benefits related to the end user or consumer,24,20.0
2020/2022,Quebec,"Mining, quarrying, and oil and gas extraction","Total, all enterprise sizes",Reduced energy use or increased energy efficiency for the end user or consumer,24,9.3
2020/2022,Quebec,"Mining, quarrying, and oil and gas extraction","Total, all enterprise sizes",Reduced material use or increased recycling for the end user or consumer,24,11.9
2020/2022,Quebec,"Mining, quarrying, and oil and gas extraction","Total, all enterprise sizes","Reduced air, water, soil or noise pollution for the end user or consumer",24,17.5
2020/2022,Quebec,"Mining, quarrying, and oil and gas extraction","Total, all enterprise sizes",Reduced greenhouse gas emissions for the end user or consumer,24,9.3
2020/2022,Quebec,"Mining, quarrying, and oil and gas extraction","Total, all enterprise sizes",Innovations with other environmental benefits,24,7.5
2020/2022,Quebec,Utilities,"Total, all enterprise sizes",Innovations with any environmental benefits,24,100.0
2020/2022,Quebec,Utilities,"Total, all enterprise sizes",Innovations with environmental benefits from production through efficient use of resources,24,100.0
2020/2022,Quebec,Utilities,"Total, all enterprise sizes",Improved resource efficiency through reduced energy use per unit of output,24,100.0
2020/2022,Quebec,Utilities,"Total, all enterprise sizes","Reduced consumption of resources through recycling (water, waste or material)",24,87.1
2020/2022,Quebec,Utilities,"Total, all enterprise sizes",Innovations with environmental benefits related to increased environmental protection activities,24,100.0
2020/2022,Quebec,Utilities,"Total, all enterprise sizes","Reduced air, water, soil or noise pollution",24,87.1
2020/2022,Quebec,Utilities,"Total, all enterprise sizes",Reduced greenhouse gas emissions,24,100.0
2020/2022,Quebec,Utilities,"Total, all enterprise sizes",Innovations with environmental benefits related to the end user or consumer,24,100.0
2020/2022,Quebec,Utilities,"Total, all enterprise sizes",Reduced energy use or increased energy efficiency for the end user or consumer,24,100.0
2020/2022,Quebec,Utilities,"Total, all enterprise sizes",Reduced material use or increased recycling for the end user or consumer,24,29.6
2020/2022,Quebec,Utilities,"Total, all enterprise sizes","Reduced air, water, soil or noise pollution for the end user or consumer",24,85.8
2020/2022,Quebec,Utilities,"Total, all enterprise sizes",Reduced greenhouse gas emissions for the end user or consumer,24,81.6
2020/2022,Quebec,Utilities,"Total, all enterprise sizes",Innovations with other environmental benefits,24,68.6
2020/2022,Quebec,Manufacturing,"Total, all enterprise sizes",Innovations with any environmental benefits,24,59.0
2020/2022,Quebec,Manufacturing,"Total, all enterprise sizes",Innovations with environmental benefits from production through efficient use of resources,24,49.4
2020/2022,Quebec,Manufacturing,"Total, all enterprise sizes",Improved resource efficiency through reduced material use per unit of output,24,24.7
2020/2022,Quebec,Manufacturing,"Total, all enterprise sizes",Improved resource efficiency through reduced energy use per unit of output,24,26.4
2020/2022,Quebec,Manufacturing,"Total, all enterprise sizes",Improved resource efficiency by replacing material with less greenhouse-gas-intensive alternatives,24,17.9
2020/2022,Quebec,Manufacturing,"Total, all enterprise sizes","Reduced consumption of resources through recycling (water, waste or material)",24,32.7
2020/2022,Quebec,Manufacturing,"Total, all enterprise sizes","Renewable fuels (ethanol, biodiesel, biogas, biochar, hydrogen)",24,4.1
2020/2022,Quebec,Manufacturing,"Total, all enterprise sizes",Innovations with environmental benefits related to increased environmental protection activities,24,28.8
2020/2022,Quebec,Manufacturing,"Total, all enterprise sizes","Reduced air, water, soil or noise pollution",24,24.8
2020/2022,Quebec,Manufacturing,"Total, all enterprise sizes",Reduced greenhouse gas emissions,24,18.5
2020/2022,Quebec,Manufacturing,"Total, all enterprise sizes",Innovations with environmental benefits related to the end user or consumer,24,35.5
2020/2022,Quebec,Manufacturing,"Total, all enterprise sizes",Reduced energy use or increased energy efficiency for the end user or consumer,24,21.9
2020/2022,Quebec,Manufacturing,"Total, all enterprise sizes",Reduced material use or increased recycling for the end user or consumer,24,24.8
2020/2022,Quebec,Manufacturing,"Total, all enterprise sizes","Reduced air, water, soil or noise pollution for the end user or consumer",24,14.1
2020/2022,Quebec,Manufacturing,"Total, all enterprise sizes",Reduced greenhouse gas emissions for the end user or consumer,24,10.9
2020/2022,Quebec,Manufacturing,"Total, all enterprise sizes",Innovations with other environmental benefits,24,5.6
2020/2022,Quebec,Wholesale trade,"Total, all enterprise sizes",Innovations with any environmental benefits,24,46.1
2020/2022,Quebec,Wholesale trade,"Total, all enterprise sizes",Innovations with environmental benefits from production through efficient use of resources,24,41.2
2020/2022,Quebec,Wholesale trade,"Total, all enterprise sizes",Improved resource efficiency through reduced material use per unit of output,24,14.7
2020/2022,Quebec,Wholesale trade,"Total, all enterprise sizes",Improved resource efficiency through reduced energy use per unit of output,24,11.2
2020/2022,Quebec,Wholesale trade,"Total, all enterprise sizes",Improved resource efficiency by replacing material with less greenhouse-gas-intensive alternatives,24,7.8
2020/2022,Quebec,Wholesale trade,"Total, all enterprise sizes","Reduced consumption of resources through recycling (water, waste or material)",24,29.8
2020/2022,Quebec,Wholesale trade,"Total, all enterprise sizes","Renewable fuels (ethanol, biodiesel, biogas, biochar, hydrogen)",24,2.3
2020/2022,Quebec,Wholesale trade,"Total, all enterprise sizes",Innovations with environmental benefits related to increased environmental protection activities,24,13.6
2020/2022,Quebec,Wholesale trade,"Total, all enterprise sizes","Reduced air, water, soil or noise pollution",24,11.1
2020/2022,Quebec,Wholesale trade,"Total, all enterprise sizes",Reduced greenhouse gas emissions,24,9.1
2020/2022,Quebec,Wholesale trade,"Total, all enterprise sizes",Innovations with environmental benefits related to the end user or consumer,24,25.6
2020/2022,Quebec,Wholesale trade,"Total, all enterprise sizes",Reduced energy use or increased energy efficiency for the end user or consumer,24,13.5
2020/2022,Quebec,Wholesale trade,"Total, all enterprise sizes",Reduced material use or increased recycling for the end user or consumer,24,19.9
2020/2022,Quebec,Wholesale trade,"Total, all enterprise sizes","Reduced air, water, soil or noise pollution for the end user or consumer",24,9.9
2020/2022,Quebec,Wholesale trade,"Total, all enterprise sizes",Reduced greenhouse gas emissions for the end user or consumer,24,7.8
2020/2022,Quebec,Wholesale trade,"Total, all enterprise sizes",Innovations with other environmental benefits,24,4.8
2020/2022,Quebec,Retail trade,"Total, all enterprise sizes",Innovations with any environmental benefits,24,54.5
2020/2022,Quebec,Retail trade,"Total, all enterprise sizes",Innovations with environmental benefits from production through efficient use of resources,24,50.3
2020/2022,Quebec,Retail trade,"Total, all enterprise sizes",Improved resource efficiency through reduced material use per unit of output,24,27.2
2020/2022,Quebec,Retail trade,"Total, all enterprise sizes",Improved resource efficiency through reduced energy use per unit of output,24,24.8
2020/2022,Quebec,Retail trade,"Total, all enterprise sizes",Improved resource efficiency by replacing material with less greenhouse-gas-intensive alternatives,24,22.9
2020/2022,Quebec,Retail trade,"Total, all enterprise sizes","Reduced consumption of resources through recycling (water, waste or material)",24,44.4
2020/2022,Quebec,Retail trade,"Total, all enterprise sizes","Renewable fuels (ethanol, biodiesel, biogas, biochar, hydrogen)",24,15.3
2020/2022,Quebec,Retail trade,"Total, all enterprise sizes",Innovations with environmental benefits related to increased environmental protection activities,24,29.1
2020/2022,Quebec,Retail trade,"Total, all enterprise sizes","Reduced air, water, soil or noise pollution",24,28.7
2020/2022,Quebec,Retail trade,"Total, all enterprise sizes",Reduced greenhouse gas emissions,24,24.2
2020/2022,Quebec,Retail trade,"Total, all enterprise sizes",Innovations with environmental benefits related to the end user or consumer,24,45.7
2020/2022,Quebec,Retail trade,"Total, all enterprise sizes",Reduced energy use or increased energy efficiency for the end user or consumer,24,35.5
2020/2022,Quebec,Retail trade,"Total, all enterprise sizes",Reduced material use or increased recycling for the end user or consumer,24,33.3
2020/2022,Quebec,Retail trade,"Total, all enterprise sizes","Reduced air, water, soil or noise pollution for the end user or consumer",24,27.7
2020/2022,Quebec,Retail trade,"Total, all enterprise sizes",Reduced greenhouse gas emissions for the end user or consumer,24,28.2
2020/2022,Quebec,Retail trade,"Total, all enterprise sizes",Innovations with other environmental benefits,24,6.9
2020/2022,Quebec,Transportation and warehousing,"Total, all enterprise sizes",Innovations with any environmental benefits,24,60.1
2020/2022,Quebec,Transportation and warehousing,"Total, all enterprise sizes",Innovations with environmental benefits from production through efficient use of resources,24,54.6
2020/2022,Quebec,Transportation and warehousing,"Total, all enterprise sizes",Improved resource efficiency through reduced material use per unit of output,24,18.3
2020/2022,Quebec,Transportation and warehousing,"Total, all enterprise sizes",Improved resource efficiency through reduced energy use per unit of output,24,27.6
2020/2022,Quebec,Transportation and warehousing,"Total, all enterprise sizes",Improved resource efficiency by replacing material with less greenhouse-gas-intensive alternatives,24,27.1
2020/2022,Quebec,Transportation and warehousing,"Total, all enterprise sizes","Reduced consumption of resources through recycling (water, waste or material)",24,24.3
2020/2022,Quebec,Transportation and warehousing,"Total, all enterprise sizes","Renewable fuels (ethanol, biodiesel, biogas, biochar, hydrogen)",24,7.6
2020/2022,Quebec,Transportation and warehousing,"Total, all enterprise sizes",Innovations with environmental benefits related to increased environmental protection activities,24,37.5
2020/2022,Quebec,Transportation and warehousing,"Total, all enterprise sizes","Reduced air, water, soil or noise pollution",24,32.8
2020/2022,Quebec,Transportation and warehousing,"Total, all enterprise sizes",Reduced greenhouse gas emissions,24,30.1
2020/2022,Quebec,Transportation and warehousing,"Total, all enterprise sizes",Innovations with environmental benefits related to the end user or consumer,24,26.2
2020/2022,Quebec,Transportation and warehousing,"Total, all enterprise sizes",Reduced energy use or increased energy efficiency for the end user or consumer,24,11.4
2020/2022,Quebec,Transportation and warehousing,"Total, all enterprise sizes",Reduced material use or increased recycling for the end user or consumer,24,14.8
2020/2022,Quebec,Transportation and warehousing,"Total, all enterprise sizes","Reduced air, water, soil or noise pollution for the end user or consumer",24,17.1
2020/2022,Quebec,Transportation and warehousing,"Total, all enterprise sizes",Reduced greenhouse gas emissions for the end user or consumer,24,16.9
2020/2022,Quebec,Transportation and warehousing,"Total, all enterprise sizes",Innovations with other environmental benefits,24,4.6
2020/2022,Quebec,All transportation,"Total, all enterprise sizes",Innovations with any environmental benefits,24,61.9
2020/2022,Quebec,All transportation,"Total, all enterprise sizes",Innovations with environmental benefits from production through efficient use of resources,24,56.7
2020/2022,Quebec,All transportation,"Total, all enterprise sizes",Improved resource efficiency through reduced material use per unit of output,24,18.6
2020/2022,Quebec,All transportation,"Total, all enterprise sizes",Improved resource efficiency through reduced energy use per unit of output,24,28.2
2020/2022,Quebec,All transportation,"Total, all enterprise sizes",Improved resource efficiency by replacing material with less greenhouse-gas-intensive alternatives,24,28.0
2020/2022,Quebec,All transportation,"Total, all enterprise sizes","Reduced consumption of resources through recycling (water, waste or material)",24,24.7
2020/2022,Quebec,All transportation,"Total, all enterprise sizes","Renewable fuels (ethanol, biodiesel, biogas, biochar, hydrogen)",24,7.2
2020/2022,Quebec,All transportation,"Total, all enterprise sizes",Innovations with environmental benefits related to increased environmental protection activities,24,39.7
2020/2022,Quebec,All transportation,"Total, all enterprise sizes","Reduced air, water, soil or noise pollution",24,34.5
2020/2022,Quebec,All transportation,"Total, all enterprise sizes",Reduced greenhouse gas emissions,24,32.1
2020/2022,Quebec,All transportation,"Total, all enterprise sizes",Innovations with environmental benefits related to the end user or consumer,24,27.5
2020/2022,Quebec,All transportation,"Total, all enterprise sizes",Reduced energy use or increased energy efficiency for the end user or consumer,24,11.1
2020/2022,Quebec,All transportation,"Total, all enterprise sizes",Reduced material use or increased recycling for the end user or consumer,24,15.1
2020/2022,Quebec,All transportation,"Total, all enterprise sizes","Reduced air, water, soil or noise pollution for the end user or consumer",24,17.3
2020/2022,Quebec,All transportation,"Total, all enterprise sizes",Reduced greenhouse gas emissions for the end user or consumer,24,17.1
2020/2022,Quebec,All transportation,"Total, all enterprise sizes",Innovations with other environmental benefits,24,3.9
2020/2022,Quebec,"Postal services, couriers and messengers, warehousing and storage","Total, all enterprise sizes",Innovations with any environmental benefits,24,44.1
2020/2022,Quebec,"Postal services, couriers and messengers, warehousing and storage","Total, all enterprise sizes",Innovations with environmental benefits from production through efficient use of resources,24,34.3
2020/2022,Quebec,"Postal services, couriers and messengers, warehousing and storage","Total, all enterprise sizes",Improved resource efficiency through reduced material use per unit of output,24,15.5
2020/2022,Quebec,"Postal services, couriers and messengers, warehousing and storage","Total, all enterprise sizes",Improved resource efficiency through reduced energy use per unit of output,24,21.9
2020/2022,Quebec,"Postal services, couriers and messengers, warehousing and storage","Total, all enterprise sizes",Improved resource efficiency by replacing material with less greenhouse-gas-intensive alternatives,24,18.5
2020/2022,Quebec,"Postal services, couriers and messengers, warehousing and storage","Total, all enterprise sizes","Reduced consumption of resources through recycling (water, waste or material)",24,20.8
2020/2022,Quebec,"Postal services, couriers and messengers, warehousing and storage","Total, all enterprise sizes","Renewable fuels (ethanol, biodiesel, biogas, biochar, hydrogen)",24,11.3
2020/2022,Quebec,"Postal services, couriers and messengers, warehousing and storage","Total, all enterprise sizes",Innovations with environmental benefits related to increased environmental protection activities,24,17.7
2020/2022,Quebec,"Postal services, couriers and messengers, warehousing and storage","Total, all enterprise sizes","Reduced air, water, soil or noise pollution",24,17.7
2020/2022,Quebec,"Postal services, couriers and messengers, warehousing and storage","Total, all enterprise sizes",Reduced greenhouse gas emissions,24,11.3
2020/2022,Quebec,"Postal services, couriers and messengers, warehousing and storage","Total, all enterprise sizes",Innovations with environmental benefits related to the end user or consumer,24,14.6
2020/2022,Quebec,"Postal services, couriers and messengers, warehousing and storage","Total, all enterprise sizes",Reduced energy use or increased energy efficiency for the end user or consumer,24,14.6
2020/2022,Quebec,"Postal services, couriers and messengers, warehousing and storage","Total, all enterprise sizes",Reduced material use or increased recycling for the end user or consumer,24,11.3
2020/2022,Quebec,"Postal services, couriers and messengers, warehousing and storage","Total, all enterprise sizes","Reduced air, water, soil or noise pollution for the end user or consumer",24,14.6
2020/2022,Quebec,"Postal services, couriers and messengers, warehousing and storage","Total, all enterprise sizes",Reduced greenhouse gas emissions for the end user or consumer,24,14.6
2020/2022,Quebec,"Postal services, couriers and messengers, warehousing and storage","Total, all enterprise sizes",Innovations with other environmental benefits,24,10.7
2020/2022,Quebec,Information and cultural industries,"Total, all enterprise sizes",Innovations with any environmental benefits,24,38.8
2020/2022,Quebec,Information and cultural industries,"Total, all enterprise sizes",Innovations with environmental benefits from production through efficient use of resources,24,29.6
2020/2022,Quebec,Information and cultural industries,"Total, all enterprise sizes",Improved resource efficiency through reduced material use per unit of output,24,13.5
2020/2022,Quebec,Information and cultural industries,"Total, all enterprise sizes",Improved resource efficiency through reduced energy use per unit of output,24,13.3
2020/2022,Quebec,Information and cultural industries,"Total, all enterprise sizes",Improved resource efficiency by replacing material with less greenhouse-gas-intensive alternatives,24,10.0
2020/2022,Quebec,Information and cultural industries,"Total, all enterprise sizes","Reduced consumption of resources through recycling (water, waste or material)",24,19.5
2020/2022,Quebec,Information and cultural industries,"Total, all enterprise sizes","Renewable fuels (ethanol, biodiesel, biogas, biochar, hydrogen)",24,0.0
2020/2022,Quebec,Information and cultural industries,"Total, all enterprise sizes",Innovations with environmental benefits related to increased environmental protection activities,24,7.6
2020/2022,Quebec,Information and cultural industries,"Total, all enterprise sizes","Reduced air, water, soil or noise pollution",24,3.9
2020/2022,Quebec,Information and cultural industries,"Total, all enterprise sizes",Reduced greenhouse gas emissions,24,6.6
2020/2022,Quebec,Information and cultural industries,"Total, all enterprise sizes",Innovations with environmental benefits related to the end user or consumer,24,18.6
2020/2022,Quebec,Information and cultural industries,"Total, all enterprise sizes",Reduced energy use or increased energy efficiency for the end user or consumer,24,5.5
2020/2022,Quebec,Information and cultural industries,"Total, all enterprise sizes",Reduced material use or increased recycling for the end user or consumer,24,15.3
2020/2022,Quebec,Information and cultural industries,"Total, all enterprise sizes","Reduced air, water, soil or noise pollution for the end user or consumer",24,1.4
2020/2022,Quebec,Information and cultural industries,"Total, all enterprise sizes",Reduced greenhouse gas emissions for the end user or consumer,24,2.7
2020/2022,Quebec,Information and cultural industries,"Total, all enterprise sizes",Innovations with other environmental benefits,24,8.5
2020/2022,Quebec,Finance and insurance excluding monetary authorities,"Total, all enterprise sizes",Innovations with any environmental benefits,24,42.8
2020/2022,Quebec,Finance and insurance excluding monetary authorities,"Total, all enterprise sizes",Innovations with environmental benefits from production through efficient use of resources,24,36.9
2020/2022,Quebec,Finance and insurance excluding monetary authorities,"Total, all enterprise sizes",Improved resource efficiency through reduced material use per unit of output,24,13.5
2020/2022,Quebec,Finance and insurance excluding monetary authorities,"Total, all enterprise sizes",Improved resource efficiency through reduced energy use per unit of output,24,11.0
2020/2022,Quebec,Finance and insurance excluding monetary authorities,"Total, all enterprise sizes",Improved resource efficiency by replacing material with less greenhouse-gas-intensive alternatives,24,7.1
2020/2022,Quebec,Finance and insurance excluding monetary authorities,"Total, all enterprise sizes","Reduced consumption of resources through recycling (water, waste or material)",24,30.3
2020/2022,Quebec,Finance and insurance excluding monetary authorities,"Total, all enterprise sizes","Renewable fuels (ethanol, biodiesel, biogas, biochar, hydrogen)",24,0.8
2020/2022,Quebec,Finance and insurance excluding monetary authorities,"Total, all enterprise sizes",Innovations with environmental benefits related to increased environmental protection activities,24,12.0
2020/2022,Quebec,Finance and insurance excluding monetary authorities,"Total, all enterprise sizes","Reduced air, water, soil or noise pollution",24,4.8
2020/2022,Quebec,Finance and insurance excluding monetary authorities,"Total, all enterprise sizes",Reduced greenhouse gas emissions,24,12.0
2020/2022,Quebec,Finance and insurance excluding monetary authorities,"Total, all enterprise sizes",Innovations with environmental benefits related to the end user or consumer,24,28.4
2020/2022,Quebec,Finance and insurance excluding monetary authorities,"Total, all enterprise sizes",Reduced energy use or increased energy efficiency for the end user or consumer,24,8.2
2020/2022,Quebec,Finance and insurance excluding monetary authorities,"Total, all enterprise sizes",Reduced material use or increased recycling for the end user or consumer,24,26.3
2020/2022,Quebec,Finance and insurance excluding monetary authorities,"Total, all enterprise sizes","Reduced air, water, soil or noise pollution for the end user or consumer",24,2.9
2020/2022,Quebec,Finance and insurance excluding monetary authorities,"Total, all enterprise sizes",Reduced greenhouse gas emissions for the end user or consumer,24,7.0
2020/2022,Quebec,Finance and insurance excluding monetary authorities,"Total, all enterprise sizes",Innovations with other environmental benefits,24,13.6
2020/2022,Quebec,Real estate and rental and leasing,"Total, all enterprise sizes",Innovations with any environmental benefits,24,47.6
2020/2022,Quebec,Real estate and rental and leasing,"Total, all enterprise sizes",Innovations with environmental benefits from production through efficient use of resources,24,41.7
2020/2022,Quebec,Real estate and rental and leasing,"Total, all enterprise sizes",Improved resource efficiency through reduced material use per unit of output,24,15.7
2020/2022,Quebec,Real estate and rental and leasing,"Total, all enterprise sizes",Improved resource efficiency through reduced energy use per unit of output,24,23.7
2020/2022,Quebec,Real estate and rental and leasing,"Total, all enterprise sizes",Improved resource efficiency by replacing material with less greenhouse-gas-intensive alternatives,24,15.9
2020/2022,Quebec,Real estate and rental and leasing,"Total, all enterprise sizes","Reduced consumption of resources through recycling (water, waste or material)",24,27.5
2020/2022,Quebec,Real estate and rental and leasing,"Total, all enterprise sizes","Renewable fuels (ethanol, biodiesel, biogas, biochar, hydrogen)",24,1.7
2020/2022,Quebec,Real estate and rental and leasing,"Total, all enterprise sizes",Innovations with environmental benefits related to increased environmental protection activities,24,16.6
2020/2022,Quebec,Real estate and rental and leasing,"Total, all enterprise sizes","Reduced air, water, soil or noise pollution",24,13.4
2020/2022,Quebec,Real estate and rental and leasing,"Total, all enterprise sizes",Reduced greenhouse gas emissions,24,16.6
2020/2022,Quebec,Real estate and rental and leasing,"Total, all enterprise sizes",Innovations with environmental benefits related to the end user or consumer,24,30.2
2020/2022,Quebec,Real estate and rental and leasing,"Total, all enterprise sizes",Reduced energy use or increased energy efficiency for the end user or consumer,24,25.0
2020/2022,Quebec,Real estate and rental and leasing,"Total, all enterprise sizes",Reduced material use or increased recycling for the end user or consumer,24,18.6
2020/2022,Quebec,Real estate and rental and leasing,"Total, all enterprise sizes","Reduced air, water, soil or noise pollution for the end user or consumer",24,13.4
2020/2022,Quebec,Real estate and rental and leasing,"Total, all enterprise sizes",Reduced greenhouse gas emissions for the end user or consumer,24,13.6
2020/2022,Quebec,Real estate and rental and leasing,"Total, all enterprise sizes",Innovations with other environmental benefits,24,19.4
2020/2022,Quebec,"Professional, scientific and technical services","Total, all enterprise sizes",Innovations with any environmental benefits,24,35.8
2020/2022,Quebec,"Professional, scientific and technical services","Total, all enterprise sizes",Innovations with environmental benefits from production through efficient use of resources,24,26.0
2020/2022,Quebec,"Professional, scientific and technical services","Total, all enterprise sizes",Improved resource efficiency through reduced material use per unit of output,24,9.3
2020/2022,Quebec,"Professional, scientific and technical services","Total, all enterprise sizes",Improved resource efficiency through reduced energy use per unit of output,24,10.9
2020/2022,Quebec,"Professional, scientific and technical services","Total, all enterprise sizes",Improved resource efficiency by replacing material with less greenhouse-gas-intensive alternatives,24,3.8
2020/2022,Quebec,"Professional, scientific and technical services","Total, all enterprise sizes","Reduced consumption of resources through recycling (water, waste or material)",24,18.6
2020/2022,Quebec,"Professional, scientific and technical services","Total, all enterprise sizes","Renewable fuels (ethanol, biodiesel, biogas, biochar, hydrogen)",24,2.0
2020/2022,Quebec,"Professional, scientific and technical services","Total, all enterprise sizes",Innovations with environmental benefits related to increased environmental protection activities,24,9.2
2020/2022,Quebec,"Professional, scientific and technical services","Total, all enterprise sizes","Reduced air, water, soil or noise pollution",24,8.3
2020/2022,Quebec,"Professional, scientific and technical services","Total, all enterprise sizes",Reduced greenhouse gas emissions,24,4.9
2020/2022,Quebec,"Professional, scientific and technical services","Total, all enterprise sizes",Innovations with environmental benefits related to the end user or consumer,24,21.4
2020/2022,Quebec,"Professional, scientific and technical services","Total, all enterprise sizes",Reduced energy use or increased energy efficiency for the end user or consumer,24,13.6
2020/2022,Quebec,"Professional, scientific and technical services","Total, all enterprise sizes",Reduced material use or increased recycling for the end user or consumer,24,7.8
2020/2022,Quebec,"Professional, scientific and technical services","Total, all enterprise sizes","Reduced air, water, soil or noise pollution for the end user or consumer",24,4.4
2020/2022,Quebec,"Professional, scientific and technical services","Total, all enterprise sizes",Reduced greenhouse gas emissions for the end user or consumer,24,3.0
2020/2022,Quebec,"Professional, scientific and technical services","Total, all enterprise sizes",Innovations with other environmental benefits,24,2.4
2020/2022,Quebec,Management of companies and enterprises,"Total, all enterprise sizes",Innovations with any environmental benefits,24,82.4
2020/2022,Quebec,Management of companies and enterprises,"Total, all enterprise sizes",Innovations with environmental benefits from production through efficient use of resources,24,82.4
2020/2022,Quebec,Management of companies and enterprises,"Total, all enterprise sizes",Improved resource efficiency through reduced material use per unit of output,24,33.3
